iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.187	-3874.31	-22.895	-3851.414	0.42	0.823	0.33	99.422	0.162
10	0.009	0.311	-3818.237	-20.156	-3798.08	0.42	0.83	0.338	97.012	0.229
20	0.018	0.365	-3765.521	-17.988	-3747.533	0.42	0.853	0.349	98.979	0.301
30	0.026	0.446	-3665.481	-14.591	-3650.89	0.42	0.918	0.376	104.266	0.478
40	0.034	0.459	-3647.143	-14.462	-3632.681	0.42	0.991	0.382	101.484	0.51
50	0.043	0.5	-3588.342	-12.643	-3575.699	0.42	0.953	0.405	98.506	0.681
60	0.051	0.443	-3581.223	-12.025	-3569.198	0.42	0.931	0.412	97.131	0.765
70	0.06	0.473	-3555.792	-11.367	-3544.425	0.42	0.916	0.422	89.562	0.922
80	0.068	0.616	-3541.321	-10.953	-3530.367	0.42	0.864	0.425	83.629	1.07
90	0.077	0.571	-3543.477	-10.533	-3532.944	0.42	0.863	0.426	81.602	1.25
100	0.085	0.54	-3543.928	-10.431	-3533.498	0.42	0.898	0.426	84.624	1.252
110	0.094	0.527	-3543.572	-10.851	-3532.721	0.42	0.933	0.426	80.178	1.17
120	0.103	0.518	-3542.982	-10.609	-3532.373	0.42	0.871	0.426	81.541	1.219
130	0.111	0.503	-3542.783	-10.755	-3532.028	0.42	0.878	0.426	79.543	1.196
140	0.12	0.566	-3543.292	-10.395	-3532.897	0.42	0.877	0.426	85.568	1.245
150	0.129	0.545	-3540.585	-10.876	-3529.709	0.42	0.919	0.425	87.297	1.064
160	0.138	0.576	-3539.884	-11.039	-3528.844	0.42	0.916	0.425	84.353	1.049
170	0.146	0.597	-3539.222	-11.242	-3527.979	0.42	0.907	0.425	80.053	1.039
180	0.155	0.543	-3537.949	-11.576	-3526.373	0.42	0.901	0.425	77.318	0.982
190	0.164	0.561	-3538.548	-11.621	-3526.927	0.42	0.846	0.427	69.829	1.054
200	0.173	0.498	-3537.881	-11.808	-3526.072	0.42	0.883	0.426	70.571	1.0
210	0.181	0.592	-3536.625	-12.592	-3524.033	0.42	0.857	0.426	64.828	0.892
220	0.19	0.549	-3536.08	-12.402	-3523.678	0.42	0.851	0.427	62.854	0.955
230	0.198	0.525	-3535.439	-12.575	-3522.864	0.42	0.91	0.427	61.777	0.941
240	0.207	0.568	-3534.755	-12.753	-3522.002	0.42	0.896	0.427	58.975	0.938
250	0.216	0.617	-3530.253	-12.204	-3518.049	0.42	0.856	0.428	59.868	1.053
260	0.225	0.597	-3529.001	-12.247	-3516.755	0.42	0.888	0.428	60.515	1.036
270	0.234	0.594	-3527.654	-12.72	-3514.933	0.42	0.876	0.429	55.831	0.991
280	0.242	0.607	-3529.292	-12.532	-3516.76	0.42	0.909	0.428	57.957	1.009
290	0.251	0.596	-3528.438	-12.62	-3515.818	0.42	0.883	0.429	56.315	1.009
300	0.26	0.587	-3529.253	-12.434	-3516.819	0.42	0.9	0.428	58.171	1.028
310	0.269	0.634	-3527.465	-13.03	-3514.435	0.42	0.919	0.428	56.286	0.923
320	0.277	0.634	-3526.196	-13.276	-3512.92	0.42	0.889	0.428	53.94	0.901
