PlantID_final,Easting,Northing,is_mother
M0821,1293.44889568002,-556.42604001984,False
M0843,1409.91994148999,-652.573144149967,False
M1003,-1691.26054350199,-61.0910391798243,False
M1011,-1639.62365606101,-54.1171686202288,False
M1014,-1964.20142776502,-151.665348339826,False
M1530,797.605796154996,-69.856439139694,False
M0158,-1637.32940813497,-52.866655359976,False
M0170,-1611.108444963,-51.0009266398847,False
M0172,-1359.55418426602,-191.324286259711,False
M0174,-1543.05274631002,-86.1943133100867,False
M0178,-1336.17956143402,-203.428366979584,False
M0183,-1594.014246476,-55.8446162100881,False
M0187,-1336.95992939197,-206.051631440409,False
M0190,-1645.955149955,-57.1807563398033,False
M0195,-1632.928791988,-62.947761470452,False
M0294,-2259.10595872102,-160.759048939683,False
M0301,842.606604056025,-484.232940929942,False
M0303,860.994091655011,-518.843448489904,False
M0305,733.260537234019,-385.087815820239,False
M0307,711.174599141988,-387.453230869956,False
M0308,707.081850033021,-393.120464679785,False
M0311,868.045143614989,-524.531580880284,False
M0313,975.130254198972,-528.171248720028,False
M0315,959.094299883989,-520.265847570263,False
M0316,954.359326274018,-520.766987980343,False
M0324,775.476181050995,-436.642193829641,False
M0326,877.261639340024,-528.909249699675,False
M0349,784.94000505202,-441.185889770277,False
M0353,-2200.18727556901,-281.462158420123,False
M0355,-1776.103355125,-141.726139769889,False
M0356,-1958.96793790697,-164.58106863033,False
M0357,-1860.56409260101,-129.505301900208,False
M0359,-1925.33641468699,-137.871573950164,False
M0362,-1850.84284237598,-131.884437549859,False
M0366,-1955.32616708399,-163.536675729789,False
M0368,-1941.87747559597,-156.811348520219,False
M0370,-1951.579169898,-161.974847749807,False
M0374,-1949.99531004101,-160.382259840146,False
M0375,-2108.58115263999,-224.957733489573,False
M0377,-2032.51843827002,-191.829302930273,False
M0378,-1850.72639553598,-130.809654990211,False
M0380,-1914.944575225,-136.736858270131,False
M0386,-1851.95865596598,-132.829278170131,False
M0389,-2181.03565107298,-265.179591399617,False
M0396,-2026.46143457899,-188.178872019984,False
M0397,-2037.43282155902,-192.976067990065,False
M0398,-2024.59306409198,-189.25246181991,False
L1295,-2028.55076483003,-189.864641999826,False
M0438,1232.99160266801,-556.009153249674,False
M0450,1222.81891581701,-561.635040320456,False
M0454,1126.35631077702,-599.297625930049,False
M0490,1089.71333289403,-591.196462159976,False
M0501,1140.55243813799,-596.862047730014,False
M0506,-2136.00158147601,316.605207899585,False
M0507,1570.09448284801,-275.040565820411,False
M0519,-2266.39695294702,-340.655950199813,False
M0522,-2261.68326734001,-364.344649249688,False
M0524,-2262.69912139,-362.967368169688,False
M0531,1638.24900269101,-634.673262150027,False
M0533,1636.17199280497,-631.783908270299,False
M0538,1177.566620406,-305.671670960262,False
M0542,1597.04736687499,-591.12280439958,False
M0543,1570.87003957399,-278.135978399776,False
M0549,1246.25734781497,-557.479015540332,False
M0550,-2225.56346274802,-286.486764449626,False
M0551,1346.83070388198,-235.017702340148,False
M0553,1366.13064467098,-244.730493850075,False
M0554,1148.34862053499,-293.08493020013,False
M0558,1355.09443298302,-239.075865910389,False
M0559,1302.189205551,-269.451819449663,False
M0560,1306.49322233401,-254.037501149811,False
M0561,1534.77739096998,-279.946316690184,False
M0562,1138.078099893,-287.956748929806,False
M0563,1383.16083814699,-257.080875460058,False
M0565,1204.31281593099,-317.191336849704,False
M0566,1367.08328190597,-246.025492750108,False
M0567,1330.98142601701,-234.141212419607,False
M0569,1160.07574765198,-298.638446079567,False
M0570,1375.969368238,-251.26516854018,False
M0571,1404.96225424798,-282.421519129537,False
M0572,-2236.78760441201,-150.043475080281,False
M0573,1346.73777303501,-236.236030369997,False
M0574,1310.01405322098,-244.203924180008,False
M0576,1542.33745071699,-279.760246049613,False
M0577,1422.33627074503,-289.80490885023,False
M0578,-2221.05703333102,-142.605702299625,False
M0581,1299.68748510798,-277.284061419778,False
M0582,1219.50553327601,-316.152157469653,False
M0585,1464.17764102301,-287.909798329696,False
M0586,1414.68758986,-289.250318890437,False
M0587,1469.85471515497,-286.852002009749,False
M0588,1432.39884062699,-287.794438400306,False
M0590,1487.38229262002,-283.466214929707,False
M0594,-2206.60990423098,-134.329556959681,False
M0595,1557.56814955402,-276.731853069738,False
M0599,1564.86950812797,-277.074930990115,False
M0600,1487.870960976,-285.230435700156,False
M0629,1189.83719824703,-313.188743700273,False
M0651,1513.30856679397,-694.056169560179,False
M0655,1503.37669273699,-692.62452987954,False
M0659,1514.74722519302,-694.813288680278,False
M0665,1510.33696814202,-691.520386669785,False
M0671,1460.89745862398,-687.633649609983,False
M0676,1262.29135998199,-325.144492910244,False
M0677,1505.18956088898,-691.648828109726,False
M0678,1469.44065580401,-691.576926030219,False
M0679,1696.18900620402,-663.949291249737,False
M0680,1457.551255834,-688.067746469751,False
M0691,1505.27808430803,-693.27330665011,False
M0696,1532.82170020998,-704.707982620224,False
M0697,1513.36047157901,-694.529790679924,False
M0709,861.233851207013,-20.0713933901861,False
M0736,698.400281889015,-389.992073340341,False
M0802,-2251.79689991602,249.142304340377,False
M0812,1431.90240642597,-668.986134629697,False
M0825,-2225.60133644001,-286.660690359771,False
L1321,-2262.105594325,-355.743508580141,False
M0834,1409.47546044202,-502.232427580282,False
M0823,1288.34210389399,-549.66304675024,False
M0862,-1426.85246700101,164.586370499805,False
M0864,-1535.12031771598,196.7260848796,False
M0869,-1583.97233894299,194.303656909615,False
M0872,-1817.62499790802,97.3238570997491,False
M0874,-1597.64655778202,194.269836950116,False
M0882,-1834.23591209401,64.7842772500589,False
M0887,-1756.32767223398,181.512683410197,False
M0889,-1578.69100442302,197.022467509843,False
M0891,-1329.317695142,144.629236229695,False
M0896,-1685.11293737002,207.483689120039,False
M0901,-1444.26740259503,264.182414690033,False
M0903,-2260.776392431,-161.074630130082,False
M0906,-1686.49650004099,338.283074329607,False
M0907,-1336.765727919,237.665031500161,False
M0908,-1716.69052041502,351.356980769895,False
M0909,-1307.27829621697,244.58630748,False
M0912,-1708.98781276599,336.592785649933,False
M0914,-1824.62610899901,304.361933650449,False
M0915,-1681.480332523,343.307935629971,False
M0916,-1578.87221640901,325.531917490065,False
M0918,-1603.61781771702,338.0618523499,False
M0919,-1794.08569272398,337.40406277962,False
M0923,-1741.540435025,355.700823090039,False
M0928,-2258.19905080303,-160.822495190427,False
M0929,-1775.99093151803,334.352234439924,False
M0934,-2144.089207087,-56.306525520049,False
M0937,-1803.25404783501,324.941762089729,False
M0940,-1755.97674448497,353.172710919753,False
M0941,-2118.23301026202,-23.7786877695471,False
M0942,699.64539932902,-389.67565478012,False
M0946,-2178.84758104198,-116.375291810371,False
M0951,-1923.05626125197,257.546940050088,False
M0958,-2167.68891798402,-260.345849090256,False
M0960,-1331.929578704,-206.05502870027,False
M0964,-827.11712527601,-242.954801799729,False
M0966,-1749.39663224801,-111.416335309856,False
M0967,-754.090582026984,-233.500690099783,False
M0968,-1608.81962220202,-52.0890630297363,False
M0969,-1919.22018087201,-150.872607420199,False
M0974,-1934.95804313401,267.039940180257,False
M0977,-1997.44875863998,328.817370389588,False
M0978,-1953.02092358499,283.3778996896,False
M0981,-2100.44072336197,347.773187760264,False
M0985,-1910.99071131099,257.807920079678,False
M0988,-812.886644479004,-255.228787889704,False
M0993,-798.34962855099,-244.546533339657,False
M0999,-772.241795608017,-252.043476680294,False
M1000,-826.993197550997,-243.41368813999,True
M1010,-1674.26530737302,206.489294890314,False
M1023,-1596.26608456299,-53.9995319703594,False
M1031,-1944.93338717002,10.986544219777,False
L0635,-1435.190528106,-156.548578949645,False
M1037,-2301.13105892699,256.790341819637,False
M1045,899.712715415983,-61.9725257698447,False
M1046,-2261.99971217802,-365.376101000234,False
M1053,1020.47392006102,-223.845960079692,False
M1055,1018.04769670498,-219.49792524986,False
M1060,898.358897864004,-41.9202538095415,False
M1067,1020.86086102697,-225.302630449645,False
M1073,898.399746773008,-39.5731093296781,False
M1077,897.905374921975,-44.8815137501806,False
M1083,118.474313159997,46.130800220184,False
M1085,1020.15698020899,-223.008584110066,False
M1086,1019.12904462602,-221.164146279916,False
M1087,900.164303129015,-61.5409487504512,False
M1089,857.942967740993,-22.4080674704164,False
M1098,897.212106699997,-43.3393709100783,False
M1103,901.084972254001,-104.707929310389,False
M1107,1020.38922786398,-218.191534969956,False
M1115,1021.52435883402,-222.21368663013,False
M1117,1025.42858096701,-226.540909980424,False
M1120,983.826331580989,-193.393252619542,False
M1121,935.971437891014,-163.704080710188,False
M1126,904.880931262975,-84.2889416897669,False
M1128,901.640005344001,-103.98984465003,False
M1129,901.948428663018,-90.7927218601108,False
M1144,913.140293024015,-164.186497610062,False
M1155,-1891.34075948701,20.5975384600461,False
M1156,1514.53031692898,-694.643296140246,False
M1159,-1877.737406892,23.7754195900634,False
M1160,-2064.48435811198,3.44741026032716,False
M1164,-1954.78024611901,9.79250246006995,False
M1171,1462.17023191502,-689.209665049799,False
M1177,-2173.01715028699,-107.256550270133,False
M1180,1489.43243414699,-695.193452539854,False
M1193,-2141.78616909898,-50.2999807195738,False
M1200,-2124.677226211,-29.5180167900398,False
M1214,117.401038742973,46.2235059002414,False
M1225,117.967374306987,46.4727782700211,False
M1251,115.89991120901,48.9205240001902,False
M1253,119.31032036501,45.5109609803185,False
M1293,119.172538133978,44.3630913803354,False
M1299,122.100200683984,41.588416500017,False
M1302,-772.046061082976,-251.132793629542,False
M1308,-739.30304498598,-218.349083510228,False
M1334,667.982977622014,-83.4182601096109,False
M1335,-773.585125254991,-253.202536970377,True
M1337,709.001704287017,-72.1917832801118,False
M1338,597.22853054502,-95.9365700799972,False
M1342,612.211567747989,-101.868138900027,False
L0729,560.872724758985,-83.0161084197462,False
M1347,488.788501693984,-62.0930985100567,False
M1349,493.297986852005,-58.2639133902267,False
M1382,968.923778687022,-524.045859919861,False
M1385,969.293746218027,-523.504574829713,False
M1400,974.944511206995,-528.985469199717,False
M1410,-366.257890017994,410.147585379891,False
M1420,-1296.56015542202,-206.303653090261,False
M1449,-1597.718644479,-52.8718111403286,False
M1453,-1605.82852520799,-51.5403324300423,False
J0420,385.463610857027,-71.13167151995,False
M1504,-1602.29178984498,-50.7055893903598,False
M1509,779.954426583019,-85.4912450304255,False
M1515,815.559767914005,-65.7162296399474,False
M1520,-1854.19616260799,-130.914308000356,False
M1524,363.912311181019,-76.6000327197835,False
M1548,-139.804429238022,439.129894750193,False
M1635,-2055.78788374102,-201.222297240049,False
M1711,433.38135066902,-82.3689265595749,False
M1804,-1739.73902753397,-110.735173139721,False
J1101,531.373752271989,-51.1033289702609,False
M1888,478.356129791995,-64.9033319903538,False
M1893,492.625586860988,-56.2544353799894,False
M1898,409.052991035976,-86.9579065898433,False
M1900,474.738956706016,-63.932585679926,False
M1902,474.311317886983,-67.7847186503932,False
M1957,-1727.60399210802,-91.3650949895382,False
M1970,-1731.11160551,-112.475667050108,False
M1976,-1730.30022984999,-98.8166061500087,False
M1981,-1334.51930435398,-205.528905189596,False
L1181,-1732.41959065798,-110.818703589961,False
M1997,-1728.85772163299,-90.5882532699034,False
M2024,428.511941028992,-80.416281349957,False
M2026,336.986690620019,-59.5637740399688,False
M2028,478.306928150996,-63.4991354402155,False
M2029,333.189720703987,-59.3028375497088,False
M2030,361.437943262979,-69.20848132018,False
M2033,278.334265468991,-59.3557390803471,False
M2035,333.762052332982,-60.3584447400644,False
M2037,337.180334407021,-57.8190586604178,False
M2047,244.137405325018,-71.8651220696047,False
M3089,-2760.60974858899,9.87866112962365,False
M3090,-2784.826461213,-13.4903260301799,False
M3091,-2887.95295919001,-36.7330250898376,False
M3092,-2912.20327737398,-33.9087662501261,False
M3093,-2946.52251986798,-36.4467517603189,False
M3094,-2946.52251986798,-36.4467517603189,False
M3095,-2946.52251986798,-36.4467517603189,False
M3096,-2946.52251986798,-36.4467517603189,False
M3097,-2956.33772608999,-41.4487928897142,False
M3099,-2966.88055257697,-48.7924450496212,False
M3100,-2973.02218796901,-50.7353780297562,False
M3101,-2982.71154370799,-64.5373596996069,False
M3102,-2984.66105282202,-66.9296007398516,False
M3103,-2983.82167736499,-70.2517205495387,False
M3104,-2963.34029698803,-42.411436050199,False
M3105,-2968.58402151603,-44.4400192797184,False
M0066,293.689308736997,-371.954185989685,False
M1811,338.187536347017,-385.080644659698,False
M1812,308.242277887999,-380.57691229973,False
M0233,-252.860602208995,-529.505276289769,False
M1844,432.090534686984,-78.5959608303383,False
M1873,206.104035874014,-371.282628280111,False
M1964,284.214409262,-377.518533480354,False
M1966,-808.907772156992,-326.693115689792,False
L0933,-596.393822540995,-431.123827310279,False
M1969,-1592.54224792297,-52.3062191102654,False
M1971,338.674607857014,-384.886021739803,False
M1973,234.605587630998,-379.394714780152,False
M1975,34.8344358510221,-433.19911072962,False
M1979,247.587197453016,-391.805111840367,False
M1991,334.123279215011,-383.427594070323,False
M1993,242.129099321028,-378.986437190324,False
K1200,489.951976626995,-376.391158189625,False
M2000,239.622093844984,-380.205272439867,False
M2001,100.371515986975,-414.314403800294,False
M2002,332.993873998988,-384.099447119981,False
M2003,205.697085317981,-365.030573819764,False
M2004,-268.402920839028,-541.779031629674,False
M2005,43.3996360130259,-429.892853030004,False
M2006,345.741556150024,-384.167310629971,False
M2007,376.745704723988,-375.226460720412,False
M2008,287.481270133983,-373.368423189968,False
M1455,241.541307348001,-378.885681849904,False
M2010,288.493127622001,-366.126727499999,False
M2012,233.802654027008,-369.023990579881,False
M2015,205.591567973024,-362.781788369641,False
M0067,233.311877197993,-361.431773420423,False
M2019,235.12620261102,-377.403680900112,False
M2020,-596.518785929016,-431.089144639671,False
M2021,214.618712567026,-369.910100510344,False
M2022,287.499255494971,-361.606254260056,False
M2023,234.710498670989,-378.686244180426,False
K1085,427.508750581997,-79.9668012196198,False
M2055,-139.224907804979,468.705037049949,False
M2058,753.448697156971,-71.9525167997926,False
M2059,432.537278347008,-79.1193866198882,False
M1914,426.85411699902,-78.4883250901476,False
M2062,360.835196344997,-70.0437212400138,False
M2064,52.1414807140245,39.4367993399501,False
M2066,-337.528181943984,-38.7595460498706,False
M2069,378.427730350988,-78.9556996300817,False
M2070,-139.387003061012,468.529121420346,False
M2072,338.726270060986,-59.0417729597539,False
L1593,435.304830092995,-74.7983547896147,False
M2075,416.486766631017,-82.0942843500525,False
M1665,68.0795804290101,41.3937552804127,False
L0021,-262.081474404025,-532.198812300339,False
K0314,60.7743967749993,-421.149695980363,False
L0039,-3.14983967499575,-451.669562250376,False
L0055,342.996630373993,-384.245353150181,False
L0056,-300.92298274301,-564.105345799588,False
L0057,204.396448942018,-379.981522000395,True
L0060,-313.166980682989,-569.431048650295,False
L0064,-276.938040637004,-542.827602460049,False
L0076,352.513561559026,-383.41097880993,False
L0078,269.015456160007,-390.966518639587,False
L0079,-269.099954730016,-537.734779380262,False
L0098,-320.378530949005,-572.056469090283,False
K0840,-212.612701145001,-518.885364510119,False
L0105,244.459012666019,-391.188239179552,False
L0106,-129.887855003006,-478.083279700018,False
K1755,112.920812761004,-409.960765009746,False
L0112,-348.389283245022,-575.559955479577,False
L0114,318.631086110021,-381.829750250094,False
L0120,252.268908169004,-388.335519320332,False
L0124,262.26041909802,-388.63799848035,False
K0032,296.188824785,-380.354358330369,False
K0760,426.124367980985,-364.923689080402,False
L0137,-134.661390478024,-480.28898916021,False
L0143,108.766901683004,-408.568687750027,False
L0146,425.012819657975,-270.409703549929,False
K0023,417.982237422024,-365.784116280265,False
L0150,424.066349675995,-362.472811779939,False
L0159,-88.1898352869903,-468.578941180371,False
L0168,-112.974658032996,-468.833580300212,False
L0169,123.538269401994,-395.842670070007,False
L0176,347.501787183981,-385.965352630243,False
L0188,46.6014001640142,-424.831538160332,False
L0191,71.6334925129777,-416.330259249546,False
L0199,56.9590346789919,-422.596357500181,False
L0214,295.055577640014,-382.279912630096,False
L0215,-67.0716119750286,-466.541993110441,False
L0220,297.443216554006,-381.703853590414,False
