iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.38	-7258.063	-19.609	-7238.455	0.32	1.0	0.474	7.955	1.04
10	0.009	0.375	-5279.836	-17.432	-5262.405	0.32	1.0	0.45	13.352	0.964
20	0.016	0.316	-3823.079	-20.534	-3802.545	0.32	1.0	0.446	11.244	0.617
30	0.024	0.319	-3712.026	-21.044	-3690.982	0.32	1.0	0.44	11.836	0.545
40	0.031	0.399	-3650.616	-19.598	-3631.018	0.32	1.0	0.416	19.763	0.47
50	0.038	0.466	-3633.975	-22.217	-3611.757	0.32	1.0	0.429	11.521	0.463
60	0.045	0.464	-3632.595	-23.554	-3609.041	0.32	1.0	0.428	9.533	0.435
70	0.052	0.474	-3622.64	-27.26	-3595.38	0.32	1.0	0.435	5.165	0.391
80	0.06	0.45	-3623.483	-26.624	-3596.859	0.32	1.0	0.434	5.74	0.398
90	0.067	0.46	-3624.007	-28.367	-3595.639	0.32	1.0	0.436	4.32	0.379
100	0.074	0.46	-3624.007	-28.367	-3595.639	0.32	1.0	0.436	4.32	0.379
110	0.081	0.465	-3622.94	-28.058	-3594.881	0.32	1.0	0.434	4.6	0.379
120	0.089	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
130	0.096	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
140	0.103	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
150	0.11	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
160	0.117	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
170	0.125	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
180	0.132	0.48	-3623.884	-30.42	-3593.463	0.32	1.0	0.437	3.144	0.354
190	0.14	0.492	-3623.436	-28.113	-3595.323	0.32	1.0	0.438	4.427	0.386
200	0.147	0.492	-3623.436	-28.113	-3595.323	0.32	1.0	0.438	4.427	0.386
210	0.154	0.492	-3623.436	-28.113	-3595.323	0.32	1.0	0.438	4.427	0.386
220	0.162	0.492	-3622.637	-27.547	-3595.09	0.32	1.0	0.437	4.881	0.391
230	0.169	0.492	-3622.637	-27.547	-3595.09	0.32	1.0	0.437	4.881	0.391
240	0.176	0.448	-3623.828	-25.942	-3597.885	0.32	1.0	0.434	6.351	0.409
250	0.183	0.454	-3625.309	-25.213	-3600.096	0.32	1.0	0.435	6.972	0.426
260	0.191	0.454	-3625.309	-25.213	-3600.096	0.32	1.0	0.435	6.972	0.426
270	0.198	0.451	-3625.623	-29.682	-3595.941	0.32	1.0	0.439	3.48	0.366
280	0.205	0.471	-3624.165	-29.971	-3594.194	0.32	1.0	0.437	3.361	0.36
290	0.212	0.47	-3624.119	-26.355	-3597.764	0.32	1.0	0.436	5.84	0.409
300	0.22	0.47	-3624.119	-26.355	-3597.764	0.32	1.0	0.436	5.84	0.409
310	0.227	0.47	-3624.119	-26.355	-3597.764	0.32	1.0	0.436	5.84	0.409
320	0.234	0.49	-3622.49	-27.148	-3595.342	0.32	1.0	0.436	5.21	0.395
330	0.242	0.512	-3623.273	-27.27	-3596.003	0.32	1.0	0.438	5.018	0.399
340	0.249	0.512	-3623.273	-27.27	-3596.003	0.32	1.0	0.438	5.018	0.399
350	0.256	0.512	-3623.273	-27.27	-3596.003	0.32	1.0	0.438	5.018	0.399
360	0.264	0.545	-3623.196	-32.154	-3591.042	0.32	1.0	0.456	2.16	0.36
370	0.271	0.545	-3623.196	-32.154	-3591.042	0.32	1.0	0.456	2.16	0.36
380	0.278	0.545	-3623.196	-32.154	-3591.042	0.32	1.0	0.456	2.16	0.36
390	0.286	0.544	-3623.517	-31.374	-3592.143	0.32	1.0	0.455	2.439	0.369
400	0.293	0.544	-3623.517	-31.374	-3592.143	0.32	1.0	0.455	2.439	0.369
410	0.301	0.513	-3623.164	-29.849	-3593.315	0.32	1.0	0.439	3.38	0.365
420	0.308	0.513	-3623.164	-29.849	-3593.315	0.32	1.0	0.439	3.38	0.365
430	0.315	0.513	-3623.164	-29.849	-3593.315	0.32	1.0	0.439	3.38	0.365
440	0.322	0.513	-3623.164	-29.849	-3593.315	0.32	1.0	0.439	3.38	0.365
450	0.33	0.513	-3623.164	-29.849	-3593.315	0.32	1.0	0.439	3.38	0.365
460	0.337	0.502	-3622.859	-28.696	-3594.164	0.32	1.0	0.438	4.06	0.378
470	0.344	0.479	-3625.294	-28.834	-3596.46	0.32	1.0	0.441	3.902	0.381
480	0.351	0.509	-3623.044	-29.386	-3593.658	0.32	1.0	0.439	3.636	0.37
490	0.358	0.509	-3623.044	-29.386	-3593.658	0.32	1.0	0.439	3.636	0.37
500	0.366	0.509	-3623.044	-29.386	-3593.658	0.32	1.0	0.439	3.636	0.37
510	0.373	0.509	-3623.044	-29.386	-3593.658	0.32	1.0	0.439	3.636	0.37
520	0.381	0.519	-3622.426	-29.375	-3593.051	0.32	1.0	0.438	3.663	0.369
530	0.388	0.519	-3622.426	-29.375	-3593.051	0.32	1.0	0.438	3.663	0.369
540	0.395	0.519	-3622.426	-29.375	-3593.051	0.32	1.0	0.438	3.663	0.369
550	0.403	0.519	-3622.426	-29.375	-3593.051	0.32	1.0	0.438	3.663	0.369
560	0.41	0.491	-3624.368	-28.763	-3595.605	0.32	1.0	0.44	3.962	0.38
570	0.417	0.491	-3624.368	-28.763	-3595.605	0.32	1.0	0.44	3.962	0.38
580	0.424	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
590	0.432	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
600	0.439	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
610	0.447	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
620	0.454	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
630	0.462	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
640	0.469	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
650	0.476	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
660	0.483	0.547	-3615.097	-28.463	-3586.634	0.32	1.0	0.443	4.059	0.39
670	0.49	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
680	0.497	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
690	0.505	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
700	0.512	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
710	0.519	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
720	0.527	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
730	0.534	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
740	0.542	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
750	0.549	0.568	-3616.517	-29.194	-3587.323	0.32	1.0	0.445	3.581	0.384
760	0.556	0.566	-3618.377	-30.755	-3587.623	0.32	1.0	0.449	2.768	0.369
770	0.563	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
780	0.57	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
790	0.578	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
800	0.585	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
810	0.592	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
820	0.599	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
830	0.607	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
840	0.614	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
850	0.622	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
860	0.629	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
870	0.636	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
880	0.644	0.562	-3616.121	-30.621	-3585.5	0.32	1.0	0.447	2.872	0.366
