iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.413	-3868.257	-16.951	-3851.306	0.22	0.581	0.461	10.319	1.091
10	0.008	0.338	-3847.819	-13.775	-3834.044	0.22	0.643	0.442	19.879	1.124
20	0.015	0.382	-3841.603	-13.293	-3828.31	0.22	0.651	0.441	21.495	1.165
30	0.022	0.485	-3722.805	-12.937	-3709.867	0.22	0.736	0.44	23.051	1.183
40	0.03	0.494	-3718.458	-13.509	-3704.949	0.22	0.704	0.441	21.639	1.084
50	0.037	0.494	-3718.458	-13.509	-3704.949	0.22	0.704	0.441	21.639	1.084
60	0.044	0.505	-3715.695	-13.413	-3702.282	0.22	0.708	0.44	22.319	1.071
70	0.051	0.524	-3713.797	-13.238	-3700.56	0.22	0.73	0.439	23.157	1.075
80	0.058	0.529	-3712.027	-13.211	-3698.816	0.22	0.737	0.439	23.537	1.061
90	0.065	0.526	-3706.048	-12.915	-3693.133	0.22	0.798	0.437	26.046	1.022
100	0.072	0.523	-3702.947	-13.731	-3689.216	0.22	0.776	0.438	23.539	0.935
110	0.081	0.528	-3703.071	-13.268	-3689.803	0.22	0.78	0.438	25.182	0.971
120	0.089	0.51	-3700.853	-13.003	-3687.85	0.22	0.799	0.437	26.908	0.965
130	0.098	0.527	-3697.68	-12.906	-3684.774	0.22	0.846	0.436	28.531	0.933
140	0.105	0.527	-3697.68	-12.906	-3684.774	0.22	0.846	0.436	28.531	0.933
150	0.112	0.527	-3697.68	-12.906	-3684.774	0.22	0.846	0.436	28.531	0.933
160	0.119	0.509	-3693.81	-13.336	-3680.473	0.22	0.851	0.435	27.762	0.872
170	0.127	0.509	-3693.81	-13.336	-3680.473	0.22	0.851	0.435	27.762	0.872
180	0.134	0.513	-3696.857	-13.499	-3683.357	0.22	0.838	0.436	26.187	0.889
190	0.141	0.535	-3696.404	-13.646	-3682.758	0.22	0.856	0.436	25.849	0.874
200	0.148	0.516	-3696.918	-14.462	-3682.455	0.22	0.858	0.438	22.836	0.828
210	0.155	0.545	-3697.237	-14.793	-3682.445	0.22	0.875	0.433	26.083	0.694
220	0.163	0.54	-3696.057	-14.749	-3681.307	0.22	0.865	0.438	22.026	0.808
230	0.17	0.549	-3696.572	-15.642	-3680.929	0.22	0.849	0.44	19.048	0.772
240	0.177	0.539	-3698.11	-15.679	-3682.431	0.22	0.842	0.438	20.062	0.731
250	0.184	0.509	-3689.336	-15.044	-3674.292	0.22	0.901	0.436	22.787	0.744
260	0.192	0.5	-3688.072	-15.483	-3672.589	0.22	0.906	0.437	21.651	0.717
270	0.199	0.49	-3687.998	-16.437	-3671.562	0.22	0.865	0.438	18.448	0.685
280	0.206	0.499	-3685.191	-17.02	-3668.171	0.22	0.898	0.438	17.526	0.647
290	0.214	0.499	-3685.191	-17.02	-3668.171	0.22	0.898	0.438	17.526	0.647
300	0.221	0.478	-3684.165	-17.625	-3666.54	0.22	0.899	0.438	16.346	0.617
310	0.228	0.478	-3684.165	-17.625	-3666.54	0.22	0.899	0.438	16.346	0.617
320	0.235	0.478	-3684.165	-17.625	-3666.54	0.22	0.899	0.438	16.346	0.617
330	0.242	0.491	-3685.016	-17.353	-3667.663	0.22	0.915	0.438	16.937	0.63
340	0.249	0.488	-3686.985	-17.825	-3669.161	0.22	0.916	0.439	15.518	0.623
350	0.256	0.463	-3685.63	-18.093	-3667.538	0.22	0.921	0.438	15.342	0.602
360	0.264	0.506	-3686.739	-16.259	-3670.48	0.22	0.944	0.436	20.227	0.665
370	0.271	0.506	-3686.739	-16.259	-3670.48	0.22	0.944	0.436	20.227	0.665
380	0.278	0.506	-3686.739	-16.259	-3670.48	0.22	0.944	0.436	20.227	0.665
390	0.285	0.506	-3686.739	-16.259	-3670.48	0.22	0.944	0.436	20.227	0.665
400	0.292	0.503	-3685.628	-16.681	-3668.948	0.22	0.928	0.437	18.773	0.653
410	0.299	0.503	-3685.628	-16.681	-3668.948	0.22	0.928	0.437	18.773	0.653
420	0.306	0.506	-3685.276	-16.103	-3669.173	0.22	0.923	0.436	20.448	0.674
430	0.314	0.506	-3685.276	-16.103	-3669.173	0.22	0.923	0.436	20.448	0.674
440	0.321	0.506	-3685.276	-16.103	-3669.173	0.22	0.923	0.436	20.448	0.674
450	0.328	0.506	-3685.276	-16.103	-3669.173	0.22	0.923	0.436	20.448	0.674
460	0.335	0.472	-3688.766	-16.332	-3672.434	0.22	0.903	0.438	19.078	0.682
470	0.343	0.484	-3686.63	-16.483	-3670.148	0.22	0.897	0.438	18.836	0.671
480	0.35	0.47	-3684.682	-17.288	-3667.394	0.22	0.931	0.437	17.607	0.62
490	0.357	0.483	-3685.301	-17.723	-3667.578	0.22	0.93	0.438	16.244	0.613
500	0.364	0.483	-3685.301	-17.723	-3667.578	0.22	0.93	0.438	16.244	0.613
510	0.372	0.474	-3684.581	-17.52	-3667.062	0.22	0.912	0.438	16.69	0.619
520	0.379	0.474	-3684.581	-17.52	-3667.062	0.22	0.912	0.438	16.69	0.619
530	0.386	0.474	-3684.581	-17.52	-3667.062	0.22	0.912	0.438	16.69	0.619
540	0.393	0.489	-3684.384	-16.884	-3667.5	0.22	0.927	0.437	18.51	0.638
550	0.4	0.476	-3685.094	-16.3	-3668.794	0.22	0.925	0.436	20.157	0.659
560	0.407	0.476	-3685.094	-16.3	-3668.794	0.22	0.925	0.436	20.157	0.659
570	0.414	0.485	-3685.977	-15.825	-3670.152	0.22	0.888	0.436	20.844	0.693
580	0.422	0.485	-3685.977	-15.825	-3670.152	0.22	0.888	0.436	20.844	0.693
590	0.429	0.485	-3685.977	-15.825	-3670.152	0.22	0.888	0.436	20.844	0.693
600	0.436	0.502	-3686.197	-15.789	-3670.409	0.22	0.893	0.437	20.844	0.698
610	0.443	0.502	-3686.197	-15.789	-3670.409	0.22	0.893	0.437	20.844	0.698
620	0.45	0.517	-3687.248	-15.942	-3671.306	0.22	0.918	0.437	20.454	0.693
630	0.458	0.508	-3686.494	-15.845	-3670.648	0.22	0.922	0.436	21.004	0.69
640	0.465	0.482	-3686.324	-15.358	-3670.966	0.22	0.927	0.435	22.993	0.7
650	0.472	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
660	0.479	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
670	0.487	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
680	0.494	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
690	0.501	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
700	0.508	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
710	0.516	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
720	0.523	0.476	-3687.473	-15.61	-3671.863	0.22	0.938	0.435	22.249	0.69
730	0.53	0.511	-3689.243	-16.304	-3672.939	0.22	0.939	0.433	21.437	0.629
740	0.537	0.506	-3690.287	-15.172	-3675.115	0.22	0.922	0.433	24.649	0.684
750	0.544	0.508	-3688.065	-16.165	-3671.9	0.22	0.948	0.436	20.381	0.673
760	0.551	0.501	-3686.9	-17.037	-3669.863	0.22	0.965	0.436	18.731	0.623
770	0.558	0.51	-3687.066	-15.839	-3671.227	0.22	0.927	0.436	21.011	0.692
780	0.566	0.47	-3685.061	-16.92	-3668.141	0.22	0.927	0.436	18.448	0.636
