iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
670	0.566	0.583	-3688.317	-14.857	-3673.46	0.22	0.929	0.429	28.716	0.642
680	0.574	0.593	-3689.319	-15.137	-3674.182	0.22	0.905	0.427	28.506	0.613
690	0.582	0.593	-3689.319	-15.137	-3674.182	0.22	0.905	0.427	28.506	0.613
700	0.59	0.595	-3690.387	-15.152	-3675.235	0.22	0.901	0.426	29.017	0.603
710	0.598	0.595	-3690.387	-15.152	-3675.235	0.22	0.901	0.426	29.017	0.603
720	0.606	0.596	-3691.493	-14.52	-3676.973	0.22	0.89	0.425	32.255	0.619
730	0.615	0.575	-3689.792	-14.894	-3674.898	0.22	0.943	0.426	30.26	0.616
740	0.624	0.584	-3688.559	-13.954	-3674.604	0.22	0.922	0.429	32.686	0.68
750	0.633	0.595	-3688.493	-13.899	-3674.593	0.22	0.917	0.429	33.152	0.679
760	0.641	0.595	-3688.493	-13.899	-3674.593	0.22	0.917	0.429	33.152	0.679
770	0.65	0.578	-3689.689	-14.848	-3674.841	0.22	0.931	0.426	30.515	0.615
780	0.659	0.579	-3690.22	-14.886	-3675.334	0.22	0.931	0.425	30.697	0.608
790	0.667	0.581	-3689.689	-15.128	-3674.561	0.22	0.929	0.426	29.261	0.605
800	0.676	0.582	-3689.25	-14.891	-3674.359	0.22	0.944	0.428	29.536	0.627
810	0.684	0.59	-3688.961	-14.657	-3674.305	0.22	0.905	0.428	30.293	0.635
820	0.693	0.59	-3688.961	-14.657	-3674.305	0.22	0.905	0.428	30.293	0.635
830	0.702	0.59	-3688.961	-14.657	-3674.305	0.22	0.905	0.428	30.293	0.635
840	0.71	0.588	-3688.928	-14.302	-3674.625	0.22	0.901	0.428	31.824	0.65
850	0.718	0.588	-3688.928	-14.302	-3674.625	0.22	0.901	0.428	31.824	0.65
860	0.726	0.597	-3689.446	-14.727	-3674.719	0.22	0.909	0.427	30.358	0.627
870	0.735	0.582	-3688.359	-14.542	-3673.816	0.22	0.914	0.428	30.444	0.647
880	0.743	0.582	-3688.359	-14.542	-3673.816	0.22	0.914	0.428	30.444	0.647
890	0.751	0.592	-3688.535	-13.978	-3674.557	0.22	0.901	0.429	32.177	0.683
900	0.76	0.592	-3688.535	-13.978	-3674.557	0.22	0.901	0.429	32.177	0.683
910	0.768	0.605	-3688.898	-13.576	-3675.322	0.22	0.911	0.429	33.838	0.707
920	0.776	0.605	-3688.898	-13.576	-3675.322	0.22	0.911	0.429	33.838	0.707
930	0.785	0.627	-3691.047	-13.893	-3677.154	0.22	0.947	0.428	33.73	0.676
940	0.793	0.609	-3690.395	-12.938	-3677.457	0.22	0.919	0.43	36.232	0.756
950	0.802	0.59	-3690.413	-12.293	-3678.12	0.22	0.921	0.429	40.298	0.785
960	0.81	0.577	-3690.76	-12.185	-3678.575	0.22	0.94	0.428	42.433	0.772
970	0.818	0.596	-3690.929	-11.747	-3679.182	0.22	0.888	0.429	43.184	0.821
980	0.827	0.596	-3690.929	-11.747	-3679.182	0.22	0.888	0.429	43.184	0.821
990	0.835	0.607	-3690.385	-12.474	-3677.911	0.22	0.919	0.429	39.516	0.77
1000	0.843	0.612	-3691.564	-12.478	-3679.087	0.22	0.918	0.43	38.273	0.79
1010	0.851	0.624	-3691.64	-12.129	-3679.511	0.22	0.931	0.428	42.907	0.772
1020	0.86	0.592	-3689.528	-12.749	-3676.778	0.22	0.878	0.429	37.659	0.754
1030	0.868	0.587	-3690.756	-12.984	-3677.772	0.22	0.95	0.428	37.871	0.729
1040	0.876	0.596	-3689.203	-12.943	-3676.26	0.22	0.918	0.429	37.731	0.73
1050	0.884	0.591	-3688.97	-12.98	-3675.99	0.22	0.912	0.428	37.704	0.725
1060	0.893	0.597	-3690.79	-12.029	-3678.761	0.22	0.873	0.429	41.172	0.806
1070	0.901	0.597	-3690.79	-12.029	-3678.761	0.22	0.873	0.429	41.172	0.806
1080	0.909	0.607	-3690.27	-12.345	-3677.925	0.22	0.881	0.428	41.198	0.758
1090	0.917	0.607	-3690.27	-12.345	-3677.925	0.22	0.881	0.428	41.198	0.758
1100	0.925	0.607	-3690.27	-12.345	-3677.925	0.22	0.881	0.428	41.198	0.758
1110	0.933	0.598	-3689.65	-12.925	-3676.725	0.22	0.919	0.427	39.343	0.709
1120	0.941	0.611	-3689.487	-13.977	-3675.51	0.22	0.932	0.428	33.386	0.668
