iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1871.825	-15.53	-1856.295	0.22	0.591	11.054	1.006
100	0.085	-1746.202	-11.77	-1734.432	0.22	0.935	25.353	0.625
200	0.169	-1736.732	-10.143	-1726.589	0.22	0.964	37.466	0.606
300	0.255	-1735.811	-10.04	-1725.772	0.22	0.947	37.952	0.614
400	0.341	-1735.795	-10.31	-1725.485	0.22	0.956	35.972	0.599
500	0.427	-1735.795	-10.31	-1725.485	0.22	0.956	35.972	0.599
600	0.511	-1735.795	-10.31	-1725.485	0.22	0.956	35.972	0.599
700	0.597	-1735.58	-10.102	-1725.478	0.22	0.956	37.565	0.613
800	0.682	-1736.172	-9.685	-1726.488	0.22	0.954	41.119	0.636
900	0.767	-1736.28	-9.442	-1726.838	0.22	0.962	43.512	0.659
1000	0.852	-1737.45	-9.011	-1728.438	0.22	0.952	47.863	0.679
1100	0.937	-1736.991	-9.396	-1727.595	0.22	0.937	43.605	0.648
1200	1.024	-1736.415	-10.088	-1726.327	0.22	0.972	38.014	0.618
1300	1.109	-1737.134	-9.614	-1727.52	0.22	0.947	41.734	0.632
1400	1.192	-1736.156	-10.556	-1725.6	0.22	0.951	34.124	0.584
1500	1.274	-1735.989	-10.564	-1725.425	0.22	0.955	34.105	0.584
1600	1.366	-1735.831	-10.801	-1725.03	0.22	0.961	32.542	0.575
1700	1.457	-1740.276	-9.424	-1730.852	0.22	0.952	43.895	0.625
1800	1.549	-1739.21	-8.921	-1730.29	0.22	0.94	48.783	0.67
1900	1.64	-1736.877	-9.395	-1727.482	0.22	0.931	43.513	0.65
2000	1.732	-1737.011	-9.269	-1727.742	0.22	0.952	45.114	0.66
2100	1.824	-1736.236	-9.473	-1726.763	0.22	0.944	42.911	0.649
2200	1.917	-1736.808	-9.162	-1727.646	0.22	0.948	46.124	0.67
2300	2.009	-1736.661	-9.906	-1726.755	0.22	0.969	39.492	0.625
2400	2.102	-1737.427	-9.719	-1727.709	0.22	0.976	41.322	0.642
2500	2.194	-1740.649	-9.178	-1731.472	0.22	0.928	45.933	0.642
2600	2.286	-1736.129	-10.023	-1726.106	0.22	0.952	38.203	0.613
2700	2.377	-1737.377	-10.162	-1727.215	0.22	0.946	37.105	0.597
2800	2.469	-1738.112	-9.717	-1728.394	0.22	0.947	40.888	0.619
2900	2.561	-1737.198	-9.89	-1727.309	0.22	0.948	39.335	0.614
3000	2.653	-1735.998	-10.497	-1725.502	0.22	0.972	34.833	0.596
3100	2.744	-1738.02	-10.153	-1727.867	0.22	0.961	37.477	0.596
3200	2.836	-1739.22	-10.534	-1728.686	0.22	0.957	33.974	0.614
3300	2.928	-1739.672	-10.514	-1729.158	0.22	0.952	34.106	0.609
3400	3.019	-1738.158	-8.883	-1729.275	0.22	0.956	49.444	0.686
3500	3.11	-1737.817	-8.736	-1729.082	0.22	0.946	50.923	0.701
3600	3.201	-1739.205	-8.975	-1730.23	0.22	0.961	48.614	0.671
3700	3.292	-1737.602	-8.634	-1728.968	0.22	0.956	52.365	0.723
3800	3.384	-1741.066	-8.211	-1732.855	0.22	0.949	58.103	0.731
3900	3.475	-1737.101	-9.213	-1727.888	0.22	0.957	45.779	0.666
4000	3.566	-1740.338	-8.679	-1731.66	0.22	0.945	51.79	0.684
4100	3.658	-1736.898	-9.171	-1727.727	0.22	0.959	46.239	0.674
4200	3.75	-1738.398	-8.628	-1729.771	0.22	0.95	52.387	0.708
4300	3.841	-1736.912	-8.958	-1727.953	0.22	0.963	48.609	0.7
4400	3.929	-1739.814	-10.362	-1729.452	0.22	0.984	36.481	0.591
4500	4.008	-1739.011	-10.88	-1728.131	0.22	0.956	31.589	0.595
4600	4.085	-1736.614	-11.593	-1725.021	0.22	0.979	28.008	0.545
4700	4.162	-1736.614	-11.593	-1725.021	0.22	0.979	28.008	0.545
4800	4.239	-1738.319	-11.793	-1726.526	0.22	0.97	26.287	0.563
4900	4.315	-1740.366	-11.483	-1728.882	0.22	0.965	28.147	0.56
5000	4.392	-1735.876	-10.536	-1725.339	0.22	0.964	34.428	0.59
5100	4.469	-1737.089	-10.439	-1726.65	0.22	0.977	35.452	0.596
5200	4.546	-1739.069	-10.818	-1728.251	0.22	0.963	32.074	0.602
5300	4.623	-1743.049	-11.538	-1731.511	0.22	0.962	28.069	0.539
5400	4.7	-1736.474	-10.162	-1726.313	0.22	0.973	37.454	0.614
5500	4.777	-1736.868	-10.278	-1726.59	0.22	0.956	36.311	0.595
5600	4.854	-1735.818	-9.675	-1726.142	0.22	0.96	41.262	0.642
5700	4.931	-1735.789	-9.613	-1726.176	0.22	0.953	41.706	0.644
5800	5.008	-1736.313	-10.087	-1726.226	0.22	0.941	37.531	0.607
5900	5.085	-1736.064	-10.141	-1725.923	0.22	0.947	37.164	0.606
6000	5.162	-1737.421	-9.339	-1728.082	0.22	0.957	44.542	0.653
6100	5.238	-1736.638	-9.107	-1727.531	0.22	0.962	46.957	0.686
6200	5.314	-1736.841	-9.276	-1727.565	0.22	0.956	45.108	0.663
6300	5.39	-1737.776	-8.973	-1728.803	0.22	0.928	47.875	0.677
6400	5.467	-1738.783	-8.809	-1729.974	0.22	0.915	49.576	0.688
6500	5.543	-1739.322	-8.284	-1731.038	0.22	0.962	57.331	0.757
6600	5.62	-1738.788	-8.401	-1730.387	0.22	0.915	54.647	0.732
6700	5.696	-1738.834	-8.646	-1730.188	0.22	0.917	51.565	0.703
6800	5.773	-1738.194	-9.265	-1728.929	0.22	0.933	44.932	0.65
6900	5.855	-1736.274	-9.586	-1726.689	0.22	0.964	42.201	0.648
7000	5.931	-1738.031	-9.513	-1728.518	0.22	0.957	42.93	0.635
7100	6.008	-1735.98	-9.632	-1726.347	0.22	0.955	41.591	0.642
7200	6.084	-1736.48	-9.364	-1727.116	0.22	0.956	44.193	0.659
7300	6.16	-1738.493	-10.127	-1728.366	0.22	0.96	37.7	0.594
7400	6.237	-1736.069	-10.029	-1726.04	0.22	0.947	38.066	0.613
7500	6.313	-1735.811	-10.032	-1725.779	0.22	0.946	38.005	0.614
7600	6.39	-1735.697	-9.977	-1725.72	0.22	0.962	38.683	0.623
7700	6.466	-1736.122	-9.27	-1726.853	0.22	0.951	45.014	0.668
7800	6.542	-1738.976	-8.966	-1730.01	0.22	0.932	48.122	0.669
7900	6.618	-1739.129	-8.071	-1731.059	0.22	0.946	60.084	0.779
8000	6.695	-1742.36	-7.534	-1734.826	0.22	0.916	68.772	0.827
8100	6.771	-1737.632	-8.65	-1728.982	0.22	0.937	51.785	0.71
8200	6.848	-1738.325	-8.948	-1729.377	0.22	0.939	48.396	0.674
8300	6.924	-1738.314	-8.757	-1729.557	0.22	0.932	50.439	0.694
8400	7.001	-1738.173	-8.718	-1729.455	0.22	0.943	51.103	0.698
8500	7.077	-1737.715	-9.078	-1728.637	0.22	0.94	46.943	0.668
8600	7.155	-1737.523	-8.946	-1728.577	0.22	0.953	48.619	0.685
8700	7.232	-1736.186	-9.511	-1726.675	0.22	0.963	42.87	0.655
8800	7.308	-1737.404	-10.575	-1726.829	0.22	0.958	34.191	0.577
8900	7.385	-1740.255	-10.296	-1729.959	0.22	0.983	37.018	0.59
9000	7.463	-1736.271	-9.688	-1726.584	0.22	0.967	41.32	0.643
9100	7.541	-1736.764	-9.641	-1727.124	0.22	0.964	41.752	0.64
9200	7.618	-1736.611	-8.871	-1727.74	0.22	0.95	49.311	0.701
9300	7.695	-1736.061	-9.426	-1726.635	0.22	0.945	43.354	0.654
9400	7.777	-1737.384	-9.203	-1728.181	0.22	0.962	46.008	0.669
9500	7.861	-1736.691	-8.993	-1727.698	0.22	0.954	48.021	0.69
9600	7.944	-1739.041	-9.424	-1729.617	0.22	0.947	43.696	0.632
9700	8.024	-1737.349	-9.342	-1728.007	0.22	0.973	44.816	0.672
9800	8.102	-1738.997	-8.586	-1730.411	0.22	0.916	52.294	0.708
9900	8.184	-1737.252	-8.699	-1728.554	0.22	0.954	51.487	0.716
10000	8.261	-1737.167	-9.526	-1727.642	0.22	0.971	42.98	0.653
10100	8.337	-1736.051	-9.383	-1726.668	0.22	0.95	43.856	0.658
10200	8.414	-1736.563	-9.463	-1727.1	0.22	0.967	43.441	0.659
10300	8.491	-1736.845	-9.918	-1726.927	0.22	0.975	39.519	0.631
10400	8.568	-1737.069	-9.125	-1727.944	0.22	0.934	46.283	0.669
10500	8.644	-1737.743	-9.107	-1728.636	0.22	0.967	47.163	0.68
10600	8.721	-1736.87	-9.347	-1727.523	0.22	0.965	44.565	0.663
10700	8.798	-1737.182	-10.113	-1727.069	0.22	0.973	37.921	0.612
10800	8.878	-1740.598	-12.286	-1728.312	0.22	0.983	24.152	0.541
10900	8.96	-1740.598	-12.286	-1728.312	0.22	0.983	24.152	0.541
11000	9.039	-1739.119	-12.256	-1726.863	0.22	0.977	24.101	0.545
11100	9.12	-1736.963	-11.031	-1725.932	0.22	0.969	31.256	0.561
11200	9.203	-1741.102	-11.156	-1729.946	0.22	0.977	30.281	0.58
11300	9.285	-1736.812	-9.213	-1727.599	0.22	0.941	45.485	0.664
11400	9.367	-1737.881	-8.585	-1729.296	0.22	0.932	52.496	0.716
11500	9.45	-1739.595	-8.47	-1731.125	0.22	0.951	54.486	0.715
11600	9.532	-1738.163	-8.849	-1729.314	0.22	0.962	49.973	0.696
11700	9.615	-1738.85	-8.222	-1730.628	0.22	0.936	57.549	0.752
11800	9.693	-1739.424	-8.379	-1731.045	0.22	0.955	55.799	0.732
11900	9.775	-1737.625	-8.708	-1728.917	0.22	0.958	51.496	0.715
12000	9.858	-1736.34	-9.905	-1726.435	0.22	0.951	39.171	0.619
12100	9.941	-1735.752	-10.051	-1725.702	0.22	0.955	37.986	0.615
12200	10.023	-1735.752	-10.051	-1725.702	0.22	0.955	37.986	0.615
12300	10.105	-1735.752	-10.051	-1725.702	0.22	0.955	37.986	0.615
12400	10.188	-1736.594	-10.294	-1726.3	0.22	0.962	36.251	0.597
12500	10.271	-1737.237	-10.873	-1726.364	0.22	0.974	32.38	0.569
12600	10.355	-1738.721	-10.273	-1728.448	0.22	0.957	36.526	0.585
12700	10.438	-1736.932	-10.583	-1726.349	0.22	0.98	34.44	0.593
12800	10.521	-1739.725	-10.544	-1729.181	0.22	0.978	34.992	0.575
12900	10.599	-1737.539	-9.628	-1727.911	0.22	0.963	41.918	0.633
13000	10.682	-1736.226	-9.578	-1726.648	0.22	0.958	42.157	0.645
13100	10.766	-1737.547	-10.61	-1726.937	0.22	0.976	34.263	0.583
13200	10.857	-1736.807	-10.711	-1726.096	0.22	0.971	33.389	0.578
13300	10.94	-1736.697	-10.91	-1725.787	0.22	0.977	32.128	0.573
13400	11.019	-1738.232	-11.006	-1727.226	0.22	0.956	30.692	0.594
13500	11.102	-1737.919	-10.57	-1727.349	0.22	0.964	34.383	0.576
13600	11.184	-1736.142	-10.202	-1725.94	0.22	0.949	36.731	0.602
13700	11.261	-1736.134	-10.221	-1725.913	0.22	0.962	36.78	0.604
13800	11.342	-1738.796	-10.511	-1728.285	0.22	0.954	34.054	0.617
13900	11.419	-1737.489	-9.906	-1727.584	0.22	0.95	39.255	0.611
14000	11.506	-1736.329	-9.587	-1726.742	0.22	0.95	41.954	0.64
14100	11.593	-1737.569	-9.743	-1727.826	0.22	0.932	40.39	0.621
14200	11.675	-1736.736	-10.212	-1726.524	0.22	0.975	37.109	0.611
14300	11.756	-1736.599	-10.158	-1726.441	0.22	0.976	37.529	0.617
14400	11.839	-1738.403	-9.661	-1728.742	0.22	0.978	41.996	0.64
14500	11.922	-1735.841	-9.524	-1726.317	0.22	0.952	42.533	0.65
14600	12.004	-1736.972	-9.423	-1727.549	0.22	0.956	43.656	0.649
14700	12.087	-1737.32	-9.444	-1727.876	0.22	0.924	42.974	0.644
14800	12.17	-1736.118	-10.303	-1725.814	0.22	0.964	36.164	0.6
14900	12.252	-1736.593	-9.733	-1726.86	0.22	0.937	40.463	0.628
15000	12.334	-1737.88	-9.716	-1728.164	0.22	0.973	41.349	0.633
15100	12.411	-1737.227	-9.862	-1727.365	0.22	0.958	39.746	0.617
15200	12.494	-1736.614	-10.145	-1726.469	0.22	0.968	37.51	0.609
15300	12.577	-1739.04	-9.907	-1729.132	0.22	0.97	39.742	0.608
15400	12.663	-1736.065	-10.048	-1726.018	0.22	0.954	38.025	0.613
15500	12.748	-1736.021	-10.003	-1726.017	0.22	0.963	38.517	0.619
15600	12.834	-1739.051	-10.475	-1728.576	0.22	0.95	34.295	0.616
15700	12.918	-1735.773	-10.088	-1725.685	0.22	0.953	37.653	0.612
15800	13.004	-1735.814	-10.413	-1725.402	0.22	0.967	35.358	0.598
15900	13.09	-1738.025	-10.588	-1727.438	0.22	0.978	34.508	0.583
16000	13.173	-1735.668	-10.379	-1725.289	0.22	0.963	35.536	0.599
16100	13.257	-1738.353	-11.328	-1727.025	0.22	0.987	29.86	0.555
16200	13.343	-1737.401	-10.502	-1726.899	0.22	0.982	35.11	0.598
