iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1903.77	-9.342	-1894.429	0.22	0.981	71.054	2.006
100	0.085	-1791.974	-8.354	-1783.62	0.22	0.827	68.988	1.523
200	0.161	-1754.748	-8.436	-1746.312	0.22	0.935	55.542	0.953
300	0.237	-1751.472	-8.668	-1742.804	0.22	0.934	51.735	0.89
400	0.321	-1738.385	-9.001	-1729.384	0.22	0.967	48.388	0.683
500	0.402	-1737.406	-9.531	-1727.875	0.22	0.928	42.215	0.637
600	0.486	-1737.074	-9.739	-1727.335	0.22	0.974	41.076	0.641
700	0.565	-1737.368	-9.872	-1727.496	0.22	0.979	40.021	0.637
800	0.641	-1737.144	-10.615	-1726.528	0.22	0.964	33.983	0.578
900	0.721	-1735.788	-10.047	-1725.74	0.22	0.963	38.143	0.618
1000	0.797	-1736.402	-9.628	-1726.774	0.22	0.935	41.351	0.636
1100	0.877	-1739.575	-9.239	-1730.335	0.22	0.934	45.322	0.643
1200	0.952	-1737.188	-9.224	-1727.965	0.22	0.946	45.48	0.661
1300	1.029	-1738.301	-9.482	-1728.819	0.22	0.971	43.527	0.646
1400	1.111	-1737.651	-9.56	-1728.091	0.22	0.967	42.644	0.641
1500	1.198	-1737.71	-9.974	-1727.736	0.22	0.977	39.176	0.621
1600	1.274	-1736.535	-10.005	-1726.53	0.22	0.96	38.502	0.614
1700	1.349	-1742.457	-10.788	-1731.669	0.22	0.956	31.533	0.668
1800	1.429	-1743.785	-10.689	-1733.097	0.22	0.95	32.044	0.69
1900	1.496	-1738.013	-11.022	-1726.991	0.22	0.979	31.581	0.562
2000	1.574	-1736.436	-10.022	-1726.414	0.22	0.958	38.331	0.613
2100	1.657	-1737.074	-9.435	-1727.639	0.22	0.955	43.543	0.648
2200	1.739	-1736.498	-9.717	-1726.781	0.22	0.969	41.122	0.641
2300	1.812	-1739.007	-10.524	-1728.482	0.22	0.94	33.823	0.612
2400	1.892	-1737.255	-10.715	-1726.54	0.22	0.972	33.421	0.575
2500	1.977	-1736.989	-10.807	-1726.181	0.22	0.964	32.643	0.569
2600	2.06	-1737.205	-10.48	-1726.726	0.22	0.96	34.899	0.583
2700	2.146	-1737.334	-9.405	-1727.929	0.22	0.956	43.87	0.648
2800	2.225	-1736.49	-9.328	-1727.162	0.22	0.94	44.281	0.658
2900	2.293	-1737.036	-8.99	-1728.045	0.22	0.932	47.704	0.682
3000	2.362	-1736.844	-9.071	-1727.773	0.22	0.944	47.019	0.677
3100	2.446	-1737.425	-8.913	-1728.512	0.22	0.964	49.199	0.7
3200	2.529	-1737.572	-8.499	-1729.073	0.22	0.935	53.632	0.731
3300	2.609	-1739.872	-8.813	-1731.059	0.22	0.977	50.912	0.708
3400	2.687	-1737.553	-8.542	-1729.011	0.22	0.932	53.019	0.725
3500	2.753	-1737.624	-8.477	-1729.148	0.22	0.954	54.363	0.742
3600	2.823	-1739.527	-8.034	-1731.493	0.22	0.914	59.975	0.776
3700	2.89	-1736.928	-8.635	-1728.293	0.22	0.946	52.089	0.723
3800	2.958	-1736.732	-8.978	-1727.754	0.22	0.941	47.96	0.686
3900	3.026	-1740.131	-8.683	-1731.448	0.22	0.905	51.003	0.693
4000	3.107	-1736.947	-9.094	-1727.854	0.22	0.942	46.748	0.673
4100	3.188	-1736.996	-9.48	-1727.515	0.22	0.927	42.648	0.643
4200	3.271	-1735.968	-9.665	-1726.303	0.22	0.96	41.378	0.642
4300	3.353	-1736.122	-9.841	-1726.281	0.22	0.956	39.789	0.626
4400	3.434	-1737.056	-9.051	-1728.006	0.22	0.955	47.449	0.681
4500	3.508	-1737.677	-9.33	-1728.347	0.22	0.976	45.013	0.675
4600	3.592	-1737.312	-8.811	-1728.502	0.22	0.957	50.221	0.705
4700	3.677	-1738.941	-9.179	-1729.762	0.22	0.979	46.79	0.687
4800	3.752	-1737.917	-9.415	-1728.502	0.22	0.974	44.178	0.661
