iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2084.24	-12.554	-2071.687	0.42	0.791	101.054	0.206
100	0.087	-1707.582	-9.584	-1697.998	0.42	0.904	95.934	1.172
200	0.173	-1704.924	-9.897	-1695.028	0.42	0.845	80.602	1.0
300	0.26	-1700.131	-10.09	-1690.042	0.42	0.893	76.152	0.964
400	0.348	-1696.477	-11.263	-1685.214	0.42	0.968	55.75	0.757
500	0.436	-1687.53	-12.508	-1675.021	0.42	0.94	40.496	0.72
600	0.522	-1685.902	-13.432	-1672.47	0.42	0.923	32.918	0.641
700	0.609	-1686.082	-13.678	-1672.404	0.42	0.955	31.538	0.635
800	0.696	-1686.983	-12.738	-1674.245	0.42	0.94	38.481	0.692
900	0.783	-1686.551	-13.407	-1673.143	0.42	0.928	33.225	0.634
1000	0.869	-1683.644	-15.727	-1667.917	0.42	0.974	20.787	0.563
1100	0.957	-1683.644	-15.727	-1667.917	0.42	0.974	20.787	0.563
1200	1.045	-1683.644	-15.727	-1667.917	0.42	0.974	20.787	0.563
1300	1.132	-1684.282	-16.105	-1668.177	0.42	0.965	19.198	0.546
1400	1.216	-1688.485	-15.981	-1672.504	0.42	0.983	20.246	0.528
1500	1.303	-1683.174	-15.502	-1667.673	0.42	0.981	21.895	0.572
1600	1.397	-1686.24	-15.481	-1670.759	0.42	0.965	22.032	0.543
1700	1.49	-1685.756	-16.864	-1668.891	0.42	0.977	16.739	0.518
1800	1.584	-1685.756	-16.864	-1668.891	0.42	0.977	16.739	0.518
1900	1.678	-1684.787	-16.137	-1668.649	0.42	0.982	19.382	0.542
2000	1.772	-1685.75	-16.442	-1669.308	0.42	0.99	18.411	0.54
2100	1.867	-1685.502	-14.847	-1670.654	0.42	0.941	24.748	0.566
2200	1.962	-1686.681	-13.275	-1673.406	0.42	0.933	34.226	0.642
2300	2.056	-1683.504	-13.436	-1670.068	0.42	0.967	33.314	0.664
2400	2.151	-1687.099	-13.111	-1673.988	0.42	0.902	35.133	0.657
2500	2.245	-1685.498	-14.836	-1670.662	0.42	0.954	24.893	0.57
