iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1867.955	-12.449	-1855.506	0.42	0.362	41.515	0.568
100	0.079	-1702.422	-12.383	-1690.038	0.42	0.838	40.876	0.714
200	0.158	-1688.0	-12.307	-1675.693	0.42	0.914	42.173	0.718
300	0.236	-1684.146	-13.286	-1670.859	0.42	0.968	34.46	0.672
400	0.315	-1684.146	-13.286	-1670.859	0.42	0.968	34.46	0.672
500	0.395	-1688.805	-13.269	-1675.536	0.42	0.969	34.796	0.65
600	0.474	-1685.978	-13.582	-1672.395	0.42	0.944	32.106	0.632
700	0.553	-1685.912	-13.606	-1672.306	0.42	0.943	31.929	0.631
800	0.632	-1685.798	-13.533	-1672.265	0.42	0.925	32.236	0.636
900	0.71	-1686.374	-13.297	-1673.077	0.42	0.938	34.074	0.646
1000	0.788	-1689.208	-13.054	-1676.154	0.42	0.966	36.484	0.652
1100	0.867	-1688.243	-12.854	-1675.389	0.42	0.934	37.643	0.656
1200	0.945	-1686.769	-14.654	-1672.115	0.42	0.966	26.026	0.575
1300	1.024	-1685.33	-15.028	-1670.301	0.42	0.962	23.822	0.582
1400	1.103	-1688.288	-14.759	-1673.53	0.42	0.95	25.534	0.551
1500	1.181	-1684.77	-14.403	-1670.367	0.42	0.945	26.823	0.614
1600	1.258	-1686.319	-13.895	-1672.423	0.42	0.919	29.901	0.608
1700	1.337	-1686.811	-14.556	-1672.255	0.42	0.933	26.297	0.569
1800	1.416	-1685.837	-14.153	-1671.683	0.42	0.957	28.378	0.63
1900	1.495	-1684.824	-15.171	-1669.653	0.42	0.959	23.049	0.582
2000	1.574	-1686.963	-13.147	-1673.816	0.42	0.945	35.32	0.652
2100	1.653	-1689.59	-12.973	-1676.617	0.42	0.935	36.447	0.678
2200	1.732	-1685.314	-14.972	-1670.342	0.42	0.962	24.094	0.584
2300	1.811	-1686.256	-14.727	-1671.529	0.42	0.967	25.562	0.581
2400	1.891	-1683.544	-13.792	-1669.752	0.42	0.971	30.949	0.643
2500	1.975	-1682.697	-13.902	-1668.795	0.42	0.968	30.199	0.634
