iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.81	-3717.065	-12.335	-3704.73	0.32	0.979	0.428	72.435	2.041
10	0.01	0.822	-3692.394	-12.286	-3680.108	0.32	0.946	0.428	73.726	2.018
20	0.02	0.76	-3666.234	-11.888	-3654.345	0.32	0.913	0.429	71.802	2.12
30	0.029	0.709	-3647.998	-12.622	-3635.376	0.32	0.86	0.429	66.588	1.998
40	0.038	0.651	-3645.94	-12.929	-3633.012	0.32	0.833	0.428	73.443	1.858
50	0.047	0.517	-3644.177	-12.086	-3632.09	0.32	0.752	0.429	67.834	2.092
60	0.056	0.548	-3642.949	-11.925	-3631.024	0.32	0.732	0.428	74.823	2.046
70	0.065	0.589	-3642.722	-11.912	-3630.81	0.32	0.78	0.428	78.755	2.012
80	0.074	0.598	-3643.308	-12.503	-3630.804	0.32	0.725	0.427	82.822	1.852
90	0.083	0.538	-3641.995	-12.476	-3629.518	0.32	0.744	0.428	76.084	1.914
100	0.092	0.594	-3641.832	-13.047	-3628.785	0.32	0.739	0.428	72.278	1.839
110	0.101	0.541	-3642.234	-13.524	-3628.71	0.32	0.861	0.427	79.029	1.708
120	0.111	0.561	-3641.167	-13.047	-3628.12	0.32	0.824	0.427	80.509	1.775
130	0.12	0.547	-3640.883	-13.076	-3627.807	0.32	0.77	0.428	74.434	1.815
140	0.129	0.55	-3642.098	-12.922	-3629.175	0.32	0.721	0.428	76.265	1.825
150	0.138	0.569	-3640.267	-13.456	-3626.811	0.32	0.77	0.428	76.029	1.735
160	0.147	0.601	-3641.123	-14.309	-3626.814	0.32	0.723	0.428	75.755	1.602
170	0.155	0.55	-3637.914	-15.474	-3622.441	0.32	0.805	0.429	66.561	1.508
180	0.164	0.597	-3634.53	-17.027	-3617.503	0.32	0.8	0.428	69.009	1.31
190	0.173	0.575	-3631.126	-18.882	-3612.244	0.32	0.801	0.428	66.0	1.149
200	0.182	0.573	-3630.83	-18.66	-3612.17	0.32	0.821	0.428	65.884	1.169
210	0.191	0.595	-3629.424	-18.797	-3610.628	0.32	0.855	0.427	72.034	1.131
220	0.2	0.611	-3629.46	-19.122	-3610.338	0.32	0.856	0.426	75.45	1.091
230	0.209	0.56	-3628.113	-19.928	-3608.184	0.32	0.913	0.427	68.028	1.06
240	0.217	0.555	-3628.634	-20.228	-3608.407	0.32	0.923	0.427	65.483	1.048
250	0.225	0.619	-3628.042	-22.226	-3605.817	0.32	0.938	0.427	61.42	0.927
260	0.233	0.626	-3627.271	-22.293	-3604.978	0.32	0.883	0.426	62.907	0.913
270	0.242	0.621	-3627.011	-22.84	-3604.171	0.32	0.902	0.426	62.301	0.882
280	0.251	0.59	-3626.133	-21.981	-3604.151	0.32	0.915	0.427	63.215	0.933
290	0.26	0.603	-3626.173	-22.44	-3603.732	0.32	0.911	0.426	61.996	0.908
300	0.269	0.588	-3625.52	-22.247	-3603.273	0.32	0.883	0.427	59.154	0.931
310	0.278	0.573	-3625.57	-22.308	-3603.262	0.32	0.861	0.427	58.046	0.93
320	0.287	0.564	-3625.151	-22.317	-3602.834	0.32	0.888	0.427	57.873	0.932
330	0.296	0.567	-3624.791	-23.097	-3601.694	0.32	0.872	0.428	54.663	0.895
340	0.305	0.613	-3625.764	-24.855	-3600.909	0.32	0.924	0.426	52.151	0.808
350	0.315	0.557	-3624.646	-23.586	-3601.061	0.32	0.905	0.428	50.582	0.886
360	0.324	0.554	-3626.387	-23.396	-3602.991	0.32	0.938	0.428	52.297	0.892
370	0.333	0.621	-3626.773	-25.52	-3601.252	0.32	0.94	0.426	50.149	0.782
380	0.342	0.623	-3626.366	-24.978	-3601.388	0.32	0.914	0.426	52.831	0.798
390	0.352	0.603	-3625.42	-24.597	-3600.823	0.32	0.927	0.427	52.397	0.821
400	0.361	0.609	-3624.364	-26.025	-3598.339	0.32	0.88	0.429	40.817	0.796
410	0.37	0.563	-3624.967	-25.686	-3599.281	0.32	0.833	0.429	42.003	0.806
420	0.379	0.56	-3624.287	-26.606	-3597.681	0.32	0.932	0.429	39.455	0.776
430	0.388	0.607	-3625.054	-26.559	-3598.495	0.32	0.898	0.431	36.758	0.792
440	0.397	0.617	-3624.557	-27.849	-3596.708	0.32	0.925	0.429	36.86	0.728
450	0.406	0.595	-3625.611	-25.495	-3600.116	0.32	0.837	0.428	45.298	0.8
460	0.415	0.579	-3624.912	-26.958	-3597.954	0.32	0.911	0.431	35.09	0.782
470	0.424	0.546	-3625.034	-26.061	-3598.974	0.32	0.848	0.431	37.261	0.814
480	0.433	0.592	-3624.48	-26.429	-3598.051	0.32	0.864	0.43	37.421	0.794
490	0.442	0.598	-3623.582	-26.978	-3596.604	0.32	0.897	0.429	39.135	0.757
500	0.451	0.51	-3623.981	-26.794	-3597.187	0.32	0.905	0.43	36.725	0.78
510	0.46	0.51	-3623.981	-26.794	-3597.187	0.32	0.905	0.43	36.725	0.78
520	0.47	0.517	-3623.268	-27.161	-3596.107	0.32	0.894	0.43	36.178	0.764
530	0.479	0.575	-3622.94	-28.672	-3594.268	0.32	0.897	0.43	32.82	0.712
540	0.488	0.616	-3625.507	-28.421	-3597.085	0.32	0.905	0.435	25.365	0.78
550	0.497	0.647	-3624.044	-29.801	-3594.243	0.32	0.89	0.436	23.167	0.732
560	0.506	0.659	-3622.993	-30.518	-3592.475	0.32	0.862	0.436	22.21	0.706
570	0.515	0.695	-3623.252	-29.958	-3593.294	0.32	0.848	0.433	25.957	0.7
580	0.525	0.666	-3621.482	-29.621	-3591.861	0.32	0.872	0.434	25.479	0.719
590	0.534	0.666	-3621.482	-29.621	-3591.861	0.32	0.872	0.434	25.479	0.719
600	0.543	0.644	-3620.85	-30.172	-3590.678	0.32	0.907	0.434	24.175	0.706
610	0.552	0.638	-3621.624	-30.149	-3591.475	0.32	0.899	0.435	23.429	0.713
620	0.561	0.659	-3621.141	-29.579	-3591.562	0.32	0.903	0.434	25.903	0.719
630	0.57	0.661	-3621.34	-31.463	-3589.877	0.32	0.907	0.435	21.851	0.669
640	0.579	0.661	-3621.34	-31.463	-3589.877	0.32	0.907	0.435	21.851	0.669
650	0.588	0.661	-3621.34	-31.463	-3589.877	0.32	0.907	0.435	21.851	0.669
660	0.597	0.661	-3621.34	-31.463	-3589.877	0.32	0.907	0.435	21.851	0.669
670	0.606	0.661	-3621.34	-31.463	-3589.877	0.32	0.907	0.435	21.851	0.669
680	0.615	0.675	-3621.569	-31.477	-3590.092	0.32	0.888	0.435	22.111	0.666
690	0.624	0.675	-3621.569	-31.477	-3590.092	0.32	0.888	0.435	22.111	0.666
700	0.634	0.672	-3622.945	-32.837	-3590.108	0.32	0.896	0.436	18.757	0.641
710	0.643	0.659	-3624.751	-33.147	-3591.604	0.32	0.954	0.436	19.043	0.629
720	0.652	0.681	-3623.096	-33.104	-3589.992	0.32	0.926	0.435	19.278	0.626
730	0.661	0.657	-3623.163	-33.373	-3589.79	0.32	0.933	0.436	18.149	0.627
740	0.67	0.682	-3622.52	-33.328	-3589.192	0.32	0.938	0.434	19.884	0.613
750	0.679	0.676	-3621.152	-30.77	-3590.382	0.32	0.915	0.433	24.535	0.677
760	0.688	0.676	-3621.152	-30.77	-3590.382	0.32	0.915	0.433	24.535	0.677
770	0.697	0.677	-3623.101	-31.05	-3592.051	0.32	0.954	0.432	25.191	0.662
780	0.707	0.677	-3623.101	-31.05	-3592.051	0.32	0.954	0.432	25.191	0.662
790	0.716	0.654	-3623.587	-29.368	-3594.219	0.32	0.913	0.435	25.184	0.735
800	0.725	0.654	-3623.587	-29.368	-3594.219	0.32	0.913	0.435	25.184	0.735
810	0.734	0.648	-3623.422	-28.436	-3594.986	0.32	0.927	0.434	27.951	0.759
820	0.743	0.62	-3625.059	-29.441	-3595.618	0.32	0.934	0.428	33.489	0.676
830	0.752	0.549	-3624.714	-25.395	-3599.318	0.32	0.887	0.43	40.041	0.835
840	0.761	0.578	-3623.718	-26.425	-3597.294	0.32	0.868	0.429	41.107	0.773
850	0.771	0.575	-3624.473	-25.169	-3599.304	0.32	0.895	0.43	41.943	0.837
860	0.78	0.536	-3623.984	-25.903	-3598.081	0.32	0.893	0.43	39.858	0.808
870	0.789	0.575	-3623.84	-25.066	-3598.774	0.32	0.879	0.429	45.024	0.826
880	0.798	0.59	-3624.435	-25.165	-3599.27	0.32	0.86	0.429	44.581	0.822
890	0.807	0.572	-3623.401	-26.068	-3597.334	0.32	0.895	0.429	41.17	0.793
900	0.816	0.595	-3625.522	-24.358	-3601.164	0.32	0.87	0.43	43.825	0.873
910	0.825	0.587	-3624.969	-24.509	-3600.46	0.32	0.855	0.428	49.297	0.836
920	0.834	0.596	-3625.569	-23.745	-3601.824	0.32	0.867	0.429	46.999	0.893
930	0.843	0.551	-3625.607	-24.222	-3601.385	0.32	0.879	0.43	43.328	0.884
940	0.853	0.544	-3624.317	-26.837	-3597.481	0.32	0.934	0.429	38.887	0.767
950	0.862	0.561	-3623.18	-28.23	-3594.949	0.32	0.924	0.429	35.854	0.716
960	0.871	0.561	-3623.18	-28.23	-3594.949	0.32	0.924	0.429	35.854	0.716
970	0.88	0.514	-3625.923	-26.764	-3599.159	0.32	0.919	0.431	34.876	0.794
980	0.889	0.524	-3624.21	-29.001	-3595.208	0.32	0.939	0.431	31.435	0.707
990	0.898	0.54	-3622.631	-29.284	-3593.347	0.32	0.918	0.43	31.354	0.694
1000	0.908	0.547	-3624.871	-29.603	-3595.268	0.32	0.952	0.429	32.5	0.675
1010	0.917	0.547	-3624.871	-29.603	-3595.268	0.32	0.952	0.429	32.5	0.675
1020	0.926	0.63	-3625.293	-29.465	-3595.828	0.32	0.921	0.431	29.847	0.696
1030	0.935	0.595	-3624.204	-28.219	-3595.986	0.32	0.934	0.429	35.864	0.717
1040	0.945	0.601	-3623.636	-30.362	-3593.275	0.32	0.917	0.43	28.866	0.663
1050	0.954	0.605	-3624.368	-28.517	-3595.851	0.32	0.862	0.429	34.166	0.71
1060	0.963	0.598	-3623.655	-28.515	-3595.14	0.32	0.919	0.43	33.841	0.714
1070	0.972	0.572	-3625.468	-30.813	-3594.655	0.32	0.957	0.429	29.492	0.643
1080	0.981	0.598	-3623.73	-28.86	-3594.87	0.32	0.895	0.428	34.716	0.692
1090	0.991	0.572	-3622.888	-29.34	-3593.549	0.32	0.894	0.43	31.731	0.688
1100	0.998	0.541	-3623.165	-28.851	-3594.314	0.32	0.876	0.43	32.015	0.708
1110	1.006	0.577	-3623.656	-29.971	-3593.685	0.32	0.933	0.429	31.074	0.667
1120	1.015	0.535	-3623.595	-27.544	-3596.051	0.32	0.87	0.43	34.85	0.752
1130	1.024	0.528	-3622.866	-27.507	-3595.359	0.32	0.89	0.43	35.359	0.752
1140	1.033	0.594	-3624.308	-27.862	-3596.446	0.32	0.862	0.431	33.099	0.747
1150	1.042	0.589	-3623.628	-28.621	-3595.006	0.32	0.889	0.431	31.345	0.723
1160	1.051	0.59	-3623.265	-28.593	-3594.672	0.32	0.886	0.43	33.028	0.714
1170	1.061	0.573	-3623.062	-29.216	-3593.846	0.32	0.918	0.429	32.576	0.69
1180	1.07	0.575	-3623.824	-29.944	-3593.88	0.32	0.931	0.431	29.107	0.68
1190	1.079	0.615	-3625.146	-30.707	-3594.439	0.32	0.872	0.429	29.095	0.646
1200	1.088	0.6	-3623.882	-28.84	-3595.042	0.32	0.897	0.431	30.836	0.717
1210	1.097	0.585	-3623.368	-28.431	-3594.937	0.32	0.878	0.43	32.977	0.721
1220	1.106	0.626	-3626.211	-30.106	-3596.105	0.32	0.863	0.428	31.451	0.656
1230	1.115	0.563	-3623.263	-28.641	-3594.622	0.32	0.87	0.43	32.804	0.712
1240	1.124	0.562	-3623.184	-29.158	-3594.026	0.32	0.883	0.431	30.184	0.706
1250	1.133	0.558	-3623.032	-29.669	-3593.363	0.32	0.884	0.431	29.39	0.688
1260	1.142	0.564	-3623.131	-28.909	-3594.222	0.32	0.92	0.429	34.416	0.693
1270	1.151	0.597	-3626.269	-30.044	-3596.226	0.32	0.958	0.43	30.204	0.671
1280	1.161	0.625	-3625.931	-30.329	-3595.602	0.32	0.946	0.429	29.806	0.66
1290	1.17	0.583	-3626.606	-28.518	-3598.089	0.32	0.962	0.428	35.779	0.706
1300	1.179	0.5	-3628.893	-27.058	-3601.835	0.32	0.956	0.431	35.619	0.777
1310	1.188	0.501	-3628.524	-25.973	-3602.551	0.32	0.899	0.432	34.557	0.838
1320	1.198	0.56	-3625.407	-25.344	-3600.063	0.32	0.912	0.43	40.449	0.837
1330	1.207	0.62	-3624.861	-27.67	-3597.191	0.32	0.885	0.428	39.13	0.723
1340	1.216	0.583	-3623.654	-27.973	-3595.681	0.32	0.895	0.428	38.468	0.713
1350	1.226	0.589	-3623.509	-26.349	-3597.161	0.32	0.894	0.429	41.572	0.776
1360	1.235	0.597	-3623.96	-27.239	-3596.721	0.32	0.91	0.427	41.151	0.735
1370	1.244	0.573	-3624.245	-25.134	-3599.111	0.32	0.918	0.429	44.966	0.824
1380	1.253	0.619	-3625.52	-25.351	-3600.169	0.32	0.928	0.428	45.759	0.809
1390	1.263	0.587	-3623.819	-25.648	-3598.171	0.32	0.911	0.428	45.681	0.793
1400	1.272	0.562	-3623.688	-25.155	-3598.533	0.32	0.879	0.428	46.179	0.815
1410	1.281	0.624	-3625.602	-24.636	-3600.966	0.32	0.871	0.429	45.908	0.846
1420	1.29	0.572	-3624.731	-24.511	-3600.22	0.32	0.853	0.429	45.621	0.853
1430	1.299	0.598	-3624.946	-24.729	-3600.216	0.32	0.874	0.429	43.886	0.851
1440	1.308	0.618	-3624.836	-26.912	-3597.925	0.32	0.902	0.427	42.668	0.743
1450	1.317	0.606	-3624.443	-25.852	-3598.591	0.32	0.87	0.429	43.22	0.792
1460	1.327	0.568	-3625.779	-24.996	-3600.783	0.32	0.86	0.431	39.703	0.859
1470	1.336	0.562	-3624.749	-27.061	-3597.688	0.32	0.835	0.429	38.33	0.755
1480	1.345	0.549	-3624.651	-26.513	-3598.139	0.32	0.891	0.431	35.974	0.799
1490	1.354	0.56	-3628.189	-27.473	-3600.716	0.32	0.912	0.433	30.551	0.787
1500	1.363	0.479	-3631.169	-29.576	-3601.593	0.32	0.967	0.432	28.538	0.703
1510	1.373	0.533	-3624.063	-31.554	-3592.509	0.32	0.945	0.431	25.57	0.638
1520	1.382	0.563	-3624.616	-30.723	-3593.893	0.32	0.929	0.432	25.602	0.671
1530	1.391	0.586	-3623.629	-30.947	-3592.682	0.32	0.879	0.43	27.446	0.647
1540	1.4	0.595	-3624.121	-30.455	-3593.665	0.32	0.918	0.432	26.766	0.673
1550	1.409	0.542	-3622.786	-30.271	-3592.516	0.32	0.874	0.431	27.655	0.673
1560	1.418	0.532	-3625.677	-28.157	-3597.521	0.32	0.9	0.433	29.568	0.758
1570	1.427	0.511	-3624.604	-29.639	-3594.965	0.32	0.93	0.432	28.445	0.698
1580	1.436	0.552	-3623.785	-29.953	-3593.832	0.32	0.927	0.431	28.438	0.684
1590	1.446	0.54	-3622.514	-30.183	-3592.331	0.32	0.916	0.43	29.43	0.667
1600	1.454	0.569	-3624.151	-29.965	-3594.186	0.32	0.909	0.432	26.954	0.693
1610	1.462	0.676	-3621.29	-29.543	-3591.747	0.32	0.908	0.433	27.095	0.712
1620	1.471	0.676	-3621.29	-29.543	-3591.747	0.32	0.908	0.433	27.095	0.712
1630	1.48	0.64	-3623.131	-28.369	-3594.762	0.32	0.918	0.434	27.608	0.764
1640	1.489	0.672	-3621.958	-28.931	-3593.027	0.32	0.915	0.433	28.147	0.733
1650	1.498	0.657	-3621.695	-29.724	-3591.971	0.32	0.896	0.434	24.932	0.72
1660	1.506	0.657	-3621.695	-29.724	-3591.971	0.32	0.896	0.434	24.932	0.72
1670	1.515	0.644	-3622.875	-29.348	-3593.526	0.32	0.905	0.435	24.948	0.738
1680	1.523	0.649	-3624.812	-28.368	-3596.444	0.32	0.944	0.433	28.63	0.758
1690	1.532	0.649	-3624.812	-28.368	-3596.444	0.32	0.944	0.433	28.63	0.758
1700	1.539	0.626	-3626.746	-27.937	-3598.809	0.32	0.927	0.431	32.592	0.75
1710	1.547	0.661	-3621.802	-28.676	-3593.126	0.32	0.924	0.433	28.691	0.741
1720	1.555	0.661	-3621.522	-28.635	-3592.887	0.32	0.913	0.433	28.485	0.744
1730	1.563	0.661	-3621.522	-28.635	-3592.887	0.32	0.913	0.433	28.485	0.744
1740	1.57	0.641	-3623.841	-27.154	-3596.687	0.32	0.906	0.434	30.017	0.808
1750	1.578	0.604	-3624.572	-29.187	-3595.385	0.32	0.855	0.43	30.937	0.699
1760	1.586	0.571	-3623.04	-28.689	-3594.351	0.32	0.899	0.431	32.045	0.716
1770	1.593	0.535	-3623.15	-28.827	-3594.323	0.32	0.916	0.431	31.049	0.717
1780	1.602	0.531	-3624.25	-30.285	-3593.964	0.32	0.948	0.43	29.575	0.663
1790	1.612	0.534	-3622.845	-30.515	-3592.33	0.32	0.925	0.43	28.393	0.66
1800	1.621	0.604	-3623.951	-29.676	-3594.275	0.32	0.904	0.431	28.97	0.692
1810	1.63	0.592	-3623.897	-31.44	-3592.456	0.32	0.901	0.432	24.225	0.65
1820	1.639	0.563	-3623.111	-31.425	-3591.686	0.32	0.904	0.43	26.483	0.634
1830	1.647	0.532	-3623.243	-31.285	-3591.958	0.32	0.885	0.433	24.314	0.655
1840	1.655	0.532	-3623.243	-31.285	-3591.958	0.32	0.885	0.433	24.314	0.655
1850	1.665	0.618	-3624.213	-30.126	-3594.087	0.32	0.905	0.43	29.897	0.666
1860	1.672	0.668	-3620.549	-30.901	-3589.648	0.32	0.911	0.434	24.005	0.675
1870	1.68	0.668	-3620.549	-30.901	-3589.648	0.32	0.911	0.434	24.005	0.675
1880	1.688	0.653	-3621.415	-30.374	-3591.041	0.32	0.896	0.435	23.472	0.702
1890	1.695	0.659	-3620.796	-31.143	-3589.653	0.32	0.885	0.435	22.334	0.678
1900	1.703	0.646	-3621.563	-29.626	-3591.938	0.32	0.89	0.435	24.677	0.726
1910	1.71	0.646	-3621.563	-29.626	-3591.938	0.32	0.89	0.435	24.677	0.726
1920	1.718	0.646	-3621.563	-29.626	-3591.938	0.32	0.89	0.435	24.677	0.726
1930	1.726	0.658	-3622.296	-30.503	-3591.793	0.32	0.887	0.435	22.795	0.702
1940	1.733	0.651	-3621.806	-31.311	-3590.495	0.32	0.899	0.436	21.343	0.68
1950	1.741	0.651	-3621.806	-31.311	-3590.495	0.32	0.899	0.436	21.343	0.68
1960	1.749	0.667	-3621.595	-33.401	-3588.194	0.32	0.872	0.436	18.2	0.623
1970	1.756	0.667	-3621.595	-33.401	-3588.194	0.32	0.872	0.436	18.2	0.623
1980	1.764	0.667	-3621.595	-33.401	-3588.194	0.32	0.872	0.436	18.2	0.623
1990	1.772	0.66	-3621.611	-33.07	-3588.541	0.32	0.865	0.436	18.424	0.634
2000	1.78	0.636	-3621.918	-33.684	-3588.234	0.32	0.888	0.438	16.683	0.628
2010	1.788	0.645	-3622.469	-34.58	-3587.889	0.32	0.917	0.438	15.752	0.605
2020	1.796	0.672	-3622.308	-35.857	-3586.451	0.32	0.923	0.437	14.979	0.568
2030	1.803	0.672	-3622.308	-35.857	-3586.451	0.32	0.923	0.437	14.979	0.568
2040	1.811	0.652	-3621.034	-33.485	-3587.549	0.32	0.918	0.436	18.219	0.621
2050	1.819	0.652	-3621.034	-33.485	-3587.549	0.32	0.918	0.436	18.219	0.621
2060	1.826	0.652	-3621.034	-33.485	-3587.549	0.32	0.918	0.436	18.219	0.621
2070	1.834	0.652	-3621.034	-33.485	-3587.549	0.32	0.918	0.436	18.219	0.621
2080	1.842	0.668	-3624.425	-35.775	-3588.649	0.32	0.9	0.439	13.82	0.583
2090	1.849	0.653	-3622.241	-34.563	-3587.677	0.32	0.903	0.438	15.827	0.604
2100	1.857	0.651	-3621.446	-34.393	-3587.052	0.32	0.901	0.437	16.278	0.606
2110	1.865	0.67	-3621.805	-33.374	-3588.43	0.32	0.878	0.436	18.255	0.624
2120	1.872	0.655	-3620.842	-33.516	-3587.325	0.32	0.897	0.436	17.972	0.622
2130	1.88	0.676	-3621.146	-33.092	-3588.054	0.32	0.909	0.435	19.722	0.622
2140	1.888	0.676	-3621.146	-33.092	-3588.054	0.32	0.909	0.435	19.722	0.622
2150	1.896	0.667	-3622.734	-32.018	-3590.716	0.32	0.899	0.436	20.168	0.661
2160	1.903	0.661	-3624.545	-29.117	-3595.429	0.32	0.932	0.434	26.429	0.738
2170	1.911	0.669	-3621.49	-29.73	-3591.76	0.32	0.907	0.434	25.962	0.712
2180	1.918	0.666	-3622.275	-30.563	-3591.712	0.32	0.914	0.434	23.633	0.693
2190	1.926	0.709	-3623.123	-30.173	-3592.95	0.32	0.892	0.432	27.395	0.681
2200	1.934	0.667	-3621.42	-29.93	-3591.489	0.32	0.891	0.434	25.081	0.709
2210	1.941	0.667	-3621.42	-29.93	-3591.489	0.32	0.891	0.434	25.081	0.709
2220	1.949	0.675	-3623.534	-30.006	-3593.528	0.32	0.936	0.433	25.675	0.703
2230	1.957	0.7	-3622.928	-32.022	-3590.906	0.32	0.88	0.433	22.215	0.642
2240	1.964	0.689	-3622.943	-31.754	-3591.189	0.32	0.894	0.435	21.634	0.659
2250	1.971	0.688	-3624.782	-28.74	-3596.042	0.32	0.867	0.434	26.679	0.752
2260	1.979	0.69	-3623.889	-28.461	-3595.428	0.32	0.846	0.433	28.253	0.752
2270	1.986	0.635	-3625.051	-26.587	-3598.464	0.32	0.838	0.435	28.984	0.845
2280	1.993	0.647	-3624.883	-26.599	-3598.284	0.32	0.861	0.434	29.822	0.838
2290	2.001	0.648	-3625.721	-26.449	-3599.272	0.32	0.931	0.433	32.703	0.827
2300	2.009	0.627	-3625.37	-29.398	-3595.972	0.32	0.933	0.428	33.699	0.676
2310	2.017	0.567	-3623.251	-30.479	-3592.772	0.32	0.921	0.431	27.919	0.664
2320	2.025	0.592	-3623.368	-29.38	-3593.989	0.32	0.886	0.431	30.333	0.695
2330	2.032	0.593	-3623.997	-29.053	-3594.944	0.32	0.88	0.432	29.566	0.715
2340	2.04	0.576	-3623.284	-30.568	-3592.716	0.32	0.924	0.43	28.892	0.654
2350	2.047	0.59	-3623.802	-30.791	-3593.011	0.32	0.901	0.432	25.676	0.666
2360	2.055	0.6	-3624.427	-32.088	-3592.338	0.32	0.893	0.429	25.773	0.613
2370	2.062	0.574	-3624.982	-34.949	-3590.033	0.32	0.935	0.43	19.431	0.557
2380	2.07	0.576	-3625.582	-36.331	-3589.251	0.32	0.916	0.431	16.869	0.532
2390	2.077	0.54	-3624.678	-31.185	-3593.493	0.32	0.86	0.434	22.872	0.67
2400	2.085	0.563	-3623.795	-32.022	-3591.773	0.32	0.933	0.431	24.539	0.626
2410	2.092	0.565	-3624.816	-31.765	-3593.051	0.32	0.95	0.428	27.229	0.618
2420	2.1	0.565	-3624.816	-31.765	-3593.051	0.32	0.95	0.428	27.229	0.618
2430	2.107	0.553	-3623.358	-31.348	-3592.01	0.32	0.91	0.432	24.924	0.649
2440	2.114	0.553	-3623.219	-31.082	-3592.136	0.32	0.919	0.431	26.377	0.65
2450	2.122	0.545	-3622.941	-31.986	-3590.955	0.32	0.92	0.432	23.94	0.631
2460	2.13	0.545	-3622.941	-31.986	-3590.955	0.32	0.92	0.432	23.94	0.631
2470	2.137	0.565	-3624.319	-34.133	-3590.185	0.32	0.889	0.435	17.92	0.598
2480	2.145	0.61	-3625.251	-34.42	-3590.831	0.32	0.916	0.43	20.213	0.569
2490	2.153	0.564	-3623.496	-32.006	-3591.49	0.32	0.908	0.432	23.289	0.634
2500	2.16	0.574	-3623.388	-32.229	-3591.159	0.32	0.911	0.43	24.413	0.617
2510	2.168	0.574	-3623.388	-32.229	-3591.159	0.32	0.911	0.43	24.413	0.617
2520	2.176	0.545	-3623.611	-31.196	-3592.415	0.32	0.891	0.433	23.693	0.664
2530	2.183	0.553	-3623.208	-31.419	-3591.789	0.32	0.916	0.431	25.497	0.642
2540	2.19	0.572	-3623.398	-31.315	-3592.083	0.32	0.88	0.431	25.581	0.644
2550	2.198	0.524	-3623.484	-30.805	-3592.678	0.32	0.873	0.432	25.357	0.667
2560	2.205	0.561	-3623.573	-33.877	-3589.695	0.32	0.916	0.433	19.387	0.595
2570	2.213	0.561	-3623.573	-33.877	-3589.695	0.32	0.916	0.433	19.387	0.595
2580	2.221	0.567	-3625.838	-33.424	-3592.414	0.32	0.892	0.436	18.022	0.624
2590	2.229	0.57	-3624.618	-34.366	-3590.252	0.32	0.875	0.433	18.769	0.581
2600	2.236	0.578	-3623.935	-33.72	-3590.214	0.32	0.902	0.431	20.912	0.587
2610	2.244	0.58	-3623.857	-33.026	-3590.83	0.32	0.903	0.43	22.952	0.597
2620	2.252	0.54	-3624.226	-31.869	-3592.357	0.32	0.846	0.433	23.171	0.639
2630	2.259	0.543	-3623.523	-31.334	-3592.19	0.32	0.864	0.433	24.026	0.655
2640	2.267	0.565	-3624.646	-29.025	-3595.621	0.32	0.843	0.432	29.081	0.718
