iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.567	-3748.112	-31.423	-3716.689	0.32	0.417	0.412	42.415	0.555
10	0.009	0.555	-3703.451	-28.128	-3675.324	0.32	0.454	0.425	41.628	0.686
20	0.016	0.611	-3663.315	-26.448	-3636.867	0.32	0.559	0.431	36.089	0.797
30	0.024	0.617	-3647.511	-25.857	-3621.653	0.32	0.591	0.433	31.893	0.86
40	0.032	0.58	-3643.157	-27.644	-3615.513	0.32	0.623	0.434	27.724	0.795
50	0.039	0.602	-3640.504	-24.865	-3615.639	0.32	0.665	0.434	31.898	0.921
60	0.047	0.554	-3627.317	-27.428	-3599.89	0.32	0.788	0.431	34.693	0.757
70	0.054	0.559	-3628.305	-26.027	-3602.277	0.32	0.818	0.433	33.401	0.841
80	0.062	0.516	-3625.793	-26.705	-3599.088	0.32	0.869	0.432	33.458	0.804
90	0.069	0.568	-3624.937	-27.036	-3597.901	0.32	0.861	0.432	33.651	0.785
100	0.077	0.533	-3623.06	-27.8	-3595.26	0.32	0.871	0.431	33.992	0.745
110	0.084	0.568	-3625.089	-26.879	-3598.21	0.32	0.873	0.432	33.942	0.792
120	0.092	0.539	-3625.919	-26.28	-3599.638	0.32	0.868	0.432	34.914	0.818
130	0.1	0.529	-3624.392	-28.517	-3595.875	0.32	0.907	0.432	29.976	0.738
140	0.108	0.557	-3623.055	-28.736	-3594.319	0.32	0.88	0.43	32.282	0.712
150	0.115	0.541	-3623.817	-28.555	-3595.261	0.32	0.85	0.432	30.583	0.73
160	0.123	0.532	-3623.705	-27.987	-3595.718	0.32	0.852	0.431	32.636	0.744
170	0.131	0.541	-3625.926	-28.144	-3597.782	0.32	0.814	0.432	31.43	0.743
180	0.138	0.541	-3624.827	-26.851	-3597.977	0.32	0.851	0.431	34.815	0.787
190	0.146	0.56	-3623.722	-27.735	-3595.987	0.32	0.857	0.43	35.78	0.737
200	0.154	0.558	-3623.862	-27.384	-3596.478	0.32	0.859	0.431	34.877	0.76
210	0.162	0.548	-3624.549	-27.68	-3596.869	0.32	0.876	0.432	32.073	0.764
220	0.17	0.579	-3624.125	-25.52	-3598.605	0.32	0.892	0.43	41.379	0.821
230	0.178	0.553	-3626.118	-24.636	-3601.482	0.32	0.926	0.43	43.79	0.859
240	0.185	0.576	-3627.83	-23.76	-3604.07	0.32	0.838	0.431	41.925	0.92
250	0.193	0.553	-3625.45	-25.297	-3600.153	0.32	0.854	0.431	39.1	0.845
260	0.201	0.54	-3623.042	-27.407	-3595.635	0.32	0.892	0.429	37.06	0.747
270	0.208	0.623	-3627.775	-26.707	-3601.067	0.32	0.954	0.429	39.915	0.77
280	0.216	0.628	-3625.069	-27.16	-3597.909	0.32	0.884	0.428	40.175	0.742
290	0.223	0.62	-3627.713	-24.295	-3603.418	0.32	0.929	0.429	45.442	0.871
300	0.231	0.543	-3625.695	-22.997	-3602.699	0.32	0.918	0.428	52.617	0.913
310	0.239	0.62	-3626.905	-24.877	-3602.028	0.32	0.942	0.426	52.227	0.807
320	0.246	0.575	-3625.927	-23.607	-3602.32	0.32	0.938	0.428	53.389	0.874
330	0.254	0.538	-3624.544	-24.11	-3600.434	0.32	0.915	0.428	49.549	0.86
340	0.261	0.538	-3624.544	-24.11	-3600.434	0.32	0.915	0.428	49.549	0.86
350	0.268	0.526	-3626.131	-23.874	-3602.257	0.32	0.885	0.43	44.634	0.898
360	0.276	0.529	-3626.299	-23.757	-3602.542	0.32	0.864	0.43	44.426	0.906
370	0.283	0.564	-3624.263	-24.299	-3599.964	0.32	0.867	0.428	48.653	0.851
380	0.291	0.622	-3626.693	-22.653	-3604.039	0.32	0.863	0.428	54.228	0.925
390	0.299	0.629	-3626.45	-23.082	-3603.368	0.32	0.893	0.427	57.292	0.886
400	0.306	0.624	-3627.047	-22.471	-3604.576	0.32	0.855	0.428	55.041	0.933
410	0.314	0.558	-3626.47	-21.459	-3605.011	0.32	0.891	0.428	57.721	0.99
420	0.322	0.554	-3627.415	-20.751	-3606.664	0.32	0.865	0.428	58.978	1.034
430	0.331	0.595	-3626.985	-22.417	-3604.568	0.32	0.83	0.428	53.685	0.942
440	0.341	0.588	-3626.549	-22.15	-3604.398	0.32	0.867	0.429	52.892	0.965
450	0.349	0.616	-3625.516	-23.579	-3601.937	0.32	0.895	0.427	53.823	0.871
460	0.358	0.609	-3625.778	-22.919	-3602.859	0.32	0.892	0.428	53.238	0.914
470	0.368	0.567	-3625.137	-22.437	-3602.7	0.32	0.885	0.428	56.284	0.931
480	0.377	0.584	-3625.138	-22.605	-3602.533	0.32	0.892	0.427	56.991	0.917
490	0.385	0.543	-3626.413	-24.698	-3601.714	0.32	0.949	0.428	48.368	0.835
500	0.393	0.562	-3625.089	-24.065	-3601.023	0.32	0.897	0.429	45.861	0.88
510	0.401	0.597	-3624.599	-25.544	-3599.055	0.32	0.922	0.427	47.813	0.789
520	0.411	0.585	-3623.75	-28.292	-3595.457	0.32	0.903	0.427	37.748	0.702
530	0.42	0.595	-3623.953	-28.719	-3595.235	0.32	0.866	0.431	31.355	0.718
540	0.43	0.594	-3623.709	-28.607	-3595.102	0.32	0.894	0.428	35.764	0.698
550	0.44	0.606	-3623.92	-28.35	-3595.57	0.32	0.876	0.43	34.291	0.717
560	0.448	0.583	-3623.037	-29.465	-3593.572	0.32	0.896	0.43	31.098	0.687
570	0.456	0.524	-3622.814	-27.743	-3595.072	0.32	0.908	0.43	35.568	0.74
580	0.464	0.54	-3623.297	-27.918	-3595.38	0.32	0.878	0.43	34.028	0.739
590	0.471	0.524	-3623.554	-28.006	-3595.548	0.32	0.874	0.431	32.319	0.746
600	0.479	0.517	-3623.399	-27.476	-3595.923	0.32	0.907	0.43	35.177	0.755
610	0.486	0.555	-3623.456	-28.212	-3595.244	0.32	0.863	0.43	33.503	0.728
620	0.496	0.608	-3623.788	-30.472	-3593.316	0.32	0.895	0.43	28.4	0.661
630	0.506	0.589	-3623.58	-31.323	-3592.257	0.32	0.916	0.429	27.383	0.633
640	0.514	0.567	-3624.616	-29.909	-3594.707	0.32	0.885	0.433	26.106	0.701
650	0.522	0.575	-3623.553	-31.09	-3592.463	0.32	0.927	0.431	26.451	0.649
660	0.53	0.575	-3623.553	-31.09	-3592.463	0.32	0.927	0.431	26.451	0.649
670	0.538	0.523	-3625.758	-30.6	-3595.159	0.32	0.943	0.433	25.675	0.677
680	0.548	0.542	-3624.313	-30.581	-3593.732	0.32	0.848	0.433	24.901	0.68
690	0.556	0.539	-3626.518	-30.419	-3596.099	0.32	0.845	0.435	23.118	0.702
700	0.564	0.539	-3625.645	-33.28	-3592.364	0.32	0.831	0.434	19.669	0.613
710	0.573	0.56	-3626.112	-32.205	-3593.907	0.32	0.866	0.436	19.815	0.655
720	0.582	0.527	-3624.025	-30.409	-3593.616	0.32	0.924	0.432	26.263	0.679
730	0.592	0.506	-3624.098	-30.344	-3593.754	0.32	0.928	0.431	27.36	0.674
740	0.6	0.536	-3623.638	-29.945	-3593.693	0.32	0.9	0.433	26.687	0.695
750	0.61	0.537	-3622.831	-30.038	-3592.793	0.32	0.888	0.432	27.653	0.684
760	0.619	0.527	-3623.065	-29.788	-3593.277	0.32	0.887	0.432	28.021	0.692
770	0.629	0.572	-3624.539	-30.661	-3593.878	0.32	0.947	0.428	29.944	0.646
780	0.639	0.538	-3623.435	-27.924	-3595.512	0.32	0.872	0.43	33.834	0.74
790	0.648	0.515	-3626.092	-26.389	-3599.703	0.32	0.877	0.432	34.288	0.816
800	0.658	0.534	-3625.178	-26.071	-3599.108	0.32	0.913	0.431	37.358	0.815
810	0.668	0.552	-3624.358	-27.353	-3597.005	0.32	0.857	0.431	33.742	0.768
820	0.677	0.58	-3624.003	-28.517	-3595.486	0.32	0.862	0.431	31.069	0.729
830	0.685	0.57	-3623.032	-27.507	-3595.525	0.32	0.887	0.429	36.573	0.745
840	0.694	0.514	-3624.598	-26.47	-3598.127	0.32	0.871	0.431	35.922	0.801
850	0.703	0.535	-3624.389	-26.217	-3598.171	0.32	0.875	0.431	37.557	0.804
860	0.713	0.521	-3626.464	-26.426	-3600.039	0.32	0.86	0.432	33.488	0.819
870	0.721	0.511	-3625.582	-26.617	-3598.965	0.32	0.832	0.431	35.121	0.797
880	0.731	0.509	-3627.857	-24.73	-3603.127	0.32	0.885	0.431	38.663	0.882
890	0.74	0.495	-3627.386	-25.004	-3602.382	0.32	0.859	0.431	38.104	0.869
900	0.748	0.595	-3625.812	-25.755	-3600.057	0.32	0.836	0.428	44.826	0.789
910	0.756	0.596	-3626.699	-24.945	-3601.754	0.32	0.813	0.429	45.253	0.83
920	0.764	0.593	-3624.528	-24.866	-3599.663	0.32	0.873	0.429	44.304	0.841
930	0.772	0.598	-3623.757	-26.285	-3597.471	0.32	0.902	0.429	41.999	0.777
940	0.78	0.57	-3623.563	-26.583	-3596.98	0.32	0.872	0.43	38.474	0.78
950	0.788	0.558	-3623.067	-26.905	-3596.161	0.32	0.895	0.429	38.654	0.763
960	0.797	0.592	-3623.569	-27.037	-3596.533	0.32	0.907	0.429	38.065	0.76
970	0.807	0.562	-3623.071	-28.222	-3594.849	0.32	0.884	0.429	35.658	0.716
980	0.816	0.562	-3623.071	-28.222	-3594.849	0.32	0.884	0.429	35.658	0.716
990	0.826	0.587	-3623.649	-29.389	-3594.26	0.32	0.9	0.428	33.61	0.675
1000	0.835	0.553	-3622.905	-29.406	-3593.498	0.32	0.896	0.429	31.985	0.684
1010	0.845	0.542	-3623.205	-28.897	-3594.308	0.32	0.928	0.43	31.759	0.71
1020	0.852	0.561	-3623.577	-29.788	-3593.789	0.32	0.92	0.431	28.716	0.689
1030	0.862	0.581	-3623.421	-31.008	-3592.414	0.32	0.881	0.431	26.352	0.652
1040	0.871	0.503	-3624.406	-28.792	-3595.614	0.32	0.885	0.432	29.459	0.728
1050	0.88	0.514	-3629.98	-27.305	-3602.675	0.32	0.894	0.434	29.197	0.805
1060	0.888	0.518	-3626.762	-28.127	-3598.635	0.32	0.876	0.433	28.559	0.767
1070	0.898	0.521	-3631.113	-29.969	-3601.143	0.32	0.755	0.435	23.674	0.716
1080	0.908	0.536	-3627.91	-30.939	-3596.971	0.32	0.783	0.434	23.821	0.671
1090	0.916	0.559	-3627.647	-27.63	-3600.017	0.32	0.842	0.434	29.152	0.787
1100	0.925	0.541	-3625.452	-29.518	-3595.935	0.32	0.847	0.434	25.887	0.72
1110	0.935	0.56	-3623.866	-29.323	-3594.543	0.32	0.869	0.432	28.522	0.709
1120	0.945	0.514	-3626.033	-28.818	-3597.215	0.32	0.861	0.434	27.374	0.741
1130	0.953	0.543	-3624.604	-29.275	-3595.329	0.32	0.837	0.431	29.73	0.702
1140	0.962	0.575	-3625.074	-30.1	-3594.974	0.32	0.838	0.43	29.658	0.667
1150	0.972	0.566	-3623.222	-28.473	-3594.75	0.32	0.891	0.431	32.013	0.726
1160	0.981	0.55	-3623.061	-31.392	-3591.67	0.32	0.907	0.43	26.32	0.637
1170	0.989	0.542	-3622.587	-30.31	-3592.277	0.32	0.888	0.431	27.514	0.673
1180	0.997	0.556	-3623.217	-30.218	-3592.999	0.32	0.878	0.43	28.958	0.667
1190	1.005	0.554	-3623.194	-29.947	-3593.246	0.32	0.89	0.431	28.063	0.685
1200	1.014	0.555	-3626.49	-28.269	-3598.221	0.32	0.902	0.433	29.061	0.757
1210	1.023	0.49	-3625.216	-27.887	-3597.329	0.32	0.919	0.431	32.934	0.749
1220	1.032	0.529	-3622.735	-28.7	-3594.036	0.32	0.916	0.43	32.919	0.711
1230	1.04	0.541	-3623.572	-27.24	-3596.332	0.32	0.864	0.43	36.643	0.756
1240	1.05	0.57	-3623.108	-27.386	-3595.722	0.32	0.883	0.43	36.825	0.749
1250	1.06	0.57	-3623.108	-27.386	-3595.722	0.32	0.883	0.43	36.825	0.749
1260	1.068	0.579	-3623.771	-26.779	-3596.992	0.32	0.908	0.43	37.536	0.776
1270	1.077	0.554	-3622.948	-27.504	-3595.443	0.32	0.904	0.429	37.142	0.742
1280	1.087	0.612	-3624.348	-26.746	-3597.602	0.32	0.897	0.428	42.22	0.753
1290	1.096	0.628	-3625.245	-25.711	-3599.533	0.32	0.897	0.428	45.85	0.788
1300	1.104	0.662	-3629.267	-27.327	-3601.94	0.32	0.863	0.426	42.807	0.721
1310	1.113	0.623	-3625.343	-29.723	-3595.62	0.32	0.926	0.427	33.717	0.662
1320	1.121	0.584	-3623.275	-28.37	-3594.905	0.32	0.888	0.429	35.178	0.712
1330	1.129	0.582	-3623.237	-28.814	-3594.424	0.32	0.908	0.43	31.936	0.711
1340	1.136	0.611	-3625.457	-29.427	-3596.03	0.32	0.915	0.432	28.199	0.709
1350	1.144	0.571	-3623.079	-31.1	-3591.979	0.32	0.905	0.431	26.218	0.65
1360	1.152	0.568	-3624.216	-32.054	-3592.162	0.32	0.937	0.429	26.419	0.612
1370	1.159	0.563	-3624.642	-30.46	-3594.182	0.32	0.882	0.433	24.762	0.687
1380	1.167	0.572	-3623.572	-32.179	-3591.393	0.32	0.91	0.429	25.361	0.613
1390	1.175	0.588	-3624.058	-31.659	-3592.399	0.32	0.87	0.432	23.993	0.642
1400	1.183	0.545	-3623.67	-29.013	-3594.657	0.32	0.925	0.431	30.216	0.714
1410	1.19	0.549	-3624.558	-29.973	-3594.585	0.32	0.948	0.429	30.637	0.67
1420	1.198	0.602	-3627.307	-31.493	-3595.814	0.32	0.966	0.429	27.12	0.631
1430	1.206	0.605	-3623.985	-31.972	-3592.013	0.32	0.912	0.43	24.972	0.624
1440	1.214	0.58	-3623.945	-31.23	-3592.715	0.32	0.921	0.432	24.985	0.654
1450	1.221	0.538	-3624.51	-30.456	-3594.055	0.32	0.893	0.434	24.528	0.689
1460	1.229	0.545	-3623.041	-33.061	-3589.981	0.32	0.901	0.432	21.788	0.605
1470	1.237	0.545	-3623.041	-33.061	-3589.981	0.32	0.901	0.432	21.788	0.605
1480	1.245	0.567	-3624.671	-33.452	-3591.219	0.32	0.89	0.435	18.656	0.617
1490	1.255	0.535	-3624.837	-31.354	-3593.483	0.32	0.865	0.434	22.409	0.667
1500	1.264	0.54	-3623.926	-29.043	-3594.883	0.32	0.895	0.432	28.531	0.723
1510	1.273	0.61	-3625.457	-30.753	-3594.704	0.32	0.844	0.432	25.569	0.667
1520	1.28	0.599	-3623.682	-28.364	-3595.318	0.32	0.881	0.43	33.293	0.723
1530	1.288	0.559	-3622.997	-28.322	-3594.676	0.32	0.888	0.43	33.121	0.726
1540	1.296	0.583	-3625.308	-28.047	-3597.261	0.32	0.897	0.432	30.711	0.756
1550	1.304	0.584	-3623.638	-27.767	-3595.872	0.32	0.867	0.43	35.061	0.74
1560	1.311	0.617	-3624.074	-28.369	-3595.706	0.32	0.898	0.429	34.64	0.715
1570	1.319	0.565	-3623.074	-28.535	-3594.539	0.32	0.882	0.43	32.41	0.72
1580	1.326	0.581	-3626.471	-26.684	-3599.787	0.32	0.93	0.431	35.76	0.793
1590	1.333	0.601	-3626.006	-25.765	-3600.241	0.32	0.897	0.431	37.972	0.828
1600	1.341	0.63	-3624.89	-28.622	-3596.267	0.32	0.92	0.429	34.747	0.704
1610	1.348	0.558	-3622.931	-28.644	-3594.287	0.32	0.903	0.429	34.889	0.701
1620	1.355	0.516	-3623.579	-28.069	-3595.51	0.32	0.92	0.43	33.733	0.736
1630	1.363	0.538	-3624.908	-27.176	-3597.732	0.32	0.93	0.431	35.009	0.773
1640	1.37	0.583	-3624.007	-26.73	-3597.276	0.32	0.861	0.429	40.245	0.762
1650	1.377	0.543	-3624.371	-25.144	-3599.227	0.32	0.872	0.43	41.918	0.838
1660	1.385	0.586	-3624.461	-24.518	-3599.943	0.32	0.895	0.429	45.821	0.854
1670	1.392	0.59	-3624.58	-24.692	-3599.888	0.32	0.918	0.428	47.31	0.838
1680	1.399	0.563	-3625.535	-23.517	-3602.018	0.32	0.915	0.429	49.529	0.896
1690	1.407	0.619	-3625.319	-24.599	-3600.72	0.32	0.875	0.428	48.929	0.833
1700	1.414	0.615	-3627.998	-22.771	-3605.227	0.32	0.885	0.43	48.468	0.948
1710	1.422	0.63	-3626.587	-26.33	-3600.257	0.32	0.928	0.426	47.762	0.75
1720	1.431	0.602	-3624.968	-24.014	-3600.954	0.32	0.882	0.429	48.063	0.871
1730	1.44	0.58	-3626.826	-22.554	-3604.272	0.32	0.881	0.429	49.785	0.955
1740	1.449	0.564	-3625.697	-22.442	-3603.255	0.32	0.869	0.429	52.961	0.945
1750	1.458	0.565	-3624.921	-23.326	-3601.595	0.32	0.877	0.429	49.901	0.904
1760	1.467	0.546	-3624.509	-24.704	-3599.805	0.32	0.853	0.429	45.706	0.842
1770	1.475	0.548	-3624.101	-24.291	-3599.81	0.32	0.889	0.429	47.565	0.858
1780	1.484	0.545	-3625.678	-24.118	-3601.56	0.32	0.831	0.429	46.543	0.871
1790	1.492	0.545	-3625.678	-24.118	-3601.56	0.32	0.831	0.429	46.543	0.871
1800	1.5	0.58	-3624.771	-24.221	-3600.551	0.32	0.86	0.429	46.649	0.865
1810	1.509	0.596	-3624.387	-24.74	-3599.647	0.32	0.878	0.429	46.188	0.838
1820	1.517	0.632	-3625.935	-25.394	-3600.541	0.32	0.913	0.429	43.344	0.818
1830	1.526	0.641	-3626.516	-26.546	-3599.969	0.32	0.861	0.428	42.269	0.761
1840	1.534	0.601	-3624.877	-24.769	-3600.108	0.32	0.861	0.429	45.52	0.84
1850	1.543	0.568	-3623.618	-26.003	-3597.614	0.32	0.876	0.428	43.515	0.783
1860	1.551	0.571	-3623.5	-26.346	-3597.154	0.32	0.874	0.429	41.52	0.775
1870	1.56	0.537	-3625.097	-26.476	-3598.621	0.32	0.919	0.431	36.27	0.8
1880	1.568	0.527	-3624.068	-25.929	-3598.138	0.32	0.858	0.43	38.771	0.812
1890	1.577	0.552	-3623.748	-25.857	-3597.892	0.32	0.869	0.429	41.022	0.803
1900	1.585	0.618	-3625.346	-25.927	-3599.419	0.32	0.854	0.429	42.72	0.791
1910	1.593	0.639	-3627.794	-24.02	-3603.773	0.32	0.903	0.43	45.677	0.885
1920	1.602	0.563	-3623.954	-26.07	-3597.884	0.32	0.922	0.429	41.185	0.794
1930	1.61	0.587	-3625.342	-26.683	-3598.659	0.32	0.836	0.428	41.03	0.76
1940	1.618	0.504	-3624.917	-25.136	-3599.781	0.32	0.888	0.43	41.272	0.843
1950	1.626	0.52	-3623.254	-28.173	-3595.082	0.32	0.913	0.43	33.317	0.733
1960	1.634	0.519	-3622.938	-28.26	-3594.678	0.32	0.903	0.43	33.337	0.728
1970	1.643	0.543	-3624.079	-25.872	-3598.207	0.32	0.881	0.43	39.373	0.812
1980	1.651	0.536	-3623.234	-27.72	-3595.514	0.32	0.881	0.43	35.085	0.743
1990	1.659	0.552	-3623.451	-28.589	-3594.862	0.32	0.901	0.431	31.392	0.725
2000	1.667	0.509	-3623.636	-28.057	-3595.579	0.32	0.912	0.431	33.443	0.738
2010	1.675	0.525	-3624.039	-26.955	-3597.084	0.32	0.924	0.43	36.957	0.772
2020	1.683	0.526	-3623.606	-26.252	-3597.353	0.32	0.891	0.43	38.231	0.799
2030	1.691	0.536	-3624.708	-25.834	-3598.874	0.32	0.843	0.43	40.127	0.809
2040	1.699	0.547	-3623.679	-27.454	-3596.225	0.32	0.926	0.429	36.922	0.747
2050	1.708	0.536	-3622.681	-28.322	-3594.36	0.32	0.903	0.43	32.994	0.727
