iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
670	0.577	0.532	-3622.652	-29.593	-3593.058	0.32	0.905	0.431	29.585	0.691
680	0.586	0.544	-3622.907	-28.479	-3594.428	0.32	0.893	0.43	33.74	0.715
690	0.594	0.616	-3624.025	-28.969	-3595.056	0.32	0.9	0.43	32.158	0.703
700	0.603	0.646	-3626.64	-31.828	-3594.812	0.32	0.9	0.428	27.165	0.614
710	0.611	0.582	-3623.431	-29.756	-3593.676	0.32	0.921	0.43	29.707	0.684
720	0.619	0.582	-3623.283	-31.223	-3592.061	0.32	0.913	0.431	26.112	0.646
730	0.628	0.569	-3623.786	-29.852	-3593.934	0.32	0.888	0.432	27.238	0.695
740	0.636	0.563	-3623.102	-29.29	-3593.812	0.32	0.894	0.431	29.953	0.702
750	0.645	0.566	-3624.609	-27.167	-3597.442	0.32	0.913	0.431	34.68	0.774
760	0.653	0.568	-3623.076	-29.192	-3593.885	0.32	0.921	0.429	32.968	0.689
770	0.662	0.567	-3623.025	-27.89	-3595.135	0.32	0.914	0.429	35.901	0.731
780	0.67	0.57	-3623.488	-26.613	-3596.875	0.32	0.886	0.43	37.966	0.781
790	0.679	0.552	-3623.429	-26.607	-3596.823	0.32	0.873	0.43	38.51	0.778
800	0.687	0.584	-3623.767	-27.316	-3596.451	0.32	0.926	0.428	39.609	0.739
810	0.696	0.534	-3626.387	-26.62	-3599.767	0.32	0.952	0.43	38.745	0.781
820	0.704	0.496	-3625.655	-28.899	-3596.756	0.32	0.928	0.432	29.7	0.723
830	0.713	0.496	-3625.655	-28.899	-3596.756	0.32	0.928	0.432	29.7	0.723
840	0.721	0.578	-3624.277	-28.88	-3595.398	0.32	0.899	0.432	29.434	0.724
850	0.73	0.556	-3623.224	-27.236	-3595.988	0.32	0.893	0.43	36.13	0.761
860	0.738	0.592	-3624.242	-26.736	-3597.506	0.32	0.887	0.431	36.479	0.784
870	0.746	0.6	-3624.468	-27.265	-3597.203	0.32	0.87	0.428	40.082	0.737
880	0.755	0.579	-3623.421	-26.878	-3596.544	0.32	0.891	0.428	41.191	0.751
890	0.763	0.567	-3624.408	-26.029	-3598.379	0.32	0.845	0.429	40.673	0.795
900	0.771	0.551	-3623.503	-25.756	-3597.748	0.32	0.894	0.429	41.8	0.806
910	0.78	0.573	-3624.203	-26.606	-3597.597	0.32	0.881	0.431	36.328	0.791
920	0.788	0.596	-3624.387	-25.731	-3598.655	0.32	0.868	0.43	41.023	0.81
930	0.796	0.605	-3624.988	-26.199	-3598.789	0.32	0.866	0.43	37.956	0.803
940	0.805	0.545	-3625.415	-25.96	-3599.455	0.32	0.834	0.431	37.626	0.817
950	0.813	0.488	-3625.663	-27.742	-3597.921	0.32	0.872	0.432	31.559	0.764
960	0.821	0.5	-3625.633	-27.578	-3598.055	0.32	0.852	0.432	31.734	0.77
970	0.829	0.537	-3623.312	-30.37	-3592.943	0.32	0.861	0.432	27.009	0.673
980	0.837	0.556	-3624.936	-29.029	-3595.906	0.32	0.883	0.433	27.915	0.728
990	0.845	0.599	-3624.296	-29.896	-3594.399	0.32	0.925	0.431	28.557	0.686
1000	0.853	0.587	-3623.839	-32.324	-3591.515	0.32	0.897	0.43	24.708	0.611
1010	0.861	0.554	-3624.733	-32.406	-3592.327	0.32	0.849	0.432	22.574	0.623
1020	0.868	0.548	-3625.298	-30.675	-3594.623	0.32	0.906	0.434	23.685	0.687
1030	0.876	0.554	-3622.925	-32.806	-3590.119	0.32	0.911	0.432	22.168	0.612
1040	0.883	0.551	-3623.656	-33.195	-3590.461	0.32	0.938	0.431	22.105	0.599
1050	0.891	0.592	-3625.52	-32.155	-3593.365	0.32	0.94	0.433	22.763	0.634
1060	0.899	0.575	-3624.615	-30.485	-3594.13	0.32	0.845	0.432	25.896	0.676
1070	0.907	0.574	-3623.35	-30.692	-3592.658	0.32	0.877	0.431	26.818	0.661
1080	0.916	0.541	-3624.302	-29.362	-3594.939	0.32	0.865	0.433	27.16	0.717
1090	0.924	0.599	-3624.244	-28.297	-3595.947	0.32	0.86	0.431	32.759	0.729
1100	0.932	0.577	-3623.152	-30.086	-3593.066	0.32	0.914	0.429	30.738	0.663
1110	0.94	0.577	-3622.974	-29.645	-3593.329	0.32	0.903	0.43	31.054	0.679
1120	0.948	0.577	-3622.974	-29.645	-3593.329	0.32	0.903	0.43	31.054	0.679
1130	0.956	0.573	-3622.897	-28.458	-3594.438	0.32	0.904	0.429	34.555	0.712
1140	0.965	0.586	-3623.441	-28.264	-3595.177	0.32	0.916	0.43	33.901	0.725
1150	0.974	0.562	-3622.991	-28.853	-3594.138	0.32	0.904	0.429	34.345	0.695
1160	0.983	0.557	-3623.316	-28.28	-3595.036	0.32	0.872	0.431	32.864	0.729
1170	0.992	0.531	-3624.736	-28.549	-3596.187	0.32	0.852	0.433	29.14	0.741
1180	1.0	0.591	-3626.111	-31.16	-3594.951	0.32	0.821	0.432	25.389	0.651
1190	1.008	0.587	-3626.891	-31.053	-3595.838	0.32	0.814	0.43	26.778	0.645
1200	1.015	0.544	-3623.233	-29.988	-3593.245	0.32	0.87	0.432	27.089	0.69
1210	1.023	0.599	-3624.95	-31.089	-3593.861	0.32	0.848	0.431	26.09	0.649
1220	1.031	0.542	-3624.296	-27.365	-3596.931	0.32	0.87	0.432	32.67	0.775
1230	1.039	0.585	-3624.317	-27.551	-3596.766	0.32	0.862	0.431	33.554	0.76
1240	1.047	0.555	-3624.079	-26.738	-3597.341	0.32	0.869	0.431	36.1	0.785
1250	1.055	0.604	-3624.63	-27.286	-3597.344	0.32	0.878	0.431	34.39	0.768
1260	1.063	0.599	-3623.841	-28.375	-3595.465	0.32	0.918	0.43	33.524	0.722
1270	1.071	0.538	-3622.79	-29.442	-3593.348	0.32	0.883	0.431	29.201	0.699
1280	1.079	0.601	-3623.979	-29.417	-3594.562	0.32	0.887	0.432	29.004	0.702
1290	1.087	0.632	-3630.202	-27.744	-3602.458	0.32	0.775	0.43	34.418	0.743
1300	1.095	0.615	-3625.506	-27.759	-3597.747	0.32	0.923	0.426	41.56	0.709
1310	1.103	0.627	-3625.376	-25.878	-3599.497	0.32	0.876	0.43	40.609	0.805
1320	1.111	0.611	-3624.53	-25.194	-3599.336	0.32	0.889	0.429	45.053	0.819
1330	1.118	0.607	-3625.207	-24.609	-3600.599	0.32	0.858	0.429	45.867	0.847
1340	1.126	0.59	-3623.747	-26.44	-3597.307	0.32	0.882	0.428	42.312	0.767
1350	1.133	0.619	-3624.556	-26.919	-3597.637	0.32	0.917	0.428	40.714	0.753
1360	1.141	0.619	-3624.556	-26.919	-3597.637	0.32	0.917	0.428	40.714	0.753
1370	1.149	0.633	-3625.249	-27.154	-3598.095	0.32	0.917	0.429	38.367	0.754
1380	1.156	0.594	-3624.663	-27.413	-3597.25	0.32	0.871	0.431	33.476	0.768
1390	1.164	0.543	-3623.813	-26.783	-3597.03	0.32	0.923	0.429	38.812	0.77
1400	1.172	0.523	-3624.947	-25.782	-3599.166	0.32	0.941	0.429	42.861	0.801
1410	1.18	0.539	-3624.29	-25.708	-3598.582	0.32	0.929	0.429	43.759	0.8
1420	1.187	0.585	-3623.737	-26.745	-3596.992	0.32	0.905	0.43	37.899	0.776
1430	1.195	0.615	-3625.626	-25.29	-3600.337	0.32	0.881	0.43	40.867	0.836
1440	1.202	0.591	-3624.193	-25.969	-3598.224	0.32	0.883	0.427	45.462	0.776
1450	1.211	0.601	-3624.972	-24.165	-3600.807	0.32	0.869	0.429	47.574	0.864
1460	1.219	0.576	-3624.24	-24.058	-3600.183	0.32	0.892	0.427	52.059	0.851
1470	1.228	0.599	-3625.066	-23.659	-3601.408	0.32	0.888	0.427	54.854	0.862
1480	1.236	0.605	-3626.147	-23.227	-3602.921	0.32	0.863	0.427	56.947	0.878
1490	1.244	0.614	-3626.014	-23.158	-3602.856	0.32	0.867	0.427	55.286	0.889
1500	1.252	0.622	-3626.592	-22.788	-3603.804	0.32	0.877	0.427	59.102	0.896
1510	1.259	0.57	-3625.139	-22.525	-3602.614	0.32	0.905	0.427	58.015	0.919
1520	1.267	0.576	-3627.707	-20.258	-3607.449	0.32	0.874	0.428	62.499	1.056
1530	1.275	0.542	-3629.533	-20.632	-3608.901	0.32	0.888	0.429	55.921	1.06
1540	1.283	0.577	-3625.693	-23.036	-3602.657	0.32	0.908	0.429	51.415	0.916
1550	1.291	0.576	-3625.759	-23.076	-3602.683	0.32	0.845	0.429	50.518	0.915
1560	1.299	0.587	-3625.365	-22.549	-3602.816	0.32	0.873	0.428	56.292	0.923
1570	1.306	0.631	-3626.128	-25.589	-3600.538	0.32	0.928	0.427	47.835	0.787
1580	1.314	0.573	-3623.805	-25.347	-3598.458	0.32	0.912	0.428	47.349	0.801
1590	1.323	0.625	-3626.17	-23.374	-3602.796	0.32	0.885	0.428	51.077	0.896
1600	1.332	0.599	-3625.274	-23.415	-3601.859	0.32	0.915	0.427	54.495	0.879
1610	1.34	0.609	-3625.312	-23.47	-3601.842	0.32	0.887	0.428	52.419	0.884
1620	1.348	0.595	-3625.62	-23.73	-3601.89	0.32	0.93	0.427	53.266	0.867
1630	1.356	0.554	-3625.078	-23.275	-3601.803	0.32	0.888	0.429	49.894	0.908
1640	1.364	0.563	-3624.931	-23.173	-3601.758	0.32	0.864	0.428	51.845	0.903
1650	1.372	0.581	-3624.551	-23.587	-3600.964	0.32	0.904	0.427	53.9	0.871
1660	1.38	0.596	-3624.738	-24.497	-3600.241	0.32	0.894	0.427	52.143	0.826
1670	1.387	0.583	-3625.79	-24.681	-3601.109	0.32	0.943	0.427	50.729	0.824
1680	1.395	0.564	-3624.595	-23.86	-3600.734	0.32	0.887	0.429	47.943	0.881
1690	1.402	0.588	-3624.078	-24.909	-3599.169	0.32	0.892	0.428	48.54	0.818
1700	1.41	0.604	-3625.556	-23.906	-3601.649	0.32	0.853	0.428	49.842	0.868
1710	1.418	0.57	-3624.259	-24.851	-3599.408	0.32	0.923	0.427	49.24	0.82
1720	1.425	0.578	-3623.664	-25.679	-3597.985	0.32	0.911	0.428	45.3	0.793
1730	1.432	0.588	-3623.909	-25.539	-3598.37	0.32	0.912	0.428	44.686	0.803
1740	1.44	0.572	-3623.981	-24.924	-3599.057	0.32	0.915	0.428	48.178	0.82
