iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.589	-3793.423	-16.656	-3776.767	0.32	0.382	0.394	40.376	0.451
10	0.009	0.562	-3689.463	-13.045	-3676.418	0.32	0.462	0.424	48.365	0.719
20	0.016	0.649	-3648.016	-13.04	-3634.977	0.32	0.638	0.426	46.481	0.744
30	0.024	0.571	-3618.672	-12.294	-3606.378	0.32	0.762	0.43	44.047	0.91
40	0.032	0.616	-3613.427	-12.2	-3601.228	0.32	0.878	0.427	52.08	0.814
50	0.04	0.598	-3614.218	-12.191	-3602.027	0.32	0.947	0.426	53.58	0.809
60	0.048	0.602	-3612.566	-12.215	-3600.351	0.32	0.918	0.427	51.04	0.83
70	0.056	0.573	-3612.198	-12.59	-3599.608	0.32	0.883	0.429	44.825	0.851
80	0.064	0.549	-3611.038	-12.885	-3598.153	0.32	0.913	0.428	44.828	0.805
90	0.072	0.58	-3610.369	-13.699	-3596.67	0.32	0.922	0.427	41.665	0.731
100	0.08	0.553	-3610.715	-13.037	-3597.677	0.32	0.897	0.429	43.258	0.802
110	0.088	0.557	-3610.27	-13.321	-3596.949	0.32	0.89	0.429	41.882	0.777
120	0.096	0.528	-3612.404	-13.041	-3599.363	0.32	0.891	0.43	41.146	0.835
130	0.104	0.538	-3611.647	-13.401	-3598.246	0.32	0.86	0.43	39.091	0.807
140	0.112	0.552	-3611.638	-14.053	-3597.585	0.32	0.831	0.43	35.763	0.762
150	0.12	0.577	-3612.786	-13.956	-3598.829	0.32	0.814	0.429	37.591	0.745
160	0.128	0.615	-3612.352	-13.24	-3599.112	0.32	0.853	0.429	41.944	0.786
170	0.136	0.57	-3610.65	-12.963	-3597.687	0.32	0.895	0.428	44.778	0.791
180	0.144	0.546	-3611.174	-12.836	-3598.337	0.32	0.916	0.428	45.161	0.808
190	0.152	0.555	-3610.799	-13.002	-3597.796	0.32	0.892	0.429	43.389	0.804
200	0.16	0.615	-3612.433	-12.743	-3599.69	0.32	0.888	0.427	47.954	0.781
210	0.168	0.616	-3613.436	-12.583	-3600.854	0.32	0.869	0.429	44.751	0.852
220	0.176	0.654	-3612.068	-13.927	-3598.141	0.32	0.886	0.433	32.854	0.849
230	0.184	0.667	-3610.931	-14.706	-3596.226	0.32	0.928	0.433	30.709	0.776
240	0.192	0.667	-3610.931	-14.706	-3596.226	0.32	0.928	0.433	30.709	0.776
250	0.2	0.683	-3614.697	-15.294	-3599.403	0.32	0.921	0.43	31.095	0.687
260	0.208	0.64	-3611.963	-15.679	-3596.284	0.32	0.937	0.43	29.212	0.676
270	0.216	0.612	-3609.937	-16.874	-3593.063	0.32	0.936	0.431	24.417	0.63
