iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
31100	23.114	0.55	-3608.894	-23.178	-3585.716	0.32	1.0	3.556	0.38
31200	23.197	0.55	-3608.894	-23.178	-3585.716	0.32	1.0	3.556	0.38
31300	23.279	0.566	-3611.002	-24.335	-3586.667	0.32	1.0	2.862	0.369
31400	23.361	0.579	-3612.251	-26.333	-3585.918	0.32	1.0	1.991	0.346
31500	23.438	0.569	-3609.148	-23.344	-3585.804	0.32	1.0	3.447	0.378
31600	23.517	0.586	-3610.404	-25.454	-3584.95	0.32	1.0	2.348	0.352
31700	23.591	0.581	-3609.594	-25.599	-3583.994	0.32	1.0	2.296	0.349
31800	23.661	0.581	-3611.44	-23.227	-3588.212	0.32	1.0	3.497	0.384
31900	23.734	0.543	-3609.452	-20.862	-3588.59	0.32	1.0	5.43	0.415
32000	23.805	0.543	-3609.452	-20.862	-3588.59	0.32	1.0	5.43	0.415
32100	23.879	0.543	-3609.452	-20.862	-3588.59	0.32	1.0	5.43	0.415
32200	23.963	0.54	-3608.945	-21.476	-3587.469	0.32	1.0	4.855	0.404
32300	24.048	0.54	-3608.945	-21.476	-3587.469	0.32	1.0	4.855	0.404
32400	24.133	0.54	-3608.945	-21.476	-3587.469	0.32	1.0	4.855	0.404
32500	24.224	0.56	-3607.915	-23.592	-3584.322	0.32	1.0	3.312	0.372
32600	24.31	0.56	-3607.915	-23.592	-3584.322	0.32	1.0	3.312	0.372
32700	24.383	0.56	-3607.915	-23.592	-3584.322	0.32	1.0	3.312	0.372
32800	24.448	0.56	-3607.915	-23.592	-3584.322	0.32	1.0	3.312	0.372
32900	24.514	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33000	24.578	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33100	24.642	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33200	24.708	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33300	24.772	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33400	24.836	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33500	24.9	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33600	24.964	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33700	25.027	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33800	25.091	0.542	-3608.259	-21.264	-3586.995	0.32	1.0	5.059	0.406
33900	25.154	0.554	-3609.456	-22.215	-3587.24	0.32	1.0	4.23	0.395
34000	25.218	0.543	-3609.544	-22.416	-3587.128	0.32	1.0	4.078	0.392
34100	25.283	0.553	-3607.996	-22.321	-3585.675	0.32	1.0	4.17	0.39
34200	25.355	0.542	-3609.545	-21.32	-3588.225	0.32	1.0	4.988	0.408
34300	25.438	0.535	-3609.518	-20.769	-3588.75	0.32	1.0	5.525	0.416
34400	25.502	0.566	-3609.66	-24.434	-3585.225	0.32	1.0	2.825	0.365
34500	25.573	0.598	-3613.38	-26.933	-3586.447	0.32	1.0	1.787	0.339
34600	25.637	0.586	-3612.921	-26.683	-3586.238	0.32	1.0	1.867	0.343
34700	25.7	0.543	-3610.094	-22.108	-3587.986	0.32	1.0	4.307	0.397
34800	25.763	0.56	-3608.968	-22.882	-3586.086	0.32	1.0	3.751	0.384
34900	25.826	0.56	-3608.968	-22.882	-3586.086	0.32	1.0	3.751	0.384
35000	25.889	0.56	-3608.968	-22.882	-3586.086	0.32	1.0	3.751	0.384
35100	25.953	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35200	26.023	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35300	26.102	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35400	26.165	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35500	26.229	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35600	26.292	0.539	-3608.768	-21.266	-3587.502	0.32	1.0	5.049	0.407
35700	26.355	0.557	-3609.2	-23.617	-3585.584	0.32	1.0	3.28	0.374
35800	26.419	0.557	-3609.2	-23.617	-3585.584	0.32	1.0	3.28	0.374
35900	26.483	0.569	-3608.904	-24.072	-3584.831	0.32	1.0	3.025	0.367
36000	26.547	0.569	-3608.904	-24.072	-3584.831	0.32	1.0	3.025	0.367
36100	26.614	0.576	-3609.321	-24.899	-3584.422	0.32	1.0	2.604	0.357
36200	26.677	0.568	-3608.635	-23.539	-3585.096	0.32	1.0	3.335	0.374
36300	26.746	0.553	-3608.442	-22.66	-3585.781	0.32	1.0	3.913	0.386
36400	26.81	0.536	-3609.611	-21.183	-3588.428	0.32	1.0	5.115	0.41
36500	26.873	0.536	-3611.085	-22.314	-3588.771	0.32	1.0	4.136	0.396
36600	26.934	0.538	-3610.372	-21.745	-3588.627	0.32	1.0	4.601	0.403
36700	26.995	0.545	-3610.764	-21.772	-3588.992	0.32	1.0	4.572	0.404
36800	27.056	0.545	-3610.764	-21.772	-3588.992	0.32	1.0	4.572	0.404
36900	27.116	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37000	27.176	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37100	27.236	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37200	27.296	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37300	27.356	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37400	27.421	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37500	27.482	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37600	27.541	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37700	27.6	0.545	-3608.384	-21.956	-3586.427	0.32	1.0	4.452	0.396
37800	27.66	0.546	-3608.639	-21.654	-3586.985	0.32	1.0	4.702	0.401
37900	27.719	0.535	-3609.903	-21.513	-3588.39	0.32	1.0	4.809	0.406
38000	27.779	0.581	-3610.657	-22.932	-3587.724	0.32	1.0	3.699	0.387
38100	27.839	0.567	-3611.701	-23.901	-3587.8	0.32	1.0	3.089	0.376
38200	27.898	0.568	-3609.233	-24.317	-3584.916	0.32	1.0	2.891	0.365
38300	27.958	0.566	-3608.095	-24.204	-3583.891	0.32	1.0	2.965	0.364
38400	28.018	0.566	-3608.095	-24.204	-3583.891	0.32	1.0	2.965	0.364
38500	28.077	0.559	-3609.105	-24.213	-3584.893	0.32	1.0	2.947	0.366
38600	28.136	0.559	-3609.105	-24.213	-3584.893	0.32	1.0	2.947	0.366
38700	28.195	0.559	-3609.105	-24.213	-3584.893	0.32	1.0	2.947	0.366
38800	28.255	0.566	-3609.803	-22.025	-3587.778	0.32	1.0	4.376	0.398
38900	28.315	0.566	-3609.803	-22.025	-3587.778	0.32	1.0	4.376	0.398
39000	28.374	0.566	-3609.803	-22.025	-3587.778	0.32	1.0	4.376	0.398
39100	28.434	0.566	-3609.803	-22.025	-3587.778	0.32	1.0	4.376	0.398
39200	28.494	0.549	-3610.199	-24.348	-3585.851	0.32	1.0	2.864	0.367
39300	28.553	0.557	-3608.457	-23.524	-3584.933	0.32	1.0	3.345	0.374
39400	28.613	0.575	-3609.182	-24.224	-3584.958	0.32	1.0	2.941	0.366
39500	28.673	0.575	-3609.182	-24.224	-3584.958	0.32	1.0	2.941	0.366
39600	28.754	0.575	-3609.182	-24.224	-3584.958	0.32	1.0	2.941	0.366
39700	28.827	0.543	-3609.296	-22.66	-3586.636	0.32	1.0	3.903	0.388
39800	28.886	0.543	-3609.296	-22.66	-3586.636	0.32	1.0	3.903	0.388
39900	28.946	0.543	-3609.296	-22.66	-3586.636	0.32	1.0	3.903	0.388
