iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
7200	5.212	0.553	-3608.264	-22.774	-3585.49	0.32	1.0	3.836	0.384
7300	5.293	0.564	-3608.351	-23.645	-3584.706	0.32	1.0	3.275	0.372
7400	5.363	0.569	-3608.783	-24.935	-3583.848	0.32	1.0	2.593	0.356
7500	5.428	0.569	-3608.783	-24.935	-3583.848	0.32	1.0	2.593	0.356
7600	5.49	0.551	-3608.631	-22.583	-3586.048	0.32	1.0	3.966	0.387
7700	5.564	0.551	-3608.631	-22.583	-3586.048	0.32	1.0	3.966	0.387
7800	5.632	0.55	-3609.741	-23.774	-3585.967	0.32	1.0	3.182	0.374
7900	5.701	0.533	-3610.434	-22.076	-3588.357	0.32	1.0	4.329	0.398
8000	5.779	0.557	-3608.623	-22.87	-3585.752	0.32	1.0	3.764	0.383
8100	5.848	0.557	-3608.623	-22.87	-3585.752	0.32	1.0	3.764	0.383
8200	5.915	0.568	-3610.86	-21.815	-3589.045	0.32	1.0	4.536	0.403
8300	5.982	0.558	-3610.122	-23.419	-3586.703	0.32	1.0	3.389	0.379
8400	6.05	0.564	-3608.591	-23.504	-3585.087	0.32	1.0	3.356	0.374
8500	6.133	0.544	-3608.478	-22.044	-3586.434	0.32	1.0	4.38	0.395
8600	6.22	0.544	-3608.478	-22.044	-3586.434	0.32	1.0	4.38	0.395
8700	6.306	0.544	-3608.478	-22.044	-3586.434	0.32	1.0	4.38	0.395
8800	6.389	0.544	-3608.478	-22.044	-3586.434	0.32	1.0	4.38	0.395
8900	6.466	0.544	-3608.478	-22.044	-3586.434	0.32	1.0	4.38	0.395
9000	6.548	0.586	-3610.935	-24.089	-3586.847	0.32	1.0	2.996	0.371
9100	6.628	0.586	-3610.935	-24.089	-3586.847	0.32	1.0	2.996	0.371
9200	6.712	0.586	-3610.935	-24.089	-3586.847	0.32	1.0	2.996	0.371
9300	6.798	0.57	-3609.762	-23.989	-3585.773	0.32	1.0	3.061	0.371
9400	6.885	0.57	-3609.762	-23.989	-3585.773	0.32	1.0	3.061	0.371
9500	6.97	0.57	-3609.762	-23.989	-3585.773	0.32	1.0	3.061	0.371
9600	7.055	0.55	-3608.975	-23.523	-3585.451	0.32	1.0	3.339	0.375
9700	7.141	0.55	-3608.975	-23.523	-3585.451	0.32	1.0	3.339	0.375
9800	7.22	0.577	-3610.088	-25.094	-3584.995	0.32	1.0	2.506	0.357
9900	7.305	0.577	-3610.088	-25.094	-3584.995	0.32	1.0	2.506	0.357
10000	7.383	0.577	-3610.088	-25.094	-3584.995	0.32	1.0	2.506	0.357
10100	7.468	0.577	-3612.373	-23.514	-3588.859	0.32	1.0	3.309	0.382
10200	7.54	0.591	-3613.535	-23.587	-3589.948	0.32	1.0	3.257	0.383
10300	7.625	0.577	-3610.871	-23.654	-3587.217	0.32	1.0	3.24	0.377
10400	7.709	0.577	-3610.871	-23.654	-3587.217	0.32	1.0	3.24	0.377
10500	7.795	0.569	-3609.556	-23.142	-3586.414	0.32	1.0	3.571	0.382
10600	7.88	0.569	-3609.556	-23.142	-3586.414	0.32	1.0	3.571	0.382
10700	7.965	0.564	-3609.767	-22.656	-3587.11	0.32	1.0	3.899	0.389
10800	8.05	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
10900	8.135	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
11000	8.222	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
11100	8.307	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
11200	8.393	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
11300	8.479	0.551	-3608.358	-22.765	-3585.594	0.32	1.0	3.841	0.384
11400	8.564	0.558	-3609.323	-24.284	-3585.039	0.32	1.0	2.907	0.366
11500	8.64	0.558	-3609.323	-24.284	-3585.039	0.32	1.0	2.907	0.366
11600	8.726	0.558	-3609.323	-24.284	-3585.039	0.32	1.0	2.907	0.366
11700	8.809	0.548	-3608.948	-21.232	-3587.716	0.32	1.0	5.078	0.408
11800	8.895	0.548	-3608.948	-21.232	-3587.716	0.32	1.0	5.078	0.408
11900	8.975	0.548	-3608.948	-21.232	-3587.716	0.32	1.0	5.078	0.408
12000	9.06	0.562	-3610.21	-22.745	-3587.465	0.32	1.0	3.831	0.389
12100	9.131	0.548	-3609.017	-21.521	-3587.496	0.32	1.0	4.813	0.404
12200	9.202	0.548	-3609.017	-21.521	-3587.496	0.32	1.0	4.813	0.404
12300	9.287	0.557	-3609.577	-22.142	-3587.435	0.32	1.0	4.286	0.396
12400	9.372	0.559	-3608.821	-22.227	-3586.594	0.32	1.0	4.23	0.393
12500	9.455	0.559	-3608.821	-22.227	-3586.594	0.32	1.0	4.23	0.393
12600	9.536	0.556	-3608.399	-22.505	-3585.894	0.32	1.0	4.026	0.388
12700	9.621	0.556	-3608.399	-22.505	-3585.894	0.32	1.0	4.026	0.388
12800	9.694	0.541	-3608.553	-21.565	-3586.988	0.32	1.0	4.782	0.402
12900	9.768	0.534	-3609.722	-20.747	-3588.975	0.32	1.0	5.543	0.417
13000	9.845	0.534	-3609.722	-20.747	-3588.975	0.32	1.0	5.543	0.417
13100	9.918	0.534	-3609.722	-20.747	-3588.975	0.32	1.0	5.543	0.417
13200	9.994	0.534	-3609.722	-20.747	-3588.975	0.32	1.0	5.543	0.417
13300	10.069	0.544	-3608.907	-21.036	-3587.87	0.32	1.0	5.265	0.411
13400	10.139	0.544	-3608.907	-21.036	-3587.87	0.32	1.0	5.265	0.411
13500	10.206	0.544	-3608.907	-21.036	-3587.87	0.32	1.0	5.265	0.411
13600	10.275	0.544	-3608.907	-21.036	-3587.87	0.32	1.0	5.265	0.411
13700	10.344	0.544	-3608.907	-21.036	-3587.87	0.32	1.0	5.265	0.411
13800	10.417	0.542	-3608.654	-21.718	-3586.936	0.32	1.0	4.647	0.4
13900	10.484	0.542	-3608.654	-21.718	-3586.936	0.32	1.0	4.647	0.4
14000	10.552	0.542	-3608.654	-21.718	-3586.936	0.32	1.0	4.647	0.4
14100	10.62	0.542	-3608.654	-21.718	-3586.936	0.32	1.0	4.647	0.4
14200	10.695	0.542	-3608.654	-21.718	-3586.936	0.32	1.0	4.647	0.4
14300	10.768	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14400	10.852	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14500	10.937	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14600	11.022	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14700	11.104	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14800	11.182	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
14900	11.264	0.547	-3608.617	-22.101	-3586.516	0.32	1.0	4.332	0.394
15000	11.35	0.56	-3611.179	-22.442	-3588.738	0.32	1.0	4.038	0.395
