iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1892.771	-10.513	-1882.258	0.32	0.981	71.054	2.006
100	0.096	-1777.267	-9.962	-1767.306	0.32	0.76	59.897	1.486
200	0.192	-1709.661	-11.596	-1698.065	0.32	0.882	33.51	0.68
300	0.285	-1701.513	-14.129	-1687.384	0.32	0.938	19.779	0.591
400	0.375	-1702.617	-17.536	-1685.081	0.32	0.96	10.427	0.472
500	0.466	-1701.605	-16.567	-1685.038	0.32	0.948	12.457	0.496
600	0.556	-1701.95	-14.384	-1687.565	0.32	0.933	18.684	0.592
700	0.648	-1701.91	-13.763	-1688.147	0.32	0.917	21.126	0.614
800	0.741	-1700.1	-14.069	-1686.032	0.32	0.942	19.921	0.611
900	0.833	-1702.369	-15.093	-1687.277	0.32	0.955	16.717	0.527
1000	0.924	-1701.861	-13.375	-1688.486	0.32	0.934	22.824	0.657
1100	1.015	-1703.97	-14.077	-1689.892	0.32	0.971	20.174	0.61
1200	1.09	-1699.867	-14.496	-1685.371	0.32	0.926	18.155	0.599
1300	1.155	-1701.117	-14.683	-1686.434	0.32	0.917	17.616	0.569
1400	1.224	-1701.38	-14.199	-1687.181	0.32	0.94	19.579	0.582
1500	1.288	-1701.816	-15.259	-1686.556	0.32	0.921	15.988	0.523
1600	1.355	-1700.873	-12.915	-1687.958	0.32	0.917	25.085	0.669
1700	1.419	-1700.395	-14.775	-1685.621	0.32	0.951	17.354	0.582
1800	1.484	-1702.595	-13.435	-1689.16	0.32	0.934	22.672	0.631
1900	1.563	-1699.673	-15.175	-1684.498	0.32	0.934	15.891	0.574
2000	1.647	-1701.346	-15.526	-1685.82	0.32	0.914	15.06	0.526
2100	1.741	-1699.977	-14.819	-1685.158	0.32	0.943	17.135	0.583
2200	1.81	-1700.993	-15.047	-1685.946	0.32	0.926	16.436	0.556
2300	1.881	-1700.141	-13.309	-1686.832	0.32	0.935	23.263	0.64
2400	1.953	-1701.155	-14.399	-1686.756	0.32	0.917	18.688	0.574
2500	2.047	-1702.13	-14.378	-1687.752	0.32	0.914	18.561	0.6
2600	2.142	-1700.138	-14.352	-1685.786	0.32	0.94	18.79	0.601
2700	2.236	-1701.549	-13.125	-1688.424	0.32	0.912	23.909	0.671
2800	2.331	-1702.718	-13.471	-1689.247	0.32	0.9	22.287	0.635
2900	2.425	-1701.921	-14.14	-1687.781	0.32	0.893	19.543	0.589
3000	2.52	-1700.476	-13.068	-1687.408	0.32	0.925	24.354	0.658
3100	2.615	-1701.833	-16.753	-1685.08	0.32	0.948	11.855	0.51
3200	2.709	-1701.755	-14.675	-1687.079	0.32	0.952	17.907	0.561
3300	2.804	-1701.37	-14.348	-1687.022	0.32	0.918	18.987	0.564
3400	2.899	-1701.616	-16.405	-1685.212	0.32	0.925	12.794	0.496
3500	2.998	-1701.2	-16.459	-1684.741	0.32	0.941	12.621	0.506
3600	3.095	-1702.624	-14.283	-1688.342	0.32	0.959	19.616	0.556
3700	3.191	-1701.317	-15.963	-1685.354	0.32	0.936	13.948	0.51
3800	3.286	-1701.434	-12.952	-1688.482	0.32	0.909	24.8	0.676
3900	3.382	-1701.731	-15.338	-1686.393	0.32	0.952	15.763	0.536
4000	3.478	-1701.431	-15.986	-1685.445	0.32	0.922	13.573	0.539
4100	3.573	-1702.049	-16.216	-1685.832	0.32	0.917	13.272	0.498
4200	3.668	-1701.617	-13.974	-1687.643	0.32	0.945	20.584	0.582
4300	3.763	-1703.819	-17.655	-1686.164	0.32	0.959	10.33	0.455
4400	3.858	-1701.677	-15.895	-1685.782	0.32	0.924	14.127	0.508
4500	3.952	-1702.64	-17.718	-1684.921	0.32	0.912	9.934	0.466
4600	4.047	-1702.643	-14.995	-1687.648	0.32	0.903	16.787	0.53
4700	4.141	-1701.498	-16.796	-1684.701	0.32	0.945	11.886	0.493
4800	4.236	-1701.002	-16.1	-1684.902	0.32	0.933	13.44	0.521
4900	4.33	-1703.058	-12.959	-1690.099	0.32	0.955	25.174	0.665
5000	4.424	-1701.385	-14.349	-1687.035	0.32	0.923	19.036	0.561
5100	4.518	-1700.014	-13.45	-1686.565	0.32	0.923	22.475	0.64
5200	4.612	-1702.428	-14.829	-1687.599	0.32	0.895	17.248	0.541
5300	4.707	-1701.625	-13.979	-1687.646	0.32	0.923	20.511	0.573
5400	4.801	-1701.932	-14.443	-1687.489	0.32	0.907	18.645	0.555
5500	4.895	-1700.59	-15.248	-1685.342	0.32	0.951	15.776	0.569
5600	4.989	-1702.614	-14.91	-1687.704	0.32	0.938	17.307	0.524
5700	5.083	-1701.605	-17.64	-1683.965	0.32	0.923	10.012	0.479
5800	5.177	-1706.181	-13.142	-1693.039	0.32	0.936	24.32	0.616
5900	5.272	-1701.406	-13.699	-1687.707	0.32	0.93	21.593	0.601
6000	5.366	-1701.068	-16.518	-1684.55	0.32	0.929	12.422	0.505
6100	5.46	-1702.298	-18.236	-1684.062	0.32	0.944	8.932	0.475
6200	5.554	-1700.405	-13.961	-1686.443	0.32	0.906	20.101	0.626
6300	5.648	-1702.134	-17.945	-1684.189	0.32	0.924	9.512	0.465
6400	5.742	-1700.407	-13.837	-1686.57	0.32	0.906	20.629	0.63
6500	5.837	-1701.803	-15.306	-1686.497	0.32	0.91	15.762	0.526
6600	5.931	-1701.904	-14.277	-1687.627	0.32	0.944	19.217	0.589
6700	6.025	-1701.258	-14.707	-1686.551	0.32	0.91	17.483	0.571
6800	6.119	-1702.798	-14.855	-1687.942	0.32	0.876	16.775	0.579
6900	6.214	-1701.672	-14.335	-1687.338	0.32	0.963	19.1	0.594
7000	6.308	-1701.397	-15.151	-1686.246	0.32	0.94	16.151	0.555
7100	6.402	-1700.107	-13.862	-1686.245	0.32	0.914	20.58	0.625
7200	6.497	-1700.562	-14.324	-1686.238	0.32	0.93	18.783	0.61
7300	6.591	-1701.241	-17.072	-1684.169	0.32	0.931	11.166	0.493
7400	6.685	-1701.039	-13.974	-1687.065	0.32	0.932	20.168	0.627
7500	6.779	-1701.675	-16.765	-1684.91	0.32	0.916	11.883	0.491
7600	6.873	-1701.984	-14.403	-1687.581	0.32	0.954	19.04	0.558
7700	6.968	-1701.119	-15.758	-1685.361	0.32	0.925	14.429	0.52
7800	7.062	-1701.41	-14.337	-1687.072	0.32	0.938	19.028	0.576
7900	7.156	-1701.455	-16.359	-1685.096	0.32	0.905	12.642	0.521
8000	7.251	-1701.075	-14.609	-1686.466	0.32	0.92	17.958	0.564
8100	7.345	-1702.549	-14.954	-1687.594	0.32	0.877	16.488	0.57
8200	7.439	-1700.661	-15.09	-1685.57	0.32	0.945	16.201	0.579
8300	7.534	-1701.037	-14.875	-1686.162	0.32	0.923	16.992	0.562
8400	7.628	-1701.109	-15.062	-1686.047	0.32	0.938	16.503	0.549
8500	7.722	-1700.511	-14.693	-1685.818	0.32	0.938	17.488	0.595
8600	7.817	-1701.5	-13.35	-1688.15	0.32	0.932	22.945	0.656
8700	7.911	-1701.634	-14.765	-1686.869	0.32	0.946	17.508	0.563
8800	8.005	-1702.294	-13.924	-1688.37	0.32	0.954	20.864	0.585
8900	8.099	-1704.112	-17.95	-1686.162	0.32	0.97	9.772	0.455
9000	8.194	-1701.898	-15.13	-1686.768	0.32	0.945	16.211	0.561
9100	8.288	-1702.883	-13.904	-1688.98	0.32	0.89	20.326	0.621
9200	8.382	-1701.569	-15.798	-1685.772	0.32	0.94	14.181	0.541
9300	8.476	-1701.522	-15.297	-1686.225	0.32	0.944	15.923	0.528
9400	8.571	-1702.622	-13.959	-1688.664	0.32	0.95	20.542	0.601
9500	8.665	-1704.084	-19.875	-1684.209	0.32	0.906	6.572	0.433
9600	8.759	-1702.328	-17.223	-1685.105	0.32	0.903	10.845	0.482
9700	8.853	-1700.255	-14.984	-1685.272	0.32	0.941	16.537	0.582
9800	8.948	-1701.565	-13.335	-1688.229	0.32	0.938	23.071	0.653
9900	9.042	-1702.161	-14.97	-1687.192	0.32	0.918	16.48	0.581
10000	9.136	-1699.819	-14.84	-1684.979	0.32	0.92	16.899	0.589
10100	9.23	-1701.149	-15.738	-1685.412	0.32	0.938	14.405	0.535
10200	9.325	-1701.367	-14.584	-1686.783	0.32	0.939	18.222	0.557
10300	9.419	-1701.095	-14.684	-1686.411	0.32	0.92	17.732	0.558
10400	9.513	-1702.034	-12.97	-1689.064	0.32	0.913	24.697	0.682
10500	9.607	-1700.761	-13.003	-1687.758	0.32	0.927	24.706	0.661
10600	9.701	-1708.046	-12.857	-1695.189	0.32	0.878	25.508	0.625
10700	9.795	-1702.795	-15.434	-1687.361	0.32	0.936	15.639	0.507
10800	9.89	-1701.983	-15.95	-1686.033	0.32	0.933	14.06	0.501
10900	9.984	-1701.919	-15.166	-1686.752	0.32	0.955	16.338	0.539
11000	10.078	-1701.362	-16.896	-1684.465	0.32	0.925	11.583	0.491
11100	10.173	-1700.488	-13.373	-1687.115	0.32	0.939	22.961	0.641
11200	10.267	-1701.056	-13.384	-1687.672	0.32	0.932	22.805	0.65
11300	10.361	-1704.181	-13.867	-1690.314	0.32	0.969	21.426	0.573
11400	10.455	-1704.639	-13.729	-1690.91	0.32	0.965	21.51	0.637
11500	10.55	-1702.113	-14.521	-1687.592	0.32	0.887	18.024	0.583
11600	10.644	-1702.568	-15.882	-1686.686	0.32	0.877	13.758	0.539
11700	10.739	-1702.307	-15.379	-1686.928	0.32	0.88	15.215	0.551
11800	10.836	-1699.696	-14.036	-1685.66	0.32	0.929	19.975	0.612
11900	10.931	-1700.489	-13.874	-1686.615	0.32	0.946	20.769	0.618
12000	11.025	-1702.313	-18.796	-1683.516	0.32	0.936	8.064	0.457
12100	11.12	-1702.461	-16.049	-1686.413	0.32	0.879	13.335	0.533
12200	11.215	-1703.038	-16.45	-1686.589	0.32	0.875	12.445	0.508
12300	11.309	-1701.138	-13.061	-1688.077	0.32	0.932	24.421	0.662
12400	11.404	-1700.168	-13.162	-1687.006	0.32	0.926	23.907	0.65
12500	11.499	-1701.206	-14.818	-1686.388	0.32	0.911	17.102	0.568
12600	11.594	-1700.708	-14.408	-1686.3	0.32	0.956	18.733	0.594
12700	11.688	-1701.196	-16.693	-1684.503	0.32	0.925	12.017	0.499
12800	11.783	-1701.819	-17.588	-1684.231	0.32	0.933	10.208	0.472
12900	11.877	-1702.099	-13.686	-1688.413	0.32	0.92	21.437	0.623
13000	11.971	-1701.016	-15.262	-1685.754	0.32	0.919	15.807	0.541
13100	12.066	-1701.29	-15.791	-1685.499	0.32	0.907	14.102	0.539
13200	12.161	-1701.568	-16.076	-1685.492	0.32	0.9	13.417	0.519
13300	12.255	-1701.771	-14.721	-1687.05	0.32	0.923	17.398	0.582
13400	12.349	-1701.561	-13.975	-1687.587	0.32	0.908	20.345	0.586
13500	12.444	-1700.98	-13.314	-1687.666	0.32	0.95	23.392	0.636
13600	12.538	-1700.654	-12.953	-1687.701	0.32	0.934	25.04	0.659
13700	12.632	-1701.356	-14.271	-1687.085	0.32	0.935	19.272	0.578
13800	12.726	-1701.53	-14.789	-1686.741	0.32	0.905	17.331	0.551
13900	12.821	-1702.217	-16.653	-1685.564	0.32	0.948	12.343	0.485
14000	12.915	-1701.628	-14.276	-1687.353	0.32	0.916	19.299	0.562
14100	13.009	-1701.61	-14.269	-1687.341	0.32	0.912	19.054	0.592
14200	13.103	-1702.557	-15.469	-1687.089	0.32	0.876	14.916	0.551
14300	13.198	-1699.828	-15.472	-1684.356	0.32	0.935	14.981	0.565
14400	13.292	-1701.647	-13.673	-1687.974	0.32	0.94	21.876	0.59
14500	13.387	-1700.378	-13.103	-1687.275	0.32	0.935	24.285	0.65
14600	13.481	-1700.603	-14.516	-1686.087	0.32	0.957	18.353	0.588
14700	13.576	-1700.17	-14.578	-1685.592	0.32	0.928	17.845	0.599
14800	13.67	-1701.742	-13.507	-1688.234	0.32	0.931	22.418	0.615
14900	13.764	-1700.426	-15.096	-1685.33	0.32	0.936	16.121	0.581
15000	13.859	-1701.569	-15.549	-1686.02	0.32	0.909	14.989	0.523
15100	13.951	-1704.872	-16.927	-1687.944	0.32	0.961	11.407	0.522
15200	14.018	-1701.246	-15.339	-1685.907	0.32	0.914	15.604	0.532
15300	14.107	-1701.828	-17.686	-1684.142	0.32	0.932	9.85	0.49
15400	14.201	-1701.553	-15.561	-1685.992	0.32	0.908	14.943	0.524
15500	14.296	-1703.545	-13.531	-1690.014	0.32	0.963	22.81	0.589
15600	14.39	-1702.544	-12.787	-1689.757	0.32	0.937	25.882	0.685
15700	14.484	-1701.13	-13.06	-1688.07	0.32	0.905	24.227	0.668
15800	14.578	-1701.366	-14.294	-1687.072	0.32	0.908	19.048	0.578
15900	14.672	-1701.123	-16.395	-1684.728	0.32	0.919	12.607	0.518
16000	14.766	-1701.87	-13.379	-1688.491	0.32	0.937	23.132	0.61
16100	14.859	-1702.943	-14.747	-1688.195	0.32	0.926	17.827	0.527
16200	14.953	-1701.625	-13.726	-1687.898	0.32	0.913	21.344	0.604
16300	15.047	-1702.249	-14.998	-1687.251	0.32	0.932	16.475	0.577
16400	15.141	-1700.722	-14.714	-1686.009	0.32	0.947	17.49	0.591
16500	15.235	-1700.124	-13.913	-1686.212	0.32	0.931	20.464	0.622
16600	15.329	-1700.364	-13.624	-1686.74	0.32	0.948	21.914	0.623
16700	15.423	-1701.917	-15.245	-1686.672	0.32	0.942	16.154	0.522
16800	15.517	-1703.472	-19.179	-1684.293	0.32	0.95	7.663	0.434
16900	15.611	-1700.736	-14.467	-1686.269	0.32	0.933	18.248	0.607
17000	15.705	-1703.455	-19.578	-1683.877	0.32	0.954	7.01	0.442
17100	15.8	-1701.965	-14.492	-1687.473	0.32	0.914	18.149	0.594
17200	15.894	-1701.847	-15.272	-1686.575	0.32	0.956	15.692	0.574
17300	15.988	-1702.073	-14.463	-1687.61	0.32	0.89	18.409	0.565
17400	16.082	-1701.934	-14.113	-1687.821	0.32	0.931	19.733	0.601
17500	16.177	-1701.682	-13.62	-1688.062	0.32	0.916	21.836	0.607
17600	16.272	-1701.938	-15.748	-1686.19	0.32	0.888	14.202	0.536
17700	16.367	-1701.419	-14.188	-1687.231	0.32	0.957	19.578	0.605
17800	16.461	-1699.82	-14.28	-1685.54	0.32	0.921	18.936	0.607
17900	16.555	-1701.774	-15.572	-1686.202	0.32	0.909	14.64	0.556
18000	16.649	-1702.465	-17.056	-1685.41	0.32	0.889	11.098	0.494
18100	16.741	-1700.57	-13.108	-1687.461	0.32	0.912	24.053	0.659
18200	16.827	-1701.374	-16.88	-1684.495	0.32	0.932	11.504	0.508
18300	16.91	-1700.798	-14.083	-1686.715	0.32	0.93	19.72	0.622
18400	16.99	-1701.585	-15.184	-1686.402	0.32	0.9	16.006	0.541
18500	17.07	-1703.291	-17.308	-1685.983	0.32	0.968	10.918	0.479
18600	17.154	-1702.325	-17.489	-1684.836	0.32	0.914	10.373	0.472
18700	17.241	-1700.23	-13.898	-1686.332	0.32	0.919	20.442	0.625
18800	17.32	-1702.305	-14.193	-1688.113	0.32	0.887	19.394	0.578
18900	17.406	-1703.6	-15.372	-1688.228	0.32	0.921	15.804	0.505
19000	17.515	-1700.83	-13.834	-1686.996	0.32	0.943	20.875	0.625
19100	17.613	-1701.136	-16.77	-1684.366	0.32	0.924	11.764	0.505
19200	17.71	-1700.12	-13.502	-1686.619	0.32	0.929	22.276	0.637
19300	17.827	-1701.103	-13.091	-1688.012	0.32	0.902	24.057	0.667
19400	17.947	-1700.399	-13.437	-1686.962	0.32	0.923	22.513	0.644
19500	18.069	-1702.418	-14.186	-1688.232	0.32	0.888	19.235	0.602
19600	18.187	-1701.436	-17.036	-1684.4	0.32	0.918	11.232	0.491
19700	18.287	-1701.137	-16.038	-1685.099	0.32	0.93	13.684	0.512
19800	18.381	-1702.538	-17.491	-1685.048	0.32	0.959	10.4	0.485
19900	18.475	-1701.357	-16.021	-1685.336	0.32	0.931	13.534	0.535
20000	18.569	-1699.905	-14.58	-1685.325	0.32	0.94	17.958	0.591
20100	18.664	-1699.796	-13.692	-1686.104	0.32	0.923	21.376	0.629
20200	18.76	-1701.091	-15.45	-1685.642	0.32	0.927	15.156	0.548
20300	18.852	-1701.85	-14.125	-1687.725	0.32	0.948	20.105	0.566
20400	18.941	-1701.313	-15.441	-1685.872	0.32	0.905	15.094	0.549
20500	19.03	-1701.338	-16.57	-1684.769	0.32	0.943	12.394	0.5
20600	19.116	-1701.806	-17.359	-1684.448	0.32	0.942	10.7	0.476
20700	19.201	-1701.358	-15.507	-1685.851	0.32	0.923	15.176	0.523
20800	19.286	-1701.971	-16.159	-1685.812	0.32	0.895	13.229	0.513
20900	19.371	-1702.69	-18.487	-1684.204	0.32	0.913	8.559	0.455
21000	19.456	-1701.174	-13.12	-1688.054	0.32	0.901	23.897	0.667
21100	19.543	-1701.106	-15.381	-1685.725	0.32	0.938	15.471	0.543
21200	19.629	-1700.092	-13.687	-1686.405	0.32	0.935	21.486	0.628
21300	19.705	-1701.594	-14.116	-1687.478	0.32	0.929	19.995	0.567
21400	19.774	-1702.14	-14.59	-1687.55	0.32	0.895	18.026	0.554
21500	19.843	-1701.164	-14.923	-1686.241	0.32	0.932	17.014	0.544
21600	19.909	-1701.978	-14.449	-1687.529	0.32	0.892	18.459	0.567
21700	19.972	-1701.369	-16.38	-1684.989	0.32	0.927	12.61	0.525
21800	20.035	-1701.843	-16.423	-1685.42	0.32	0.911	12.689	0.498
21900	20.106	-1701.935	-14.975	-1686.961	0.32	0.954	16.963	0.544
22000	20.183	-1702.034	-17.745	-1684.289	0.32	0.905	9.729	0.482
22100	20.26	-1703.213	-15.325	-1687.887	0.32	0.867	15.438	0.542
22200	20.339	-1701.342	-14.12	-1687.222	0.32	0.956	19.837	0.608
22300	20.43	-1701.438	-14.106	-1687.332	0.32	0.924	19.801	0.591
22400	20.522	-1701.249	-14.922	-1686.327	0.32	0.919	16.962	0.544
22500	20.614	-1703.171	-19.643	-1683.528	0.32	0.927	6.827	0.446
22600	20.707	-1702.125	-14.446	-1687.679	0.32	0.895	18.55	0.559
22700	20.799	-1699.755	-14.93	-1684.824	0.32	0.937	16.71	0.581
22800	20.892	-1700.344	-13.528	-1686.816	0.32	0.921	22.08	0.64
22900	20.984	-1702.925	-15.206	-1687.718	0.32	0.959	16.433	0.519
23000	21.075	-1701.615	-17.569	-1684.045	0.32	0.918	10.066	0.489
23100	21.167	-1701.404	-14.356	-1687.048	0.32	0.916	18.961	0.563
