iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1921.074	-11.12	-1909.954	0.32	0.386	40.637	0.481
100	0.083	-1726.627	-12.442	-1714.185	0.32	0.733	27.347	0.66
200	0.165	-1702.006	-15.398	-1686.609	0.32	0.964	15.418	0.563
300	0.247	-1701.611	-14.66	-1686.951	0.32	0.898	17.697	0.562
400	0.328	-1701.125	-15.614	-1685.511	0.32	0.948	14.614	0.564
500	0.409	-1699.994	-15.277	-1684.717	0.32	0.94	15.601	0.571
600	0.489	-1701.226	-16.447	-1684.779	0.32	0.916	12.449	0.519
700	0.57	-1701.84	-16.127	-1685.713	0.32	0.951	13.61	0.504
800	0.651	-1702.687	-13.207	-1689.48	0.32	0.938	23.85	0.635
900	0.731	-1701.228	-13.456	-1687.772	0.32	0.939	22.52	0.645
1000	0.812	-1701.395	-15.148	-1686.247	0.32	0.911	15.967	0.564
1100	0.892	-1701.964	-14.39	-1687.574	0.32	0.899	18.498	0.593
1200	0.972	-1702.109	-16.178	-1685.931	0.32	0.91	13.333	0.5
1300	1.053	-1701.734	-16.884	-1684.85	0.32	0.941	11.51	0.51
1400	1.137	-1704.235	-15.606	-1688.629	0.32	0.875	14.821	0.513
1500	1.217	-1704.022	-15.952	-1688.07	0.32	0.974	14.222	0.511
1600	1.295	-1700.777	-15.11	-1685.666	0.32	0.957	16.283	0.57
1700	1.372	-1700.982	-16.033	-1684.949	0.32	0.931	13.596	0.524
1800	1.444	-1701.26	-13.784	-1687.476	0.32	0.926	21.228	0.594
1900	1.51	-1701.833	-15.097	-1686.735	0.32	0.89	16.097	0.561
2000	1.574	-1700.923	-15.408	-1685.515	0.32	0.928	15.365	0.54
2100	1.637	-1701.872	-16.559	-1685.313	0.32	0.895	12.201	0.508
2200	1.705	-1701.517	-15.9	-1685.616	0.32	0.949	14.144	0.516
2300	1.787	-1701.181	-15.665	-1685.515	0.32	0.926	14.711	0.52
2400	1.869	-1701.254	-16.941	-1684.313	0.32	0.921	11.418	0.496
2500	1.95	-1702.208	-15.422	-1686.786	0.32	0.902	15.395	0.522
2600	2.032	-1700.03	-15.539	-1684.491	0.32	0.936	14.782	0.564
2700	2.113	-1702.328	-17.568	-1684.76	0.32	0.946	10.35	0.466
2800	2.194	-1701.746	-15.965	-1685.781	0.32	0.898	13.744	0.518
2900	2.276	-1702.111	-13.747	-1688.364	0.32	0.917	21.179	0.617
3000	2.362	-1701.936	-14.213	-1687.723	0.32	0.897	19.202	0.595
3100	2.445	-1702.199	-14.08	-1688.119	0.32	0.954	20.241	0.577
3200	2.528	-1702.562	-16.973	-1685.589	0.32	0.891	11.326	0.491
3300	2.611	-1701.224	-16.192	-1685.032	0.32	0.914	13.173	0.514
3400	2.695	-1702.117	-18.234	-1683.883	0.32	0.915	8.912	0.469
3500	2.778	-1702.246	-18.629	-1683.617	0.32	0.939	8.321	0.461
3600	2.861	-1701.204	-15.086	-1686.118	0.32	0.93	16.281	0.56
3700	2.943	-1702.186	-16.571	-1685.615	0.32	0.927	12.458	0.486
3800	3.025	-1702.171	-14.356	-1687.815	0.32	0.956	19.193	0.565
3900	3.106	-1699.915	-14.611	-1685.304	0.32	0.944	17.891	0.588
4000	3.188	-1700.941	-15.311	-1685.63	0.32	0.919	15.607	0.544
4100	3.272	-1701.283	-15.872	-1685.411	0.32	0.935	14.189	0.513
4200	3.356	-1699.839	-14.632	-1685.207	0.32	0.931	17.688	0.594
4300	3.437	-1701.553	-14.528	-1687.025	0.32	0.947	18.126	0.603
4400	3.519	-1701.377	-17.201	-1684.177	0.32	0.92	10.856	0.491
4500	3.6	-1701.824	-17.48	-1684.344	0.32	0.919	10.192	0.497
4600	3.682	-1701.017	-15.44	-1685.577	0.32	0.925	15.189	0.546
4700	3.763	-1702.259	-15.576	-1686.682	0.32	0.959	15.112	0.527
4800	3.845	-1701.193	-16.346	-1684.847	0.32	0.939	12.823	0.516
4900	3.927	-1701.062	-14.871	-1686.191	0.32	0.915	17.001	0.558
5000	4.007	-1701.748	-15.128	-1686.62	0.32	0.938	16.48	0.527
5100	4.088	-1702.049	-16.116	-1685.933	0.32	0.895	13.138	0.538
5200	4.168	-1699.797	-14.797	-1685.0	0.32	0.92	17.047	0.59
5300	4.249	-1702.697	-14.036	-1688.661	0.32	0.878	19.922	0.591
5400	4.329	-1701.631	-13.813	-1687.818	0.32	0.916	20.959	0.605
5500	4.41	-1703.363	-15.067	-1688.296	0.32	0.87	16.313	0.543
5600	4.49	-1700.985	-16.132	-1684.853	0.32	0.923	13.308	0.522
5700	4.571	-1702.43	-18.884	-1683.547	0.32	0.927	7.882	0.459
5800	4.651	-1701.314	-15.972	-1685.342	0.32	0.908	13.609	0.534
5900	4.732	-1704.009	-16.971	-1687.038	0.32	0.866	11.256	0.494
6000	4.814	-1702.484	-15.5	-1686.984	0.32	0.893	15.116	0.522
6100	4.896	-1699.96	-13.455	-1686.505	0.32	0.93	22.516	0.636
6200	4.979	-1700.861	-13.138	-1687.723	0.32	0.91	23.873	0.662
6300	5.06	-1702.969	-13.058	-1689.911	0.32	0.921	24.403	0.655
6400	5.142	-1700.88	-13.387	-1687.493	0.32	0.907	22.636	0.651
6500	5.223	-1703.705	-15.435	-1688.27	0.32	0.972	15.755	0.521
6600	5.301	-1701.087	-15.311	-1685.776	0.32	0.938	15.744	0.538
6700	5.38	-1703.016	-15.005	-1688.011	0.32	0.963	17.118	0.526
6800	5.461	-1702.391	-12.958	-1689.433	0.32	0.946	25.071	0.669
6900	5.537	-1700.391	-13.408	-1686.983	0.32	0.912	22.584	0.647
7000	5.609	-1701.689	-14.65	-1687.039	0.32	0.946	17.91	0.567
7100	5.68	-1703.47	-15.413	-1688.057	0.32	0.863	15.155	0.54
7200	5.749	-1701.417	-16.737	-1684.68	0.32	0.927	11.779	0.515
7300	5.819	-1701.085	-14.597	-1686.488	0.32	0.943	17.851	0.599
7400	5.893	-1701.056	-14.664	-1686.392	0.32	0.958	17.801	0.586
7500	5.961	-1701.223	-14.106	-1687.117	0.32	0.936	20.003	0.575
7600	6.03	-1701.383	-13.191	-1688.191	0.32	0.944	23.885	0.652
7700	6.095	-1701.352	-15.788	-1685.565	0.32	0.939	14.446	0.514
7800	6.165	-1701.218	-16.665	-1684.554	0.32	0.915	11.979	0.508
7900	6.231	-1699.936	-14.26	-1685.676	0.32	0.935	19.111	0.605
8000	6.31	-1702.118	-14.653	-1687.465	0.32	0.913	17.553	0.59
8100	6.381	-1701.737	-14.247	-1687.491	0.32	0.897	19.129	0.586
8200	6.454	-1701.002	-15.943	-1685.059	0.32	0.929	13.903	0.518
8300	6.529	-1701.547	-15.896	-1685.651	0.32	0.94	14.183	0.509
8400	6.606	-1700.778	-13.624	-1687.154	0.32	0.933	21.708	0.638
8500	6.679	-1709.795	-14.838	-1694.957	0.32	0.931	17.75	0.507
8600	6.752	-1701.407	-15.561	-1685.845	0.32	0.909	14.714	0.551
8700	6.825	-1701.742	-15.542	-1686.2	0.32	0.952	15.076	0.537
8800	6.898	-1701.524	-13.948	-1687.575	0.32	0.942	20.702	0.58
8900	6.965	-1701.279	-13.526	-1687.753	0.32	0.955	22.431	0.627
9000	7.041	-1701.669	-13.49	-1688.179	0.32	0.934	22.286	0.651
9100	7.116	-1701.102	-14.088	-1687.015	0.32	0.951	19.891	0.613
9200	7.187	-1702.614	-18.484	-1684.129	0.32	0.93	8.441	0.476
9300	7.262	-1703.991	-17.724	-1686.266	0.32	0.874	9.773	0.476
9400	7.334	-1701.794	-14.26	-1687.534	0.32	0.896	19.055	0.589
9500	7.401	-1701.598	-15.563	-1686.035	0.32	0.906	14.678	0.553
9600	7.478	-1701.681	-15.384	-1686.296	0.32	0.895	15.213	0.553
9700	7.559	-1701.848	-15.705	-1686.143	0.32	0.947	14.506	0.541
9800	7.629	-1701.191	-15.061	-1686.131	0.32	0.909	16.394	0.548
9900	7.697	-1700.35	-15.21	-1685.14	0.32	0.937	15.769	0.577
10000	7.765	-1701.275	-13.861	-1687.414	0.32	0.926	20.845	0.597
10100	7.83	-1701.356	-15.591	-1685.766	0.32	0.918	14.654	0.55
10200	7.896	-1702.284	-15.849	-1686.435	0.32	0.949	14.431	0.503
10300	7.958	-1701.644	-14.958	-1686.686	0.32	0.903	16.78	0.544
10400	8.025	-1700.03	-13.737	-1686.293	0.32	0.934	21.26	0.626
10500	8.089	-1701.124	-13.193	-1687.932	0.32	0.942	23.863	0.651
10600	8.156	-1701.56	-13.798	-1687.761	0.32	0.911	21.073	0.596
10700	8.219	-1701.119	-14.656	-1686.463	0.32	0.914	17.74	0.565
10800	8.282	-1701.011	-15.513	-1685.498	0.32	0.935	15.125	0.532
10900	8.345	-1701.158	-14.868	-1686.29	0.32	0.921	17.131	0.548
11000	8.408	-1702.001	-15.149	-1686.852	0.32	0.926	16.394	0.523
11100	8.471	-1701.298	-14.532	-1686.767	0.32	0.937	18.338	0.565
11200	8.54	-1701.433	-13.944	-1687.489	0.32	0.916	20.453	0.593
11300	8.612	-1704.259	-15.837	-1688.422	0.32	0.965	14.698	0.492
11400	8.677	-1701.94	-13.677	-1688.263	0.32	0.905	21.47	0.613
11500	8.755	-1699.752	-13.932	-1685.82	0.32	0.929	20.386	0.619
11600	8.823	-1700.866	-14.81	-1686.056	0.32	0.947	17.15	0.588
11700	8.893	-1701.233	-12.958	-1688.275	0.32	0.93	24.939	0.668
11800	8.969	-1701.206	-13.781	-1687.425	0.32	0.956	21.286	0.618
11900	9.048	-1702.636	-12.884	-1689.752	0.32	0.947	25.473	0.673
12000	9.124	-1701.406	-13.744	-1687.662	0.32	0.931	21.482	0.59
12100	9.199	-1701.155	-13.031	-1688.124	0.32	0.898	24.352	0.669
12200	9.281	-1701.491	-12.95	-1688.541	0.32	0.931	24.981	0.67
12300	9.362	-1701.806	-15.669	-1686.137	0.32	0.953	14.838	0.52
12400	9.443	-1700.945	-14.603	-1686.343	0.32	0.95	17.92	0.593
12500	9.52	-1700.081	-13.999	-1686.081	0.32	0.948	20.299	0.607
12600	9.601	-1703.488	-15.33	-1688.158	0.32	0.964	16.105	0.514
12700	9.681	-1701.115	-14.674	-1686.44	0.32	0.919	17.759	0.558
12800	9.759	-1701.468	-14.556	-1686.912	0.32	0.91	17.986	0.581
12900	9.838	-1702.305	-14.886	-1687.419	0.32	0.922	17.264	0.529
13000	9.916	-1701.205	-14.972	-1686.234	0.32	0.917	16.588	0.566
13100	9.997	-1701.039	-16.269	-1684.77	0.32	0.921	12.938	0.519
13200	10.08	-1700.693	-13.376	-1687.317	0.32	0.922	22.777	0.65
13300	10.159	-1701.93	-13.788	-1688.143	0.32	0.941	21.0	0.638
13400	10.242	-1702.819	-17.003	-1685.816	0.32	0.879	11.126	0.503
13500	10.327	-1703.337	-15.796	-1687.542	0.32	0.944	14.663	0.494
13600	10.413	-1701.277	-15.493	-1685.784	0.32	0.945	15.219	0.534
13700	10.498	-1702.486	-13.85	-1688.636	0.32	0.946	20.944	0.608
13800	10.582	-1701.852	-16.067	-1685.786	0.32	0.896	13.468	0.516
13900	10.667	-1701.789	-16.571	-1685.218	0.32	0.897	12.097	0.517
14000	10.754	-1700.93	-13.024	-1687.906	0.32	0.909	24.453	0.666
14100	10.841	-1701.537	-14.847	-1686.69	0.32	0.945	17.374	0.544
14200	10.926	-1700.52	-15.79	-1684.73	0.32	0.951	14.173	0.552
14300	11.012	-1705.284	-15.545	-1689.74	0.32	0.842	14.75	0.535
14400	11.1	-1699.748	-14.63	-1685.118	0.32	0.917	17.62	0.596
14500	11.192	-1702.836	-15.946	-1686.89	0.32	0.92	14.078	0.497
14600	11.282	-1701.801	-17.317	-1684.485	0.32	0.917	10.682	0.48
14700	11.374	-1701.207	-14.262	-1686.946	0.32	0.922	19.246	0.577
14800	11.464	-1701.202	-15.698	-1685.504	0.32	0.915	14.546	0.523
14900	11.553	-1703.495	-15.179	-1688.315	0.32	0.932	16.469	0.51
15000	11.641	-1700.902	-13.796	-1687.107	0.32	0.954	21.204	0.617
15100	11.729	-1701.645	-15.127	-1686.517	0.32	0.895	16.033	0.558
15200	11.818	-1701.826	-14.566	-1687.26	0.32	0.892	17.978	0.569
15300	11.908	-1701.107	-16.498	-1684.61	0.32	0.922	12.376	0.514
15400	11.994	-1700.91	-13.825	-1687.085	0.32	0.927	20.758	0.635
15500	12.077	-1701.641	-12.94	-1688.701	0.32	0.941	25.13	0.666
15600	12.16	-1701.478	-15.794	-1685.684	0.32	0.949	14.383	0.525
15700	12.244	-1701.538	-15.596	-1685.942	0.32	0.897	14.701	0.535
15800	12.328	-1699.9	-15.306	-1684.593	0.32	0.93	15.446	0.572
15900	12.413	-1699.524	-14.438	-1685.086	0.32	0.927	18.389	0.598
16000	12.496	-1702.194	-14.081	-1688.113	0.32	0.92	19.753	0.609
16100	12.58	-1701.429	-14.237	-1687.192	0.32	0.911	19.209	0.589
16200	12.665	-1699.89	-14.352	-1685.538	0.32	0.937	18.769	0.601
16300	12.744	-1699.862	-14.541	-1685.32	0.32	0.918	17.936	0.6
16400	12.824	-1702.22	-14.173	-1688.048	0.32	0.89	19.319	0.599
16500	12.906	-1702.258	-17.045	-1685.213	0.32	0.892	11.116	0.495
16600	12.992	-1701.768	-17.044	-1684.724	0.32	0.902	11.127	0.497
16700	13.074	-1701.683	-16.967	-1684.717	0.32	0.931	11.504	0.484
16800	13.155	-1702.734	-16.803	-1685.931	0.32	0.919	11.913	0.479
16900	13.234	-1701.578	-13.997	-1687.581	0.32	0.943	20.433	0.586
17000	13.317	-1701.435	-15.194	-1686.241	0.32	0.914	16.085	0.533
17100	13.39	-1702.351	-15.544	-1686.807	0.32	0.948	14.921	0.552
17200	13.461	-1701.71	-16.84	-1684.87	0.32	0.902	11.58	0.501
17300	13.54	-1702.384	-16.093	-1686.291	0.32	0.957	13.541	0.525
17400	13.621	-1702.093	-16.256	-1685.838	0.32	0.946	13.312	0.494
17500	13.704	-1701.76	-17.872	-1683.888	0.32	0.922	9.57	0.475
17600	13.786	-1701.205	-15.004	-1686.202	0.32	0.935	16.608	0.559
17700	13.865	-1701.52	-16.775	-1684.746	0.32	0.922	11.873	0.491
17800	13.95	-1702.841	-14.205	-1688.636	0.32	0.877	19.138	0.599
17900	14.035	-1702.721	-15.439	-1687.282	0.32	0.895	15.339	0.52
18000	14.119	-1701.277	-13.136	-1688.142	0.32	0.908	23.846	0.668
18100	14.201	-1701.951	-16.952	-1684.999	0.32	0.9	11.221	0.511
18200	14.284	-1701.254	-16.511	-1684.743	0.32	0.912	12.324	0.513
18300	14.37	-1702.667	-17.925	-1684.742	0.32	0.943	9.681	0.457
18400	14.456	-1701.494	-16.145	-1685.349	0.32	0.932	13.471	0.503
18500	14.54	-1702.296	-16.148	-1686.147	0.32	0.935	13.145	0.541
18600	14.625	-1700.063	-13.979	-1686.084	0.32	0.917	20.107	0.621
18700	14.705	-1700.418	-13.528	-1686.89	0.32	0.948	22.364	0.626
18800	14.779	-1700.357	-14.178	-1686.18	0.32	0.917	19.282	0.617
18900	14.858	-1700.991	-16.113	-1684.878	0.32	0.933	13.444	0.516
19000	14.935	-1701.208	-15.642	-1685.566	0.32	0.936	14.638	0.541
19100	15.008	-1702.092	-15.166	-1686.926	0.32	0.917	16.286	0.524
19200	15.076	-1702.984	-13.898	-1689.086	0.32	0.9	20.365	0.624
19300	15.145	-1701.559	-16.383	-1685.176	0.32	0.924	12.569	0.528
19400	15.217	-1702.724	-15.339	-1687.384	0.32	0.95	15.981	0.513
19500	15.285	-1701.152	-16.338	-1684.814	0.32	0.922	12.853	0.508
19600	15.354	-1702.53	-16.976	-1685.554	0.32	0.885	11.231	0.499
19700	15.42	-1701.607	-15.78	-1685.826	0.32	0.938	14.213	0.543
19800	15.492	-1700.812	-13.647	-1687.165	0.32	0.912	21.46	0.641
19900	15.57	-1701.432	-15.482	-1685.95	0.32	0.902	15.08	0.534
20000	15.653	-1700.003	-13.5	-1686.503	0.32	0.924	22.25	0.638
20100	15.736	-1701.523	-14.298	-1687.225	0.32	0.911	18.94	0.59
20200	15.816	-1701.573	-16.629	-1684.945	0.32	0.923	11.989	0.521
20300	15.903	-1701.522	-15.438	-1686.084	0.32	0.897	15.16	0.54
20400	15.99	-1702.233	-15.955	-1686.278	0.32	0.891	13.773	0.516
20500	16.075	-1702.29	-16.211	-1686.078	0.32	0.891	13.11	0.509
20600	16.157	-1700.734	-15.006	-1685.728	0.32	0.945	16.482	0.582
20700	16.24	-1701.649	-15.503	-1686.145	0.32	0.893	14.911	0.543
20800	16.322	-1701.455	-15.936	-1685.519	0.32	0.923	13.709	0.541
20900	16.411	-1701.404	-13.862	-1687.542	0.32	0.935	20.92	0.595
21000	16.492	-1701.022	-14.816	-1686.206	0.32	0.919	17.208	0.56
21100	16.579	-1702.482	-14.608	-1687.875	0.32	0.919	17.714	0.595
21200	16.668	-1701.324	-14.711	-1686.612	0.32	0.937	17.773	0.551
21300	16.752	-1703.844	-18.438	-1685.406	0.32	0.944	8.853	0.44
21400	16.833	-1700.33	-13.477	-1686.852	0.32	0.939	22.477	0.635
21500	16.917	-1701.831	-14.269	-1687.562	0.32	0.896	19.009	0.589
21600	17.0	-1701.195	-14.622	-1686.573	0.32	0.923	17.836	0.574
21700	17.081	-1701.762	-13.744	-1688.017	0.32	0.943	21.514	0.595
21800	17.155	-1700.501	-12.977	-1687.524	0.32	0.93	24.89	0.658
21900	17.235	-1702.604	-12.694	-1689.91	0.32	0.946	26.531	0.681
22000	17.311	-1701.565	-13.983	-1687.582	0.32	0.91	20.328	0.584
22100	17.383	-1702.238	-16.209	-1686.029	0.32	0.912	13.268	0.499
22200	17.449	-1701.188	-15.991	-1685.198	0.32	0.92	13.77	0.514
22300	17.515	-1700.478	-14.275	-1686.203	0.32	0.949	19.156	0.603
22400	17.581	-1701.389	-16.821	-1684.568	0.32	0.94	11.694	0.505
22500	17.647	-1701.802	-13.958	-1687.844	0.32	0.899	20.307	0.594
22600	17.712	-1701.466	-14.962	-1686.503	0.32	0.904	16.73	0.547
22700	17.78	-1704.08	-15.886	-1688.194	0.32	0.943	14.462	0.487
22800	17.854	-1701.543	-14.561	-1686.981	0.32	0.911	17.946	0.584
22900	17.936	-1701.653	-12.964	-1688.688	0.32	0.953	25.204	0.652
23000	18.02	-1703.319	-12.633	-1690.686	0.32	0.949	26.898	0.687
23100	18.104	-1702.014	-17.417	-1684.597	0.32	0.923	10.298	0.502
23200	18.187	-1702.334	-16.096	-1686.238	0.32	0.957	13.761	0.501
23300	18.271	-1703.543	-18.908	-1684.635	0.32	0.893	7.813	0.456
23400	18.35	-1702.008	-18.162	-1683.846	0.32	0.916	9.027	0.471
23500	18.426	-1702.2	-14.781	-1687.419	0.32	0.9	17.061	0.586
23600	18.51	-1699.721	-14.341	-1685.38	0.32	0.936	18.827	0.599
23700	18.596	-1701.857	-14.054	-1687.803	0.32	0.942	20.103	0.595
23800	18.68	-1701.259	-14.547	-1686.712	0.32	0.937	18.317	0.561
23900	18.76	-1701.545	-14.083	-1687.462	0.32	0.944	20.187	0.572
24000	18.847	-1701.01	-16.085	-1684.925	0.32	0.933	13.528	0.516
24100	18.929	-1700.012	-14.489	-1685.522	0.32	0.924	18.147	0.602
24200	19.014	-1701.207	-14.363	-1686.844	0.32	0.927	18.859	0.577
24300	19.094	-1701.061	-15.045	-1686.015	0.32	0.927	16.57	0.543
24400	19.173	-1699.808	-14.283	-1685.525	0.32	0.916	18.9	0.608
24500	19.256	-1700.464	-14.709	-1685.755	0.32	0.946	17.518	0.589
24600	19.341	-1701.924	-17.05	-1684.875	0.32	0.946	11.181	0.504
24700	19.425	-1700.001	-14.656	-1685.345	0.32	0.923	17.54	0.596
24800	19.508	-1702.449	-13.525	-1688.924	0.32	0.911	22.107	0.63
24900	19.59	-1700.42	-13.043	-1687.378	0.32	0.925	24.494	0.658
25000	19.671	-1704.768	-12.888	-1691.88	0.32	0.962	25.625	0.674
25100	19.752	-1700.396	-13.636	-1686.759	0.32	0.943	21.786	0.627
25200	19.835	-1701.376	-16.088	-1685.288	0.32	0.907	13.293	0.532
25300	19.911	-1700.386	-14.306	-1686.08	0.32	0.922	18.803	0.612
25400	19.984	-1699.579	-14.538	-1685.041	0.32	0.925	18.004	0.596
25500	20.063	-1701.23	-15.049	-1686.181	0.32	0.907	16.414	0.549
25600	20.132	-1700.259	-13.453	-1686.806	0.32	0.92	22.431	0.642
25700	20.214	-1700.113	-14.546	-1685.567	0.32	0.947	18.146	0.589
25800	20.291	-1700.176	-13.759	-1686.418	0.32	0.944	21.269	0.62
25900	20.37	-1699.945	-14.378	-1685.566	0.32	0.915	18.521	0.606
26000	20.45	-1701.483	-15.804	-1685.68	0.32	0.9	14.135	0.528
