iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
810	0.722	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
820	0.731	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
830	0.74	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
840	0.749	-1690.187	-4.271	-1685.916	0.32	0.962	12.236	0.503
850	0.758	-1690.187	-4.271	-1685.916	0.32	0.962	12.236	0.503
860	0.767	-1689.444	-3.426	-1686.018	0.32	0.902	9.044	0.449
870	0.776	-1689.444	-3.426	-1686.018	0.32	0.902	9.044	0.449
880	0.785	-1686.69	-2.971	-1683.719	0.32	0.916	6.765	0.447
890	0.794	-1686.491	-3.046	-1683.445	0.32	0.939	6.993	0.438
900	0.803	-1687.262	-3.343	-1683.919	0.32	0.912	8.641	0.472
910	0.812	-1688.895	-3.665	-1685.23	0.32	0.9	10.114	0.472
920	0.82	-1686.987	-3.055	-1683.931	0.32	0.934	7.076	0.432
930	0.828	-1686.432	-2.664	-1683.768	0.32	0.928	4.625	0.409
940	0.837	-1686.432	-2.664	-1683.768	0.32	0.928	4.625	0.409
950	0.845	-1688.171	-2.729	-1685.442	0.32	0.971	4.29	0.381
960	0.853	-1687.812	-2.623	-1685.189	0.32	0.945	2.552	0.361
970	0.861	-1688.423	-2.645	-1685.778	0.32	0.921	4.413	0.384
980	0.87	-1687.251	-2.803	-1684.448	0.32	0.902	5.844	0.423
990	0.879	-1686.871	-3.298	-1683.573	0.32	0.926	8.348	0.46
1000	0.888	-1686.871	-3.298	-1683.573	0.32	0.926	8.348	0.46
1010	0.897	-1687.5	-3.349	-1684.151	0.32	0.941	8.478	0.447
1020	0.906	-1688.481	-3.68	-1684.802	0.32	0.95	9.894	0.46
1030	0.915	-1689.301	-4.102	-1685.199	0.32	0.939	11.743	0.518
1040	0.924	-1688.403	-3.996	-1684.407	0.32	0.923	11.4	0.491
1050	0.933	-1690.175	-4.593	-1685.582	0.32	0.925	13.733	0.542
1060	0.942	-1688.722	-4.211	-1684.511	0.32	0.935	12.202	0.502
1070	0.951	-1688.525	-4.003	-1684.522	0.32	0.931	11.387	0.508
1080	0.96	-1688.481	-3.886	-1684.595	0.32	0.916	10.98	0.483
1090	0.969	-1687.41	-3.244	-1684.166	0.32	0.915	8.152	0.451
1100	0.978	-1687.833	-2.619	-1685.213	0.32	0.901	4.422	0.396
1110	0.987	-1687.833	-2.619	-1685.213	0.32	0.901	4.422	0.396
1120	0.996	-1687.97	-2.815	-1685.154	0.32	0.892	5.967	0.422
1130	1.005	-1686.727	-2.67	-1684.057	0.32	0.914	4.811	0.409
1140	1.014	-1686.923	-2.59	-1684.333	0.32	0.934	3.47	0.381
1150	1.023	-1686.923	-2.59	-1684.333	0.32	0.934	3.47	0.381
1160	1.031	-1686.85	-2.7	-1684.15	0.32	0.926	4.903	0.401
1170	1.039	-1686.627	-2.744	-1683.883	0.32	0.916	5.374	0.423
1180	1.048	-1686.627	-2.744	-1683.883	0.32	0.916	5.374	0.423
1190	1.056	-1686.627	-2.744	-1683.883	0.32	0.916	5.374	0.423
1200	1.064	-1686.627	-2.744	-1683.883	0.32	0.916	5.374	0.423
1210	1.073	-1686.258	-2.828	-1683.43	0.32	0.936	5.754	0.422
1220	1.081	-1686.567	-2.999	-1683.568	0.32	0.944	6.688	0.43
1230	1.09	-1686.567	-2.999	-1683.568	0.32	0.944	6.688	0.43
1240	1.098	-1686.791	-3.115	-1683.677	0.32	0.947	7.299	0.448
1250	1.107	-1688.997	-3.432	-1685.566	0.32	0.963	8.68	0.473
1260	1.115	-1688.997	-3.432	-1685.566	0.32	0.963	8.68	0.473
1270	1.123	-1687.044	-3.152	-1683.892	0.32	0.943	7.53	0.458
1280	1.131	-1686.481	-2.973	-1683.508	0.32	0.942	6.566	0.429
1290	1.139	-1686.481	-2.973	-1683.508	0.32	0.942	6.566	0.429
1300	1.148	-1686.481	-2.973	-1683.508	0.32	0.942	6.566	0.429
1310	1.156	-1687.971	-3.599	-1684.372	0.32	0.939	9.629	0.46
1320	1.164	-1687.971	-3.599	-1684.372	0.32	0.939	9.629	0.46
1330	1.172	-1686.609	-2.965	-1683.644	0.32	0.924	6.663	0.432
1340	1.18	-1686.72	-3.048	-1683.672	0.32	0.925	7.125	0.453
1350	1.188	-1688.103	-3.659	-1684.443	0.32	0.944	9.871	0.489
1360	1.196	-1686.892	-2.982	-1683.91	0.32	0.953	6.515	0.438
1370	1.205	-1686.892	-2.982	-1683.91	0.32	0.953	6.515	0.438
1380	1.213	-1686.892	-2.982	-1683.91	0.32	0.953	6.515	0.438
1390	1.221	-1686.892	-2.982	-1683.91	0.32	0.953	6.515	0.438
1400	1.229	-1686.624	-3.08	-1683.544	0.32	0.933	7.224	0.439
1410	1.237	-1687.466	-3.497	-1683.969	0.32	0.939	9.188	0.479
1420	1.245	-1688.486	-3.357	-1685.129	0.32	0.903	8.736	0.453
1430	1.254	-1689.435	-3.257	-1686.178	0.32	0.91	8.216	0.436
1440	1.262	-1686.762	-2.741	-1684.021	0.32	0.935	5.134	0.403
1450	1.27	-1686.331	-2.766	-1683.565	0.32	0.932	5.378	0.417
