iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.648	-3740.71	-11.448	-3729.262	0.32	0.364	0.413	37.848	0.544
10	0.009	0.674	-3702.444	-10.129	-3692.315	0.32	0.356	0.43	33.296	0.71
20	0.016	0.68	-3648.565	-10.296	-3638.269	0.32	0.503	0.433	33.572	0.838
30	0.024	0.692	-3647.012	-9.084	-3637.928	0.32	0.508	0.432	29.772	0.746
40	0.032	0.618	-3635.817	-8.05	-3627.767	0.32	0.549	0.436	25.996	0.875
50	0.04	0.57	-3629.484	-7.821	-3621.663	0.32	0.577	0.436	25.373	0.822
60	0.048	0.604	-3615.89	-9.208	-3606.682	0.32	0.712	0.433	30.096	0.774
70	0.056	0.555	-3614.033	-8.422	-3605.611	0.32	0.715	0.434	27.488	0.766
80	0.064	0.599	-3602.239	-7.769	-3594.469	0.32	0.844	0.432	25.32	0.67
90	0.072	0.559	-3600.05	-6.062	-3593.988	0.32	0.838	0.436	19.458	0.647
100	0.08	0.619	-3596.538	-4.231	-3592.307	0.32	0.831	0.437	12.812	0.529
110	0.087	0.595	-3595.406	-4.057	-3591.349	0.32	0.831	0.437	12.136	0.523
120	0.095	0.616	-3595.867	-4.746	-3591.121	0.32	0.861	0.433	14.731	0.524
130	0.103	0.575	-3596.785	-5.234	-3591.551	0.32	0.835	0.434	16.585	0.563
140	0.111	0.578	-3594.861	-4.128	-3590.733	0.32	0.857	0.439	12.355	0.55
150	0.119	0.541	-3592.496	-4.189	-3588.306	0.32	0.876	0.436	12.569	0.522
160	0.127	0.541	-3592.496	-4.189	-3588.306	0.32	0.876	0.436	12.569	0.522
170	0.135	0.541	-3592.496	-4.189	-3588.306	0.32	0.876	0.436	12.569	0.522
180	0.143	0.541	-3592.496	-4.189	-3588.306	0.32	0.876	0.436	12.569	0.522
190	0.151	0.562	-3585.513	-2.878	-3582.635	0.32	0.911	0.449	6.634	0.489
200	0.158	0.541	-3583.716	-2.788	-3580.928	0.32	0.926	0.449	6.015	0.468
210	0.166	0.547	-3580.946	-2.739	-3578.207	0.32	0.943	0.447	5.516	0.441
220	0.174	0.547	-3580.946	-2.739	-3578.207	0.32	0.943	0.447	5.516	0.441
230	0.182	0.524	-3582.128	-2.855	-3579.273	0.32	0.945	0.446	6.239	0.457
240	0.19	0.519	-3580.942	-2.59	-3578.352	0.32	0.939	0.449	4.38	0.419
250	0.198	0.519	-3580.942	-2.59	-3578.352	0.32	0.939	0.449	4.38	0.419
260	0.206	0.527	-3581.557	-2.585	-3578.971	0.32	0.964	0.45	3.553	0.395
270	0.214	0.527	-3581.557	-2.585	-3578.971	0.32	0.964	0.45	3.553	0.395
280	0.222	0.527	-3581.557	-2.585	-3578.971	0.32	0.964	0.45	3.553	0.395
290	0.23	0.556	-3582.344	-2.554	-3579.79	0.32	0.941	0.458	2.453	0.377
300	0.238	0.556	-3582.344	-2.554	-3579.79	0.32	0.941	0.458	2.453	0.377
310	0.245	0.556	-3582.344	-2.554	-3579.79	0.32	0.941	0.458	2.453	0.377
320	0.253	0.556	-3582.344	-2.554	-3579.79	0.32	0.941	0.458	2.453	0.377
330	0.261	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
340	0.269	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
350	0.277	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
360	0.285	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
370	0.293	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
380	0.301	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
390	0.309	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
400	0.317	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
410	0.325	0.537	-3584.298	-2.682	-3581.616	0.32	0.97	0.459	2.018	0.359
420	0.332	0.548	-3582.311	-2.546	-3579.764	0.32	0.95	0.456	2.824	0.386
430	0.34	0.548	-3582.311	-2.546	-3579.764	0.32	0.95	0.456	2.824	0.386
440	0.348	0.546	-3582.875	-2.535	-3580.34	0.32	0.948	0.455	3.214	0.399
450	0.356	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
460	0.364	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
470	0.372	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
480	0.38	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
490	0.387	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
500	0.395	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
510	0.403	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
520	0.411	0.555	-3580.881	-2.573	-3578.308	0.32	0.955	0.45	3.758	0.402
