iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1964.224	-24.33	-1939.895	0.32	0.996	72.18	2.019
10	0.009	-1812.466	-23.166	-1789.3	0.32	0.896	70.275	1.85
20	0.016	-1797.973	-22.02	-1775.953	0.32	0.852	67.492	1.691
30	0.024	-1793.044	-23.467	-1769.577	0.32	0.794	72.453	1.611
40	0.031	-1793.044	-23.467	-1769.577	0.32	0.794	72.453	1.611
50	0.039	-1793.333	-23.203	-1770.13	0.32	0.784	71.576	1.626
60	0.046	-1790.418	-21.902	-1768.516	0.32	0.782	67.76	1.566
70	0.054	-1790.418	-21.902	-1768.516	0.32	0.782	67.76	1.566
80	0.061	-1783.54	-20.121	-1763.419	0.32	0.797	62.813	1.405
90	0.069	-1758.492	-18.869	-1739.623	0.32	0.836	59.607	1.2
100	0.076	-1737.559	-17.638	-1719.921	0.32	0.789	56.527	0.979
110	0.084	-1732.346	-16.639	-1715.707	0.32	0.807	53.581	0.897
120	0.091	-1730.011	-15.46	-1714.551	0.32	0.812	49.786	0.908
130	0.099	-1723.852	-14.408	-1709.444	0.32	0.853	46.728	0.764
140	0.107	-1722.551	-15.36	-1707.191	0.32	0.915	49.571	0.786
150	0.114	-1724.791	-16.335	-1708.456	0.32	0.931	52.553	0.813
160	0.122	-1721.741	-15.013	-1706.727	0.32	0.949	48.112	0.866
170	0.129	-1719.838	-14.054	-1705.785	0.32	0.904	45.369	0.809
180	0.137	-1715.134	-13.275	-1701.859	0.32	0.927	42.784	0.807
190	0.145	-1715.134	-13.275	-1701.859	0.32	0.927	42.784	0.807
200	0.152	-1714.48	-12.319	-1702.161	0.32	0.88	39.824	0.812
210	0.16	-1708.495	-10.942	-1697.554	0.32	0.932	35.423	0.696
220	0.168	-1704.068	-9.216	-1694.851	0.32	0.9	29.778	0.724
230	0.176	-1705.456	-9.421	-1696.035	0.32	0.901	30.519	0.694
240	0.184	-1703.072	-8.983	-1694.089	0.32	0.922	28.96	0.707
250	0.192	-1706.24	-9.286	-1696.954	0.32	0.938	30.05	0.615
260	0.2	-1704.001	-8.636	-1695.365	0.32	0.963	27.623	0.672
270	0.207	-1696.304	-7.397	-1688.907	0.32	0.947	23.558	0.655
280	0.215	-1691.056	-5.234	-1685.822	0.32	0.929	16.117	0.551
